date,GPP_daily_mean,ER_daily_mean,K600_daily_mean,GPP_Rhat,ER_Rhat,K600_daily_Rhat
2024-06-17,8.404633381155547,-15.133424297545412,1.0715955362862515,1.0027850803443539,1.0024167241100714,1.0164455342194902
2024-06-18,NA,NA,NA,NA,NA,NA
2024-06-19,7.5511895856500955,-14.483257334459118,1.0810201911363624,1.0056490910607436,1.0055629205533194,1.0099142699955768
2024-06-20,7.581392117462213,-14.76035027643644,1.0819373662005554,1.0113147728200336,1.0113510383148234,1.015748256027534
2024-06-21,6.620071336537474,-13.307596855236389,1.0874078051289666,1.0015224132262521,1.0029292391262636,1.00654762109232
2024-06-22,6.640795973398676,-13.552295999443631,1.0905052047293047,1.002772678010626,1.002050500086516,1.0056096476385947
2024-06-23,6.234599317899288,-12.923260380747184,1.0900163316936706,1.0030654886356134,1.001914107614445,1.013601156700276
2024-06-24,NA,NA,NA,NA,NA,NA
2024-06-25,7.239823453762422,-14.170308427631275,1.092149634223273,1.0059896752756667,1.0013180792278817,1.0059599741408818
2024-06-26,6.5945590873077995,-13.810580661377019,1.0930216146309732,1.004784270825475,1.0005729037655817,1.0024794589852035
2024-06-27,5.241477739206594,-11.783927776491353,1.0969371005436055,1.0021791217457656,1.0013336415986938,1.0113174267208986
2024-06-28,4.609586281244744,-11.942639456174836,1.1028200260026257,1.00472459502919,1.0041008291434532,1.0036846853090768
2024-06-29,5.547558563372337,-12.151285556647805,1.0942054829289625,1.000151280092267,1.0002615309154792,1.0265455771422027
2024-06-30,5.1175711123690535,-11.641480601314838,1.0959759269789973,1.001880259918003,1.001380996469259,1.0066330929386387
2024-07-01,5.2417653892338745,-11.860342356978089,1.0985691329454559,1.0028152482624284,1.0024590881617947,1.0055448747392208
2024-07-02,4.886994876095919,-11.191104193272194,1.0976121971292436,1.0092348142838612,1.0040245530535663,1.0003829998376452
2024-07-03,4.44666081593722,-11.09950242201155,1.0979781529991575,1.0013056742998656,1.0024665019341497,1.004847181097756
2024-07-04,4.549429027505317,-10.72467397385195,1.1015427011392718,1.001686679311343,1.0010019818363565,1.0018530867100315
2024-07-05,4.066054260207382,-10.450389208358112,1.1000134355778528,1.0019113774139106,1.0014672938515135,1.003938817833823
2024-07-06,3.706611924691679,-9.831845780020148,1.1029939456928914,1.0020042245431529,1.003841257600324,0.9998235694192725
2024-07-07,4.715014934718343,-11.755133630297339,1.0983084058781787,1.0004890286571402,1.0005860906580584,1.0036564698042059
2024-07-08,5.346313543746208,-11.975285911759638,1.1023545883082164,1.0014672701228549,1.000401224284336,1.0011984060592345
2024-07-09,4.343639786362852,-10.167169591387637,1.0989055911233794,1.004092765217963,1.0024999410832887,1.0056467012338368
2024-07-10,5.078691356188819,-11.568235786274165,1.1010277958192052,1.0030331285424017,1.0009708683665888,1.009578360653537
2024-07-11,4.132704825134635,-9.665643193654429,1.099996545933353,1.0066467790249043,1.0038337716545902,1.0011953040083101
2024-07-12,3.697273660486373,-9.56944888470205,1.1018976150090471,1.0055142700636468,1.0027810982829972,1.0032259203635256
2024-07-13,4.059127398516654,-10.088254923084035,1.1011042391349843,1.0017298857767267,1.0011700468005105,1.011573171433616
2024-07-14,4.025614237955836,-10.383983260960896,1.098990546470395,1.001699995345593,1.000133575132503,1.005985976480672
2024-07-15,4.123046323602829,-10.529494989255,1.099754129606214,1.0073865025246276,1.0049523111811878,1.0004066108004277
2024-07-16,3.4506002653933145,-9.399136301035668,1.1022335138024901,1.0022673371975148,1.0021873107889185,1.0074058423286176
2024-07-17,2.9179775165170043,-9.217684094112577,1.1038658937900783,1.0028736431201821,1.0011009282584373,1.00151656547398
2024-07-18,3.562151024216942,-10.299856067138222,1.1035151306109152,0.9997330348356671,1.0016539098534862,1.003365053545964
2024-07-19,3.834540446836668,-9.837491372221876,1.1088468411544625,1.0012631177621818,1.001568326285759,1.0021869214158505
2024-07-20,3.5028556782225397,-9.817807764214663,1.1038432446204125,1.004564785270273,1.0042742451778652,1.0012763060510428
2024-07-21,3.8525744215937077,-9.575032019532717,1.1009526374761571,1.0025727013448944,1.0032105019318702,1.01306740943629
2024-07-22,3.776345207451463,-10.156359385986601,1.1023703656228905,1.0038501473414319,1.00343588618248,1.0067125598725488
2024-07-23,3.5924549810040722,-9.433618617534043,1.1056729145593207,0.9994450732123864,0.9993458531743987,1.0052568854842152
2024-07-24,3.8804294198981397,-11.1465604787638,1.104537201301475,1.0048504634574873,1.0022544684033725,0.9998614737365268
2024-07-25,3.382364437509185,-9.492347742042744,1.1074883736392915,1.0017661881037638,1.0016233826028356,1.0030647271585817
