"TOA5","GasDome","CR800","35499","CR800.Std.27.04","CPU:GB_CO2_hourly.CR8","34425","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2_Avg","CO2"
"TS","RN","Volts","mV","mV"
"","","Min","Avg","Smp"
"2023-10-18 10:00:00",337,12.91,96.8,96.8
"2023-10-18 11:00:00",338,12.8,851,851
"2023-10-18 12:00:00",339,12.81,862,862
"2023-10-18 13:00:00",340,12.81,877,877
"2023-10-18 14:00:00",341,12.83,901,901
"2023-10-18 15:00:00",342,12.83,924,924
"2023-10-18 16:00:00",343,12.83,960,960
"2023-10-18 17:00:00",344,12.83,998,998
"2023-10-18 18:00:00",345,12.82,1031,1031
"2023-10-18 19:00:00",346,12.82,1041,1041
"2023-10-18 20:00:00",347,12.81,1035,1035
"2023-10-18 21:00:00",348,12.81,1028,1028
"2023-10-18 22:00:00",349,12.8,1025,1025
"2023-10-18 23:00:00",350,12.79,1018,1018
"2023-10-19 00:00:00",351,12.79,1018,1018
"2023-10-19 01:00:00",352,12.79,1012,1012
"2023-10-19 02:00:00",353,12.77,998,998
"2023-10-19 03:00:00",354,12.78,987,987
"2023-10-19 04:00:00",355,12.77,987,987
"2023-10-19 05:00:00",356,12.76,990,990
"2023-10-19 06:00:00",357,12.76,990,990
"2023-10-19 07:00:00",358,12.74,990,990
"2023-10-19 08:00:00",359,12.74,967,967
"2023-10-19 09:00:00",360,12.75,924,924
"2023-10-19 10:00:00",361,12.76,886,886
"2023-10-19 11:00:00",362,12.77,883,883
"2023-10-19 12:00:00",363,12.79,894,894
"2023-10-19 13:00:00",364,12.78,914,914
"2023-10-19 14:00:00",365,12.8,909,909
"2023-10-19 15:00:00",366,12.81,935,935
"2023-10-19 16:00:00",367,12.81,983,983
"2023-10-19 17:00:00",368,12.81,1010,1010
"2023-10-19 18:00:00",369,12.8,1055,1055
"2023-10-19 19:00:00",370,12.8,1081,1081
"2023-10-19 20:00:00",371,12.79,1093,1093
"2023-10-19 21:00:00",372,12.78,1084,1084
"2023-10-19 22:00:00",373,12.79,1069,1069
"2023-10-19 23:00:00",374,12.77,1058,1058
"2023-10-20 00:00:00",375,12.76,1054,1054
"2023-10-20 01:00:00",376,12.76,1043,1043
"2023-10-20 02:00:00",377,12.75,1033,1033
"2023-10-20 03:00:00",378,12.76,1030,1030
"2023-10-20 04:00:00",379,12.75,1022,1022
"2023-10-20 05:00:00",380,12.74,1018,1018
"2023-10-20 06:00:00",381,12.74,1022,1022
"2023-10-20 07:00:00",382,12.74,1022,1022
"2023-10-20 08:00:00",383,12.73,1000,1000
"2023-10-20 09:00:00",384,12.73,948,948
"2023-10-20 10:00:00",385,12.73,907,907
"2023-10-20 11:00:00",386,12.75,899,899
"2023-10-20 12:00:00",387,12.77,894,894
"2023-10-20 13:00:00",388,12.77,902,902
"2023-10-20 14:00:00",389,12.77,919,919
"2023-10-20 15:00:00",390,12.78,945,945
"2023-10-20 16:00:00",391,12.78,987,987
"2023-10-20 17:00:00",392,12.78,1033,1033
"2023-10-20 18:00:00",393,12.78,1088,1088
"2023-10-20 19:00:00",394,12.77,1130,1130
"2023-10-20 20:00:00",395,12.77,1145,1145
"2023-10-20 21:00:00",396,12.76,1147,1147
"2023-10-20 22:00:00",397,12.76,1147,1147
"2023-10-20 23:00:00",398,12.76,1142,1142
"2023-10-21 00:00:00",399,12.76,1132,1132
"2023-10-21 01:00:00",400,12.75,1123,1123
"2023-10-21 02:00:00",401,12.75,1121,1121
"2023-10-21 03:00:00",402,12.75,1117,1117
"2023-10-21 04:00:00",403,12.74,1111,1111
"2023-10-21 05:00:00",404,12.74,1111,1111
"2023-10-21 06:00:00",405,12.75,1108,1108
"2023-10-21 07:00:00",406,12.74,1099,1099
"2023-10-21 08:00:00",407,12.73,1073,1073
"2023-10-21 09:00:00",408,12.73,1018,1018
"2023-10-21 10:00:00",409,12.74,939,939
"2023-10-21 11:00:00",410,12.75,933,933
"2023-10-21 12:00:00",411,12.74,957,957
"2023-10-21 13:00:00",412,12.75,967,967
"2023-10-21 14:00:00",413,12.75,995,995
"2023-10-21 15:00:00",414,12.75,1018,1018
"2023-10-21 16:00:00",415,12.75,1052,1052
"2023-10-21 17:00:00",416,12.74,1088,1088
"2023-10-21 18:00:00",417,12.75,1117,1117
"2023-10-21 19:00:00",418,12.74,1129,1129
"2023-10-21 20:00:00",419,12.73,1124,1124
"2023-10-21 21:00:00",420,12.73,1104,1104
"2023-10-21 22:00:00",421,12.71,1089,1089
"2023-10-21 23:00:00",422,12.71,1078,1078
"2023-10-22 00:00:00",423,12.7,1070,1070
"2023-10-22 01:00:00",424,12.7,1076,1076
"2023-10-22 02:00:00",425,12.69,1084,1084
"2023-10-22 03:00:00",426,12.69,1085,1085
"2023-10-22 04:00:00",427,12.69,1086,1086
"2023-10-22 05:00:00",428,12.68,1078,1078
"2023-10-22 06:00:00",429,12.67,1074,1074
"2023-10-22 07:00:00",430,12.68,1078,1078
"2023-10-22 08:00:00",431,12.67,1058,1058
"2023-10-22 09:00:00",432,12.67,995,995
"2023-10-22 10:00:00",433,12.67,959,959
"2023-10-22 11:00:00",434,12.68,947,947
"2023-10-22 12:00:00",435,12.7,950,950
"2023-10-22 13:00:00",436,12.71,960,960
"2023-10-22 14:00:00",437,12.71,973,973
"2023-10-22 15:00:00",438,12.71,992,992
"2023-10-22 16:00:00",439,12.72,1013,1013
"2023-10-22 17:00:00",440,12.71,1050,1050
"2023-10-22 18:00:00",441,12.71,1096,1096
"2023-10-22 19:00:00",442,12.72,1129,1129
"2023-10-22 20:00:00",443,12.7,1138,1138
"2023-10-22 21:00:00",444,12.71,1142,1142
"2023-10-22 22:00:00",445,12.7,1138,1138
"2023-10-22 23:00:00",446,12.7,1131,1131
"2023-10-23 00:00:00",447,12.68,1134,1134
"2023-10-23 01:00:00",448,12.69,1132,1132
"2023-10-23 02:00:00",449,12.68,1117,1117
"2023-10-23 03:00:00",450,12.68,1117,1117
"2023-10-23 04:00:00",451,12.67,1117,1117
"2023-10-23 05:00:00",452,12.66,1118,1118
"2023-10-23 06:00:00",453,12.67,1113,1113
"2023-10-23 07:00:00",454,12.66,1104,1104
"2023-10-23 08:00:00",455,12.64,1076,1076
"2023-10-23 09:00:00",456,12.65,1020,1020
"2023-10-23 10:00:00",457,12.65,993,993
"2023-10-23 11:00:00",458,12.67,987,987
"2023-10-23 12:00:00",459,12.67,975,975
"2023-10-23 13:00:00",460,12.67,988,988
"2023-10-23 14:00:00",461,12.67,998,998
"2023-10-23 15:00:00",462,12.68,986,986
"2023-10-23 16:00:00",463,12.68,1003,1003
"2023-10-23 17:00:00",464,12.68,1055,1055
"2023-10-23 18:00:00",465,12.68,1114,1114
"2023-10-23 19:00:00",466,12.68,1155,1155
"2023-10-23 20:00:00",467,12.67,1172,1172
"2023-10-23 21:00:00",468,12.66,1177,1177
"2023-10-23 22:00:00",469,12.66,1170,1170
"2023-10-23 23:00:00",470,12.66,1183,1183
"2023-10-24 00:00:00",471,12.66,1202,1202
"2023-10-24 01:00:00",472,12.65,1194,1194
"2023-10-24 02:00:00",473,12.65,1212,1212
"2023-10-24 03:00:00",474,12.65,1207,1207
"2023-10-24 04:00:00",475,12.64,1197,1197
"2023-10-24 05:00:00",476,12.64,1175,1175
"2023-10-24 06:00:00",477,12.63,1170,1170
"2023-10-24 07:00:00",478,12.63,1167,1167
"2023-10-24 08:00:00",479,12.63,1164,1164
"2023-10-24 09:00:00",480,12.63,1121,1121
"2023-10-24 10:00:00",481,12.64,1083,1083
"2023-10-24 11:00:00",482,12.64,1051,1051
"2023-10-24 12:00:00",483,12.65,1023,1023
"2023-10-24 13:00:00",484,12.65,1021,1021
"2023-10-24 14:00:00",485,12.65,1018,1018
"2023-10-24 15:00:00",486,12.65,1018,1018
"2023-10-24 16:00:00",487,12.66,1050,1050
"2023-10-24 17:00:00",488,12.66,1086,1086
"2023-10-24 18:00:00",489,12.65,1127,1127
"2023-10-24 19:00:00",490,12.65,1160,1160
"2023-10-24 20:00:00",491,12.63,1167,1167
"2023-10-24 21:00:00",492,12.64,1159,1159
"2023-10-24 22:00:00",493,12.63,1164,1164
"2023-10-24 23:00:00",494,12.62,1129,1129
"2023-10-25 00:00:00",495,12.62,1102,1102
"2023-10-25 01:00:00",496,12.62,1091,1091
"2023-10-25 02:00:00",497,12.61,1086,1086
"2023-10-25 03:00:00",498,12.61,1091,1091
"2023-10-25 04:00:00",499,12.61,1093,1093
"2023-10-25 05:00:00",500,12.61,1106,1106
"2023-10-25 06:00:00",501,12.61,1106,1106
"2023-10-25 07:00:00",502,12.61,1108,1108
"2023-10-25 08:00:00",503,12.6,1087,1087
"2023-10-25 09:00:00",504,12.61,1044,1044
"2023-10-25 10:00:00",505,12.6,969,969
"2023-10-25 11:00:00",506,12.61,945,945
"2023-10-25 12:00:00",507,12.61,919,919
"2023-10-25 13:00:00",508,12.61,919,919
"2023-10-25 14:00:00",509,12.62,927,927
"2023-10-25 15:00:00",510,12.61,947,947
"2023-10-25 16:00:00",511,12.62,982,982
"2023-10-25 17:00:00",512,12.61,1028,1028
"2023-10-25 18:00:00",513,12.61,1076,1076
"2023-10-25 19:00:00",514,12.61,1114,1114
"2023-10-25 20:00:00",515,12.61,1129,1129
"2023-10-25 21:00:00",516,12.6,1132,1132
"2023-10-25 22:00:00",517,12.6,1134,1134
