Date,LowRangeSpC,FulRangeSpC,Temp
2022-07-08 09:20,530.7,530.9,74.5
2022-07-08 09:21,530.4,530.9,74.5
2022-07-08 09:22,530.1,530.5,74.5
2022-07-08 09:23,529.7,530.1,74.5
2022-07-08 09:24,529.4,529.7,74.5
2022-07-08 09:25,529,529.3,74.48
2022-07-08 09:26,528.7,528.9,74.5
2022-07-08 09:27,528.4,528.5,74.5
2022-07-08 09:28,528,528.5,74.5
2022-07-08 09:29,527.7,528.1,74.5
2022-07-08 09:30,527.3,527.3,74.5
2022-07-08 09:31,527,526.9,74.5
2022-07-08 09:32,526.5,526.9,74.5
2022-07-08 09:33,526.1,526.2,74.5
2022-07-08 09:34,525.7,526.2,74.5
2022-07-08 09:35,525.3,525.8,74.5
2022-07-08 09:36,525,525.4,74.5
2022-07-08 09:37,524.4,524.6,74.5
2022-07-08 09:38,524.1,524.6,74.5
2022-07-08 09:39,523.5,523.8,74.5
2022-07-08 09:40,523.1,523.4,74.5
2022-07-08 09:41,522.7,523,74.5
2022-07-08 09:42,522.4,522.7,74.5
2022-07-08 09:43,521.8,522.3,74.5
2022-07-08 09:44,521.2,521.5,74.5
2022-07-08 09:45,520.9,521.1,74.5
2022-07-08 09:46,520.4,520.7,74.5
2022-07-08 09:47,519.8,519.9,74.5
2022-07-08 09:48,519.2,519.5,74.5
2022-07-08 09:49,518.7,518.7,74.5
2022-07-08 09:50,518.1,518.4,74.5
2022-07-08 09:51,517.5,518,74.5
2022-07-08 09:52,517,517.2,74.5
2022-07-08 09:53,516.5,516.8,74.52
2022-07-08 09:54,515.8,516.4,74.5
2022-07-08 09:55,515.3,515.6,74.5
2022-07-08 09:56,514.7,514.8,74.5
2022-07-08 09:57,514.2,514.5,74.5
2022-07-08 09:58,513.4,513.7,74.5
2022-07-08 09:59,512.8,512.9,74.5
2022-07-08 10:00,512.2,512.5,74.5
2022-07-08 10:01,511.6,511.7,74.5
2022-07-08 10:02,511,511.3,74.5
2022-07-08 10:03,510.5,510.9,74.5
2022-07-08 10:04,509.9,510.2,74.5
2022-07-08 10:05,509.3,509.4,74.5
2022-07-08 10:06,508.6,509,74.5
2022-07-08 10:07,507.9,508.2,74.5
2022-07-08 10:08,508,509,74.5
2022-07-08 10:09,507.3,508.2,74.5
2022-07-08 10:10,505.6,506.7,74.5
2022-07-08 10:11,504.9,505.9,74.5
2022-07-08 10:12,504.2,505.1,74.5
2022-07-08 10:13,503.7,504.7,74.5
2022-07-08 10:14,502.8,503.5,74.5
2022-07-08 10:15,502.2,503.5,74.5
2022-07-08 10:16,501.5,502.4,74.5
2022-07-08 10:17,500.8,502,74.52
2022-07-08 10:18,500.2,501.6,74.52
2022-07-08 10:19,499.5,500.4,74.52
2022-07-08 10:20,498.8,500,74.52
2022-07-08 10:21,498.1,499.2,74.5
2022-07-08 10:22,497.5,498.9,74.5
2022-07-08 10:23,496.8,498.1,74.5
2022-07-08 10:24,496.2,497.3,74.5
2022-07-08 10:25,495.5,496.5,74.5
2022-07-08 10:26,494.8,496.1,74.5
2022-07-08 10:27,494.1,495.7,74.5
2022-07-08 10:28,493.3,494.6,74.5
2022-07-08 10:29,500.2,501.6,74.5
2022-07-08 10:30,499.7,500.8,74.5
2022-07-08 10:31,499,500,74.5
2022-07-08 10:32,498.5,499.6,74.5
2022-07-08 10:33,497.9,499.2,74.5
2022-07-08 10:34,497.5,498.5,74.52
2022-07-08 10:35,497,498.1,74.5
2022-07-08 10:36,496.4,497.3,74.5
2022-07-08 10:37,495,496.1,74.5
2022-07-08 10:38,494.3,495.7,74.5
2022-07-08 10:39,493.8,495,74.5
2022-07-08 10:40,493.2,494.2,74.5
2022-07-08 10:41,492.5,493.8,74.5
2022-07-08 10:42,491.9,493,74.5
2022-07-08 10:43,491.3,492.2,74.5
2022-07-08 10:44,490.7,491.8,74.5
2022-07-08 10:45,490.2,491.5,74.5
2022-07-08 10:46,489.6,490.3,74.5
2022-07-08 10:47,489,489.9,74.5
2022-07-08 10:48,488,489.1,74.5
2022-07-08 10:49,496,498.9,74.5
2022-07-08 10:50,495.4,498.1,74.5
