Date,"Abs Pres, psi (LGR S/N: 21248108, SEN S/N: 21248108)",Temp
2022-08-15 12:41,15.5311,76.181
2022-08-15 13:41,15.5454,73.407
2022-08-15 14:41,15.5347,73.407
2022-08-15 15:41,15.5208,73.407
2022-08-15 16:41,15.5166,72.891
2022-08-15 17:41,15.5116,72.545
2022-08-15 18:41,15.5076,72.372
2022-08-15 19:41,15.5154,72.372
2022-08-15 20:41,15.5253,72.199
2022-08-15 21:41,15.5335,72.028
2022-08-15 22:41,15.5357,71.856
2022-08-15 23:41,15.5327,71.856
2022-08-16 00:41,15.5295,71.856
2022-08-16 01:41,15.5157,71.856
2022-08-16 02:41,15.5064,71.856
2022-08-16 03:41,15.5095,71.856
2022-08-16 04:41,15.5127,71.856
2022-08-16 05:41,15.5157,71.856
2022-08-16 06:41,15.5203,71.856
2022-08-16 07:41,15.5157,71.856
2022-08-16 08:41,15.5203,71.856
2022-08-16 09:41,15.5196,72.028
2022-08-16 10:41,15.519,72.199
2022-08-16 11:41,15.5163,72.545
2022-08-16 12:41,15.5073,72.891
2022-08-16 13:41,15.4999,73.234
2022-08-16 14:41,15.5193,73.407
2022-08-16 15:41,15.491,72.718
2022-08-16 16:41,15.4892,72.372
2022-08-16 17:41,15.4954,72.372
2022-08-16 18:41,15.4831,72.372
2022-08-16 19:41,15.4944,72.199
2022-08-16 20:41,15.4951,72.028
2022-08-16 21:41,15.4935,72.028
2022-08-16 22:41,15.491,71.856
2022-08-16 23:41,15.488,71.856
2022-08-17 00:41,15.4787,71.856
2022-08-17 01:41,15.4757,71.856
2022-08-17 02:41,15.4741,71.856
2022-08-17 03:41,15.4741,71.856
2022-08-17 04:41,15.471,71.856
2022-08-17 05:41,15.4763,71.683
2022-08-17 06:41,15.4916,71.683
2022-08-17 07:41,15.4993,71.683
2022-08-17 08:41,15.4987,71.856
2022-08-17 09:41,15.5012,72.028
2022-08-17 10:41,15.4913,72.199
2022-08-17 11:41,15.4823,72.545
2022-08-17 12:41,15.479,73.062
2022-08-17 13:41,15.4683,73.062
2022-08-17 14:41,15.4574,73.062
2022-08-17 15:41,15.4612,72.891
2022-08-17 16:41,15.4673,72.891
2022-08-17 17:41,15.4707,72.372
2022-08-17 18:41,15.4615,72.372
2022-08-17 19:41,15.4697,72.199
2022-08-17 20:41,15.476,72.199
2022-08-17 21:41,15.4751,72.028
2022-08-17 22:41,15.4658,72.028
2022-08-17 23:41,15.4565,72.028
2022-08-18 00:41,15.4519,72.028
2022-08-18 01:41,15.4464,71.856
2022-08-18 02:41,15.4417,71.856
2022-08-18 03:41,15.4387,71.856
2022-08-18 04:41,15.4326,71.856
2022-08-18 05:41,15.4326,71.856
2022-08-18 06:41,15.4387,71.856
2022-08-18 07:41,15.4403,71.856
