"TOA5","GilchristBlue","CR1000X","22889","CR1000X.Std.04.02","CPU:GilchristBlue_04272022.CR1X","22393","Test"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","pH","CO2Low","CO2High","T"
"TS","RN","Volts","Deg C","","ppm","ppm","Deg C"
"","","Min","Smp","Smp","Smp","Smp","Smp"
"2022-05-05 07:00:00",188,12.38,20.31,7.6471,10059.43,9745.748,28.11
"2022-05-05 08:00:00",189,12.38,21.34,7.6279,9843.355,9556.818,28.18
"2022-05-05 09:00:00",190,12.38,25.63,7.6471,9585.737,9329.657,28.44
"2022-05-05 10:00:00",191,12.39,26.84,7.6471,9301.889,9077.198,28.77
"2022-05-05 11:00:00",192,12.39,27.97,7.666301,8972.104,8781.902,29.17
"2022-05-05 12:00:00",193,12.4,29.27,7.6855,8790.22,8616.767,29.35
"2022-05-05 13:00:00",194,12.39,30.71,7.6855,8624.297,8463.285,29.42
"2022-05-05 14:00:00",195,12.4,31.2,7.6855,8823.903,8647.393,29.17
"2022-05-05 15:00:00",196,12.4,31.03,7.6855,9150.593,8941.038,29.02
"2022-05-05 16:00:00",197,12.4,30.88,7.666301,9363.492,9132.491,28.93
"2022-05-05 17:00:00",198,12.4,30.67,7.6471,9677.577,9410.919,28.78
"2022-05-05 18:00:00",199,12.4,30,7.6471,10027.9,9718.008,28.65
"2022-05-05 19:00:00",200,12.39,28.9,7.6279,10395.51,10036.95,28.54
"2022-05-05 20:00:00",201,12.4,27.66,7.6279,10577.86,10245.54,28.45
"2022-05-05 21:00:00",202,12.38,26.46,7.6279,10577.87,10295.68,28.38
"2022-05-05 22:00:00",203,12.39,25.45,7.6279,10578.87,10236.58,28.33
"2022-05-05 23:00:00",204,12.38,24.51,7.6279,10457.23,10091.19,28.26
"2022-05-06 00:00:00",205,12.38,23.59,7.6279,10392.18,10035.53,28.21
"2022-05-06 01:00:00",206,12.37,22.79,7.6279,10282.22,9938.909,28.17
"2022-05-06 02:00:00",207,12.37,22.11,7.6471,10212.6,9880.098,28.14
"2022-05-06 03:00:00",208,12.36,21.52,7.6471,10108.63,9788.522,28.11
"2022-05-06 04:00:00",209,12.36,21.08,7.6471,10068.75,9751.133,28.1
"2022-05-06 05:00:00",210,12.35,20.68,7.6471,10071.04,9756.204,28.08
"2022-05-06 06:00:00",211,12.36,20.37,7.6471,10044.43,9732.522,28.08
"2022-05-06 07:00:00",212,12.35,20.42,7.6471,9965.76,9664.246,28.12
"2022-05-06 08:00:00",213,12.35,21.33,7.6471,9747.512,9472.901,28.21
"2022-05-06 09:00:00",214,12.35,23.73,7.666301,9307.303,9081.633,28.41
"2022-05-06 10:00:00",215,12.35,25.33,7.7047,8892.154,8714.571,28.64
