Date,PT,ID,BP avg (mb),PSI,depth
2023-05-24T00:00:00Z,14.9334,LF,1010,14.648811510747693,0.8530638497270937
2023-05-24T01:00:00Z,14.8688,LF,1008,14.619803963201658,0.8338581747736921
2023-05-24T02:00:00Z,14.7979,LF,1008,14.619803963201658,0.7956005594560245
2023-05-24T03:00:00Z,14.7322,LF,1007,14.605300189428641,0.7679750936068257
2023-05-24T04:00:00Z,14.7026,LF,1007,14.605300189428641,0.7520029439114383
2023-05-24T05:00:00Z,14.6794,LF,1007,14.605300189428641,0.739484231988026
2023-05-24T06:00:00Z,14.6935,LF,1008,14.619803963201658,0.739266355800672
2023-05-24T07:00:00Z,14.7447,LF,1008,14.619803963201658,0.7668938579764769
2023-05-24T08:00:00Z,14.7963,LF,1009,14.634307736974677,0.7869109687342914
2023-05-24T09:00:00Z,14.8062,LF,1009,14.634307736974677,0.7922530052878162
2023-05-24T10:00:00Z,14.7992,LF,1009,14.634307736974677,0.788475807724718
2023-05-24T11:00:00Z,14.7673,LF,1008,14.619803963201658,0.7790888101087662
2023-05-24T12:00:00Z,14.7355,LF,1008,14.619803963201658,0.7619295411792619
2023-05-24T13:00:00Z,14.7145,LF,1007,14.605300189428641,0.7584241797687049
2023-05-24T14:00:00Z,14.6872,LF,1007,14.605300189428641,0.7436931092726221
2023-05-24T15:00:00Z,14.6771,LF,1006,14.590796415655623,0.7460693840674616
2023-05-24T16:00:00Z,14.7498,LF,1006,14.590796415655623,0.7852982787584979
2023-05-24T17:00:00Z,14.8378,LF,1006,14.590796415655623,0.8327830481231624
2023-05-24T18:00:00Z,14.888,LF,1006,14.590796415655623,0.8598709506470964
2023-05-24T19:00:00Z,14.972,LF,1006,14.590796415655623,0.9051973214042763
2023-05-24T20:00:00Z,15.0073,LF,1007,14.605300189428641,0.9164189578365908
2023-05-24T21:00:00Z,14.9894,LF,1007,14.605300189428641,0.9067601240680959
2023-05-24T22:00:00Z,14.9659,LF,1007,14.605300189428641,0.8940795322491227
2023-05-24T23:00:00Z,14.9161,LF,1007,14.605300189428641,0.8672074695859378
2023-05-25T00:00:00Z,14.8588,LF,1007,14.605300189428641,0.8362884095337185
2023-05-25T01:00:00Z,14.7856,LF,1006,14.590796415655623,0.8046159462954866
2023-05-25T02:00:00Z,14.7205,LF,1006,14.590796415655623,0.7694880089586714
2023-05-25T03:00:00Z,14.6752,LF,1006,14.590796415655623,0.7450441447289069
2023-05-25T04:00:00Z,14.66,LF,1005,14.576292641882606,0.744668461299203
