ID,flood,class
AM,1,BO
AM,2,FR
AM,3,BO
AM,4,HI
AM,5,FR
AM,6,BO
AM,7,HI
GB,1,HI
GB,2,FR
ID,2,HI
ID,3,HI
ID,4,BO
ID,5,HI
ID,6,HI
LF,1,HI
LF,2,HI
LF,3,HI
LF,4,HI
LF,5,HI
LF,6,BO
OS,1,HI
OS,2,FR
OS,3,HI
OS,4,FR
OS,5,BO
