Date,ID,flood,conc,loess,base,variable,h.percent.change,SpC,pH,class
2022-08-30T00:00:00Z,AM,1,12.31465240068854,14.722895323600998,11.960639276395671,GPP,146.18046038410571,51.3,6.812401,BO
2022-08-31T00:00:00Z,AM,1,5.235755827781362,12.641051831817164,11.960639276395671,GPP,182.71011339003996,51.3,6.812401,BO
2022-09-01T00:00:00Z,AM,1,8.634465274793012,10.172318890748,11.960639276395671,GPP,213.56604904279476,51.3,6.812401,BO
2022-09-02T00:00:00Z,AM,1,11.369175744037648,8.140439289000467,11.960639276395671,GPP,239.0221730023942,51.3,6.812401,BO
2022-09-03T00:00:00Z,AM,1,10.458940654466684,6.5621599152445675,11.960639276395671,GPP,245.5127112141193,51.3,6.812401,BO
2022-09-04T00:00:00Z,AM,1,4.696369566402949,5.0323554230964165,11.960639276395671,GPP,232.82681092332433,51.3,6.812401,BO
2022-09-05T00:00:00Z,AM,1,3.6009919449168075,3.7419602485821297,11.960639276395671,GPP,220.10974712161544,51.3,6.812401,BO
2022-09-06T00:00:00Z,AM,1,1.716843313111427,2.7677154687333303,11.960639276395671,GPP,216.58899360891738,51.3,6.812401,BO
2022-09-07T00:00:00Z,AM,1,0,2.0194765791104876,11.960639276395671,GPP,215.31995673108395,51.3,6.812401,BO
2022-09-08T00:00:00Z,AM,1,0,1.437849643532995,11.960639276395671,GPP,211.53306347339566,51.3,6.812401,BO
2022-09-09T00:00:00Z,AM,1,1.3339192137961682,0.9634407258202464,11.960639276395671,GPP,205.11261941642678,51.3,6.812401,BO
2022-09-10T00:00:00Z,AM,1,0,0.5368558897916353,11.960639276395671,GPP,197.44142607445025,51.3,6.812401,BO
2022-09-11T00:00:00Z,AM,1,3.810560342323113,0.2469585280360359,11.960639276395671,GPP,190.78398595218218,51.3,6.812401,BO
2022-09-12T00:00:00Z,AM,1,0,0.168048744455209,11.960639276395671,GPP,190.6193251407011,51.3,6.812401,BO
2022-09-13T00:00:00Z,AM,1,0,0.2188876698378785,11.960639276395671,GPP,198.7670596537053,51.3,6.812401,BO
2022-09-14T00:00:00Z,AM,1,0,0.3182364349727686,11.960639276395671,GPP,207.5392915541586,51.3,6.812401,BO
2022-09-15T00:00:00Z,AM,1,0,0.3848561706486032,11.960639276395671,GPP,208.60412370502192,51.3,6.812401,BO
2022-09-16T00:00:00Z,AM,1,0,0.3263234262063698,11.960639276395671,GPP,201.31433980210548,51.3,6.812401,BO
2022-09-17T00:00:00Z,AM,1,0,0.18764315070402027,11.960639276395671,GPP,189.73025974890655,51.3,6.812401,BO
2022-09-18T00:00:00Z,AM,1,1.2996465028535718,0.0937190745057256,11.960639276395671,GPP,178.25047077598745,51.3,6.812401,BO
2022-09-19T00:00:00Z,AM,1,1.050508446929136,0.16945492797565614,11.960639276395671,GPP,167.34964379776304,51.3,6.812401,BO
2022-09-20T00:00:00Z,AM,1,1.2802126149124755,0.5397544414779829,11.960639276395671,GPP,155.72543269901288,51.3,6.812401,BO
2022-09-21T00:00:00Z,AM,1,2.2829615744640983,1.0696778125589157,11.960639276395671,GPP,143.44856589273653,51.3,6.812401,BO
2022-09-22T00:00:00Z,AM,1,3.3347758928840916,1.6798368773040342,11.960639276395671,GPP,131.2319701946448,51.3,6.812401,BO
2022-09-23T00:00:00Z,AM,1,1.013918993174816,2.578462823886568,11.960639276395671,GPP,119.6018425037808,51.3,6.812401,BO
2022-09-25T00:00:00Z,AM,1,0,6.044575250906,11.960639276395671,GPP,98.67383461464128,51.3,6.812401,BO
2023-02-10T00:00:00Z,AM,2,6.232898002150288,6.865202289625178,12.471933317948729,GPP,239.1492625932466,54.8,5.7648,FR
2023-02-11T00:00:00Z,AM,2,6.807552113738023,5.6413835668827,12.471933317948729,GPP,247.5428625388827,54.8,5.7648,FR
2023-02-14T00:00:00Z,AM,2,0.9560922812016944,2.840556105504926,12.471933317948729,GPP,362.6077027767899,54.8,5.7648,FR
2023-02-15T00:00:00Z,AM,2,3.1422555516847215,2.176333852101978,12.471933317948729,GPP,431.8140559484116,54.8,5.7648,FR
2023-02-16T00:00:00Z,AM,2,2.6307762207884435,1.668217316691792,12.471933317948729,GPP,497.4903555699534,54.8,5.7648,FR
