peak.Date,ID,flood,minimum,base,variable
2022-05-04T07:00:00Z,AM,NA,50.7,NA,SpC
2022-10-17T23:00:00Z,AM,1,51.3,378.6643248565873,SpC
2023-03-12T23:00:00Z,AM,2,54.8,367.2347322806232,SpC
2023-07-19T18:00:00Z,AM,3,68.1,357.030691528493,SpC
2023-10-27T06:00:00Z,AM,4,205.5,404.8171936758893,SpC
2023-12-21T22:00:00Z,AM,5,50.6,374.36110391342453,SpC
2024-04-14T03:00:00Z,AM,6,50.1,374.36110391342453,SpC
2024-07-21T16:00:00Z,AM,7,288,374.36110391342453,SpC
2022-03-22T04:00:00Z,GB,NA,350.5,NA,SpC
2022-08-31T17:00:00Z,GB,1,353.8,386.98376575187694,SpC
2023-10-26T05:00:00Z,GB,2,50.6,384.0102509724212,SpC
2022-10-20T22:10:00Z,ID,1,316.5,481.5706491613039,SpC
2023-03-13T07:00:00Z,ID,2,302.1,330.30198701828056,SpC
2023-11-06T10:00:00Z,ID,3,316.5,337.91117498962706,SpC
2023-12-14T15:00:00Z,ID,4,105.6,330.04622425629293,SpC
2024-04-17T09:00:00Z,ID,5,313.4,330.04622425629293,SpC
2024-06-03T07:00:00Z,ID,6,339.4,330.04622425629293,SpC
2024-07-09T06:00:00Z,ID,NA,82.8,NA,SpC
2022-07-26T19:00:00Z,LF,1,475.9,528.6377861732153,SpC
2023-01-28T02:00:00Z,LF,2,409.9,530.7661592057457,SpC
2023-06-15T19:00:00Z,LF,3,400,538.5508575316551,SpC
2023-10-28T08:00:00Z,LF,4,406.5,544.5610115987663,SpC
2023-12-17T08:00:00Z,LF,5,400.9,519.0969692092107,SpC
2024-04-22T08:00:00Z,LF,6,72.1,544.0082776291184,SpC
2024-07-16T11:00:00Z,LF,7,532.2,544.0082776291184,SpC
NA,LF,NA,400.1,NA,SpC
2022-05-15T03:00:00Z,OS,NA,50.1,NA,SpC
2022-07-26T19:00:00Z,OS,1,208.8,460.8540826120159,SpC
2023-02-20T09:00:00Z,OS,2,78.5,495.90592190016105,SpC
2023-06-21T22:00:00Z,OS,3,198.6,490.56867551559264,SpC
2023-12-24T09:00:00Z,OS,4,64.5,481.5706491613039,SpC
2024-04-19T01:00:00Z,OS,5,63.1,481.5706491613039,SpC
NA,GB,7,NA,481.5706491613039,SpC
