ID,flood,class
AM,1,BO
AM,2,FR
AM,3,FR
AM,4,BO
AM,5,FR
AM,6,FR
AM,7,HI
GB,1,HI
GB,2,HI
GB,3,FR
ID,2,HI
ID,3,HI
ID,4,HI
ID,5,BO
ID,6,BO
IU,1,HI
IU,2,HI
IU,3,HI
IU,4,BO
LF,1,BO
LF,2,BO
LF,3,BO
LF,4,BO
LF,5,BO
LF,6,FR
OS,1,BO
OS,2,FR
OS,3,BO
OS,4,FR
OS,5,FR
