recess.intercept,recess.slope,ID,flood,r2.recess,flood.start,flood.end,duration,rise.intercept,rise.slope,r2.rise,peak.Date,minimum,base,variable
-0.2046337038625187,0.003154573218381839,AM,1,0.1903643140156865,2022-08-30,2022-09-27,28,-0.0642881302849998,-0.004630418429381796,0.3069082820497333,2022-09-10T22:00:00Z,0,4.6566702562629905,DO
0.8794156830575429,0.0020893524461354563,AM,2,0.528326330044291,2023-02-09,2023-03-09,28,-0.7976999316472971,-0.08367395762132608,0.8896048227829871,2023-02-27T02:00:00Z,0.02,6.065716195184473,DO
0.623681209328593,0.005789000397443271,AM,3,0.8235590859206613,2023-06-18,2023-07-18,30,1.2799254069825456,-0.006959602188718019,0.7326802049949759,2023-06-29T09:00:00Z,0.11,6.372433263937081,DO
0.36471964895173636,0.00631597885871534,AM,4,0.9372344721198645,2023-08-31,2023-10-02,32,0.05086273439631752,-0.013781364838551488,0.8701266768866923,2023-09-08T05:00:00Z,0.58,4.92216862771693,DO
0.5727223400783306,0.0014935690125801068,AM,5,0.029946529934657865,2023-12-25,2023-12-31,6,-0.6251868919610843,-0.04495871735791091,0.7508561403580887,2023-12-27T20:00:00Z,0,4.82168016194332,DO
-0.6480885139757009,0.0015020922847821417,AM,6,0.3926289749592249,2024-03-09,2024-06-24,107,1.1774780676550631,-0.002011022489769043,0.24682630513106055,2024-04-11T00:00:00Z,0,4.82168016194332,DO
3.261235643344612,0.0016094619837614926,AM,7,0.8461383098056642,NA,2024-07-10,NA,3.4754210526315785,-0.001640803038524145,0.5949386556950852,2024-07-14T00:00:00Z,3.28,4.82168016194332,DO
4.079861118529984,0.0015790083534328076,GB,1,0.8042642065283682,2022-09-01,2022-09-24,23,4.1575706399862,-0.001040256757124829,0.5922700338227224,2022-09-15T23:00:00Z,4.03,4.82168016194332,DO
4.110290757037955,6.646538857197729e-4,GB,2,0.7011025362744134,2023-08-04,2023-08-15,11,4.224714804721633,-5.371253240770066e-4,0.6173189502338235,2023-08-06T05:00:00Z,3.85,5.84391529601452,DO
4.1278851640515155,7.73782587829681e-4,GB,3,0.21412711535334544,2023-12-27,2023-12-29,2,3.2355058083314296,-0.00801579195240059,0.928883816805235,2023-12-26T01:00:00Z,2.93,5.69178377872374,DO
3.9480464148011243,5.661895814736545e-4,ID,2,0.3972168896700595,2023-01-23,2023-04-29,96,3.8285131065653126,-0.0018952182505031102,0.6959267878331709,2023-02-28T08:00:00Z,3.43,6.271185751871215,DO
3.9217413041165985,0.0018327614929240395,ID,3,0.7305691832399497,2023-06-07,2023-11-02,148,4.284180403331831,-4.416874373948199e-5,0.021048584419009194,2023-09-10T07:00:00Z,3.9,6.339266962095039,DO
3.498014705882353,0.005514705882352973,ID,4,0.31250000000000044,2023-12-01,2024-01-13,43,3.8719331438997804,-8.756245571253481e-4,0.2448161337238222,2024-02-12T08:00:00Z,3.53,5.995847888953152,DO
3.5295271537622757,0.0016504670959609552,ID,5,0.19157984598160763,2024-03-18,2024-05-04,47,3.9325599885536087,-4.0954593406077554e-4,0.01711778111396842,2024-04-22T02:00:00Z,2.21,5.995847888953152,DO
2.9259605911330016,0.01024630541871928,ID,6,0.7428571428571461,2024-06-03,2024-06-18,15,3.7224710486934502,-0.0016226401519511906,0.2719562216182341,2024-06-16T07:00:00Z,2.99,5.995847888953152,DO
3.709795560015009,3.2392642970585563e-4,IU,1,0.6109665763313366,NA,2022-08-22,NA,3.766601752677709,-6.134371957157486e-4,0.24230769230770127,2022-08-25T07:00:00Z,3.7,5.995847888953152,DO
3.866873566494298,7.817049928937526e-4,IU,2,0.543239757765998,NA,2023-02-01,NA,3.9066666666666676,-0.002424242424242467,0.33333333333333554,2023-02-24T07:00:00Z,3.8,5.407792224666933,DO
3.591027910735559,0.0013398511302368573,IU,3,0.67116676414702,2023-12-01,2023-12-31,30,3.329870129870127,-0.009227614490772341,0.8211012894331351,2024-01-26T11:00:00Z,3.4,5.389712198060591,DO
2.998649308620117,0.0010886031855260245,IU,4,0.7375935696901115,2024-04-19,2024-04-23,4,2.9354355844682196,-6.02618743494664e-4,0.6347418527637139,2024-06-07T11:00:00Z,2.7,5.389712198060591,DO
2.6500048716912206,0.0011028891054013653,LF,1,0.32908948531272453,2022-07-26,2022-09-29,65,2.2904431611323814,0.0011172765886217706,0.476064807392454,2022-09-27T01:00:00Z,2.01,4.327541070608935,DO
2.012784162755537,5.127038972127227e-4,LF,2,0.095863338626658,2023-02-08,2023-03-20,40,1.3374007966766324,-0.002797125970897506,0.6133978162411999,2023-03-04T07:00:00Z,0.75,5.947044844162987,DO
2.071179966099696,9.398046252870595e-4,LF,3,0.6484307501067252,2023-06-20,2023-07-30,40,2.807471272041944,1.7947022606455884e-5,3.86023540912339e-5,2023-06-21T01:00:00Z,1.77,5.6591128456779884,DO
2.38719049875608,-6.032908480963096e-5,LF,4,0.0010793770834477351,2023-08-31,2023-09-27,27,1.8441927990708462,-0.012938983874888545,0.7547320457832304,2023-08-31T02:00:00Z,1.73,4.3926221882426635,DO
3.0754733215132894,-2.518526377212598e-4,LF,5,0.030167796976065434,2023-12-09,2023-12-30,21,2.5522138696256618,-0.0015177930265676345,0.17465588500619042,2023-12-26T03:00:00Z,2.01,4.790581024462766,DO
0.9582094007339408,0.004287326500705671,LF,6,0.9511569833919403,2024-03-15,2024-06-26,103,2.3686239796727757,7.3784962175986065e-6,4.153215121786526e-5,2024-06-11T10:00:00Z,0.8,4.790581024462766,DO
