Date,DO,depth,Temp,light,SpC,velocity_m.s,VentDO,VentTemp_F,Q_m.s,Mouth_Temp_C,Mouth_DO_sat,mouth_deficit,Vent_Temp_C,Vent_DO_sat,vent_deficit,mean.DO.deficit,mean.DO.sat,DO.sat.def,velocity_m.h,Q_m.h,u.h,deltaDO,deltaDO_rate,K600_1d,K_reaeration,rearation,not,hour,day,Month,year,time.x,time.y,ER,GPP,GPPavg,u_md,L_max,L_min,demars
2022-09-13T00:00:00Z,4.29,0.9100668897629872,72.97,0,NA,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.76,8.617426095409286,4.327426095409286,22.73,8.62234920530432,3.3745714275265417,3.8509987614679138,8.619887650356802,0.44675741931607543,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9577777777777774,-2.102055042383772,22.066040815541783,77.33411326883719,34.54958886908277,-36.65164391146654,0,13,9,2022,ER,ER,-36.4134151536749,0,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T01:00:00Z,4.27,0.9100668897629872,72.93,0,379.6,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.74,8.620707611048259,4.350707611048259,22.73,8.62234920530432,3.3745714275265417,3.8626395192874003,8.621528408176289,0.44802259372296893,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9777777777777779,-2.145949463222413,22.066040815541783,77.56787799832885,34.752161890398106,-36.89811135362052,1,13,9,2022,ER,ER,-36.4134151536749,0,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T02:00:00Z,4.27,0.9100668897629872,72.93,0,379.8,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.74,8.620707611048259,4.350707611048259,22.73,8.62234920530432,3.3745714275265417,3.8626395192874003,8.621528408176289,0.44802259372296893,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9777777777777779,-2.145949463222413,22.066040815541783,77.56787799832885,34.752161890398106,-36.89811135362052,2,13,9,2022,ER,ER,-36.4134151536749,0,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T03:00:00Z,4.29,0.9100668897629872,72.9,0,379.6,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.72,8.623991357586318,4.333991357586318,22.73,8.62234920530432,3.3745714275265417,3.85428139255643,8.623170281445319,0.44696802530384666,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9577777777777774,-2.102055042383772,22.066040815541783,77.40003366511444,34.595340205747455,-36.69739524813123,3,13,9,2022,ER,ER,-36.4134151536749,0,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T04:00:00Z,4.26,0.9100668897629872,72.9,0,379.6,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.72,8.623991357586318,4.363991357586318,22.73,8.62234920530432,3.3745714275265417,3.86928139255643,8.623170281445319,0.4487075247582731,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9877777777777776,-2.1678966736417333,22.066040815541783,77.70125726213018,34.86513881669622,-37.03303549033796,4,13,9,2022,ER,ER,-36.4134151536749,0,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T05:00:00Z,4.27,0.9100668897629872,72.9,0,379.8,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.72,8.623991357586318,4.3539913575863185,22.73,8.62234920530432,3.3745714275265417,3.86428139255643,8.623170281445319,0.44812769160679766,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9777777777777779,-2.145949463222413,22.066040815541783,77.60084939645827,34.7750895067616,-36.92103896998402,5,13,9,2022,ER,ER,-36.4134151536749,0,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T06:00:00Z,4.26,0.9100668897629872,72.86,116.32177077735508,379.6,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.7,8.6272773374117,4.3672773374117,22.73,8.62234920530432,3.3745714275265417,3.870924382469121,8.62481327135801,0.4488125436087997,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9877777777777776,-2.1678966736417333,22.066040815541783,77.73425108422093,34.88810695463429,-37.056003628276024,6,13,9,2022,ER,ER,-36.4134151536749,0,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T07:00:00Z,4.27,0.9100668897629872,72.86,636.1043538499947,380.1,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.7,8.6272773374117,4.3572773374117,22.73,8.62234920530432,3.3745714275265417,3.865924382469121,8.62481327135801,0.4482328209130511,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9777777777777779,-2.145949463222413,22.066040815541783,77.63384321854902,34.79803654417177,-36.94398600739419,7,13,9,2022,AM,ER,-36.4134151536749,0,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T08:00:00Z,4.33,0.9100668897629872,72.9,1117.7656524306994,380.3,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.72,8.623991357586318,4.293991357586318,22.73,8.62234920530432,3.3745714275265417,3.83428139255643,8.623170281445319,0.4446486926979448,31.14988628180737,467.7499220617604,0.009507813421983091,-0.9177777777777774,-2.0142662007064915,22.066040815541783,76.99840220242676,34.23723887913962,-36.25150507984611,8,13,9,2022,AM,ER,-36.4134151536749,0.16191007382878553,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
2022-09-13T09:00:00Z,4.52,0.9100668897629872,73.04,1528.4644580513575,381.6,0.008652746189390936,5.247777777777777,72.9061925,0.12993053390604456,22.8,8.610869747292538,4.090869747292539,22.73,8.62234920530432,3.3745714275265417,3.73272058740954,8.616609476298429,0.43320062231868295,31.14988628180737,467.7499220617604,0.009507813421983091,-0.7277777777777779,-1.59726920273941,22.066040815541783,74.95890146628265,32.47224276351848,-34.06951196625789,9,13,9,2022,AM,ER,-36.4134151536749,2.3439031874170055,2.0425925811022827,747.5972707633769,101.63997388740731,13.551996518320975,one
