Date,LowRangeSpC,Full RangeSpC,Temp
2022-12-12 12:00,489.1,435.9,73.63
2022-12-12 13:00,494.9,443.4,74.68
2022-12-12 14:00,502.2,452.4,75.79
2022-12-12 15:00,396.8,361.2,76.39
2022-12-12 16:00,27.3,-1.2,72.46
2022-12-12 17:00,3.3,-1.2,72.73
2022-12-12 18:00,2,3.5,71.06
2022-12-12 19:00,494.2,442.1,74.1
2022-12-12 20:00,490.4,436.7,73.44
2022-12-12 21:00,487.1,433.5,72.95
2022-12-12 22:00,484,430.2,72.48
2022-12-12 23:00,481.3,427.4,72.1
2022-12-13 00:00,479.1,424.5,71.78
2022-12-13 01:00,478.8,424.1,71.69
2022-12-13 02:00,476.2,420.9,71.33
2022-12-13 03:00,22.4,18,66.16
2022-12-13 04:00,128.6,116.5,68.09
2022-12-13 05:00,477.8,422.7,71.44
2022-12-13 06:00,477.4,421.6,71.42
2022-12-13 07:00,476.4,420.5,71.33
2022-12-13 08:00,475.2,418.7,71.17
2022-12-13 09:00,474.7,418.3,71.13
2022-12-13 10:00,476,420.1,71.4
2022-12-13 11:00,480.8,426.6,72.25
2022-12-13 12:00,486.7,433,73.26
2022-12-13 13:00,492.5,440.2,74.25
2022-12-13 14:00,25.2,21.2,71.64
2022-12-13 15:00,3.3,6,74.44
2022-12-13 16:00,3.3,6,74.3
2022-12-13 17:00,2,14.3,71.11
2022-12-13 18:00,2,-0.1,69.24
2022-12-13 19:00,2,-0.1,67.93
2022-12-13 20:00,486.3,432.7,72.88
2022-12-13 21:00,484.1,429.9,72.52
2022-12-13 22:00,482.1,427.7,72.23
2022-12-13 23:00,480.6,425.9,72.07
2022-12-14 00:00,479.3,425.2,71.89
2022-12-14 01:00,478.2,423,71.73
2022-12-14 02:00,476.6,421.6,71.51
2022-12-14 03:00,104.4,101.8,64.94
2022-12-14 04:00,83.9,81.1,62.71
2022-12-14 05:00,396.3,357.9,69.28
2022-12-14 06:00,476.9,421.2,71.42
2022-12-14 07:00,478.4,422.6,71.71
2022-12-14 08:00,479.3,423.7,71.87
2022-12-14 09:00,480.4,425.5,72.09
2022-12-14 10:00,482,427.3,72.36
2022-12-14 11:00,485.9,431.6,73
