Date,LowRangeSpC,FullRangeSpC,Temp,,,,
2022-04-18 11:00,532.4,534.7,73.96,,,,
2022-04-18 12:00,534.2,536.2,74.25,,,,
2022-04-18 13:00,2.4,5.5,79.56,,,,
2022-04-18 14:00,535.4,537.7,74.77,,,,
2022-04-18 15:00,533.2,535.6,74.89,,,,
2022-04-18 16:00,527.2,530,74.89,,,,
2022-04-18 17:00,520.2,524.1,74.88,,,,
2022-04-18 18:00,509.5,513.7,74.79,,,,
2022-04-18 19:00,498.6,503.8,74.61,,,,
2022-04-18 20:00,491.2,496.7,74.44,,,,
2022-04-18 21:00,517.2,519.4,74.3,,,,
2022-04-18 22:00,515,517.5,74.17,,,,
2022-04-18 23:00,513.4,515.9,74.01,,,,
2022-04-19 00:00,512.6,514.8,73.89,,,,
2022-04-19 01:00,511.7,514,73.78,,,,
2022-04-19 02:00,511.8,514.1,73.63,,,,
2022-04-19 03:00,511.8,513.7,73.58,,,,
2022-04-19 04:00,512.4,514.5,73.45,,,,
2022-04-19 05:00,513.4,515.3,73.35,,,,
2022-04-19 06:00,514.4,516.2,73.2,,,,
2022-04-19 07:00,515.8,517.8,73.09,,,,
2022-04-19 08:00,517.5,519.4,73.09,,,,
2022-04-19 09:00,519.2,521,73.17,,,,
2022-04-19 10:00,522.2,524.1,73.6,,,,
2022-04-19 11:00,521.6,523.3,73.35,,,,
2022-04-19 12:00,522.3,524.5,73.58,,,,
2022-04-19 13:00,522.4,524,73.87,,,,
2022-04-19 14:00,520.6,522.3,74.14,,,,
2022-04-19 15:00,516.9,519,74.34,,,,
2022-04-19 16:00,510.7,513.4,74.37,,,,
2022-04-19 17:00,502.8,505.9,74.34,,,,
2022-04-19 18:00,494.8,498.7,74.19,,,,
2022-04-19 19:00,488.3,492.4,73.99,,,,
2022-04-19 20:00,484,488.9,73.71,,,,
2022-04-19 21:00,481.6,486.2,73.42,,,,
2022-04-19 22:00,481.9,486.3,73.2,,,,
2022-04-19 23:00,483.3,487.5,73.02,,,,
2022-04-20 00:00,485.3,488.7,72.91,,,,
2022-04-20 01:00,488,491.6,72.77,,,,
2022-04-20 02:00,491.2,493.6,72.73,,,,
2022-04-20 03:00,494.4,497.2,72.64,,,,
2022-04-20 04:00,497.4,499.6,72.57,,,,
2022-04-20 05:00,500.7,502.8,72.5,,,,
2022-04-20 06:00,504.1,506,72.45,,,,
2022-04-20 07:00,507,508.4,72.43,,,,
2022-04-20 08:00,510.5,512.4,72.59,,,,
2022-04-20 09:00,513.6,515.1,72.77,,,,
2022-04-20 10:00,517.5,519.3,73.45,,,,
2022-04-20 11:00,517.7,519.7,73.36,,,,
2022-04-20 12:00,518.1,519.6,73.74,,,,
2022-04-20 13:00,517,518.7,74.1,,,,
2022-04-20 14:00,512.6,515,74.37,,,,
2022-04-20 15:00,504.8,507.8,74.55,,,,
2022-04-20 16:00,535,537.3,74.61,,,,
2022-04-20 17:00,535.1,536.9,74.55,,,,
2022-04-20 18:00,534.1,536.6,74.37,,,,
2022-04-20 19:00,533,534.7,74.14,,,,
2022-04-20 20:00,531.4,533.5,73.94,,,,
2022-04-20 21:00,530.3,532.4,73.76,,,,
2022-04-20 22:00,529.4,531.2,73.62,,,,
2022-04-20 23:00,528.8,530.9,73.53,,,,
2022-04-21 00:00,528,530.1,73.44,,,,
2022-04-21 01:00,527.4,529.3,73.36,,,,
2022-04-21 02:00,526.9,528.5,73.29,,,,
2022-04-21 03:00,526.4,528.2,73.24,,,,
2022-04-21 04:00,526,527.8,73.17,,,,
2022-04-21 05:00,525.7,527.8,73.15,,,,
2022-04-21 06:00,525.5,527.4,73.11,,,,
2022-04-21 07:00,525.5,527,73.09,,,,
2022-04-21 08:00,526.1,528.2,73.2,,,,
2022-04-21 09:00,527.1,528.9,73.33,,,,
2022-04-21 10:00,529.5,531.2,73.83,,,,
2022-04-21 11:00,530.2,531.6,73.85,,,,
2022-04-21 12:00,532,533.9,74.14,,,,
2022-04-21 13:00,534.1,536.2,74.44,,,,
2022-04-21 14:00,535.1,536.9,74.68,,,,
2022-04-21 15:00,535.5,537.7,74.75,,,,
2022-04-21 16:00,535.8,537.7,74.75,,,,
2022-04-21 17:00,535.1,536.9,74.61,,,,
2022-04-21 18:00,534.2,536.2,74.44,,,,
2022-04-21 19:00,533.2,535.1,74.21,,,,
2022-04-21 20:00,531.9,533.9,74.03,,,,
2022-04-21 21:00,530.9,532.8,73.89,,,,
2022-04-21 22:00,529.5,531.6,73.76,,,,
2022-04-21 23:00,529.1,530.8,73.62,,,,
2022-04-22 00:00,528.5,530.1,73.54,,,,
2022-04-22 01:00,527.7,529.7,73.45,,,,
2022-04-22 02:00,527.3,529.3,73.44,,,,
2022-04-22 03:00,527,528.9,73.38,,,,
2022-04-22 04:00,526.9,528.5,73.36,,,,
2022-04-22 05:00,526.8,528.5,73.36,,,,
