Date,LowRangeSpC,FullRangeSpC,Temp,,,,
2022-04-01 13:00,534.3,536.2,74.28,,,,
2022-04-01 14:00,531.9,534.2,74.44,,,,
2022-04-01 15:00,533.1,534.9,74.62,,,,
2022-04-01 16:00,534.7,536.9,74.79,,,,
2022-04-01 17:00,537.5,539.6,74.93,,,,
2022-04-01 18:00,536.9,538.9,74.86,,,,
2022-04-01 19:00,535.2,537.3,74.75,,,,
2022-04-01 20:00,536.2,538.1,74.55,,,,
2022-04-01 21:00,535.9,537.8,74.34,,,,
2022-04-01 22:00,535,536.7,74.14,,,,
2022-04-01 23:00,534,535.9,73.94,,,,
2022-04-02 00:00,532.6,534.4,73.76,,,,
2022-04-02 01:00,531.6,533.7,73.58,,,,
2022-04-02 02:00,530.5,532.5,73.38,,,,
2022-04-02 03:00,529.2,531,73.26,,,,
2022-04-02 04:00,528.3,530.6,73.15,,,,
2022-04-02 05:00,527.7,529.8,73.08,,,,
2022-04-02 06:00,527,529.4,73.02,,,,
2022-04-02 07:00,526.8,528.7,72.95,,,,
2022-04-02 08:00,526.7,528.7,72.95,,,,
2022-04-02 09:00,526.8,528.6,73,,,,
2022-04-02 10:00,527.2,529,73.08,,,,
2022-04-02 11:00,526,528.2,73.02,,,,
2022-04-02 12:00,524.2,526.2,72.99,,,,
2022-04-02 13:00,522.3,524.3,72.93,,,,
2022-04-02 14:00,520.8,522.7,72.86,,,,
2022-04-02 15:00,520.3,522.7,72.84,,,,
2022-04-02 16:00,519.8,521.9,72.82,,,,
2022-04-02 17:00,519.7,522.3,72.82,,,,
2022-04-02 18:00,520.2,522.3,72.86,,,,
2022-04-02 19:00,521.7,523.9,72.91,,,,
2022-04-02 20:00,522.6,524.7,72.93,,,,
2022-04-02 21:00,523.1,525.5,72.91,,,,
2022-04-02 22:00,523.7,526.3,72.91,,,,
2022-04-02 23:00,524.1,526.7,72.9,,,,
2022-04-03 00:00,524.2,526.7,72.84,,,,
2022-04-03 01:00,524.5,526.7,72.82,,,,
2022-04-03 02:00,524.6,527.1,72.79,,,,
2022-04-03 03:00,524.5,526.7,72.77,,,,
2022-04-03 04:00,524.6,526.7,72.75,,,,
2022-04-03 05:00,524.7,526.7,72.73,,,,
2022-04-03 06:00,524.5,526.7,72.7,,,,
2022-04-03 07:00,524.5,526.7,72.68,,,,
2022-04-03 08:00,524.4,526.7,72.68,,,,
2022-04-03 09:00,525,527.1,72.73,,,,
2022-04-03 10:00,526,528.3,72.91,,,,
2022-04-03 11:00,527.8,530.2,73.15,,,,
2022-04-03 12:00,530,532.5,73.51,,,,
2022-04-03 13:00,531.8,534.4,73.83,,,,
2022-04-03 14:00,533.9,535.9,74.17,,,,
2022-04-03 15:00,535.2,537.8,74.43,,,,
2022-04-03 16:00,536.2,538.1,74.55,,,,
2022-04-03 17:00,536.5,538.9,74.59,,,,
2022-04-03 18:00,536.4,538.6,74.53,,,,
2022-04-03 19:00,535.9,538.2,74.39,,,,
2022-04-03 20:00,534.9,536.7,74.19,,,,
2022-04-03 21:00,533.5,535.9,73.96,,,,
2022-04-03 22:00,532.3,534.8,73.76,,,,
2022-04-03 23:00,531.2,533.3,73.54,,,,
2022-04-04 00:00,529.9,532.1,73.35,,,,
2022-04-04 01:00,528.3,530.6,73.18,,,,
2022-04-04 02:00,527.6,529.8,73.08,,,,
2022-04-04 03:00,527,529.4,72.99,,,,
2022-04-04 04:00,526.4,528.7,72.91,,,,
2022-04-04 05:00,525.9,527.9,72.84,,,,
2022-04-04 06:00,525.2,527.5,72.75,,,,
2022-04-04 07:00,524.5,527.1,72.7,,,,
2022-04-04 08:00,524.9,527.1,72.68,,,,
2022-04-04 09:00,525.6,527.5,72.77,,,,
2022-04-04 10:00,527.5,529.8,73.09,,,,
2022-04-04 11:00,529.6,532.1,73.38,,,,
2022-04-04 12:00,532,534.4,73.78,,,,
2022-04-04 13:00,534.2,536.3,74.12,,,,
2022-04-04 14:00,535.7,537.8,74.39,,,,
2022-04-04 15:00,536.4,538.9,74.61,,,,
2022-04-04 16:00,538.2,540.5,74.84,,,,
2022-04-04 17:00,538.7,540.5,74.86,,,,
2022-04-04 18:00,538.4,540.5,74.77,,,,
2022-04-04 19:00,537.5,539.7,74.62,,,,
2022-04-04 20:00,536.5,538.6,74.39,,,,
2022-04-04 21:00,535.2,537.1,74.21,,,,
2022-04-04 22:00,534.3,536.3,74.03,,,,
2022-04-04 23:00,533.3,535.6,73.87,,,,
2022-04-05 00:00,532,534.4,73.74,,,,
2022-04-05 01:00,531.3,533.6,73.62,,,,
2022-04-05 02:00,530.8,533.3,73.54,,,,
2022-04-05 03:00,530.2,532.5,73.49,,,,
2022-04-05 04:00,530.1,532.1,73.45,,,,
2022-04-05 05:00,529.9,532.1,73.44,,,,
2022-04-05 06:00,529.7,532.1,73.42,,,,
2022-04-05 07:00,529.7,531.7,73.44,,,,
2022-04-05 08:00,529.7,532.1,73.45,,,,
2022-04-05 09:00,530.6,532.5,73.6,,,,
2022-04-05 10:00,531.8,534,73.78,,,,
2022-04-05 11:00,533.3,535.5,74.01,,,,
2022-04-05 12:00,535.1,537,74.34,,,,
2022-04-05 13:00,536.6,538.9,74.61,,,,
2022-04-05 14:00,537.6,540.1,74.8,,,,
2022-04-05 15:00,538.6,540.8,74.95,,,,
2022-04-05 16:00,539.3,542,75.02,,,,
2022-04-05 17:00,539.2,541.2,75,,,,
2022-04-05 18:00,538.4,540.9,74.86,,,,
2022-04-05 19:00,537.5,539.3,74.71,,,,
2022-04-05 20:00,536.6,538.9,74.59,,,,
2022-04-05 21:00,535.6,537.8,74.43,,,,
2022-04-05 22:00,534.9,537,74.3,,,,
2022-04-05 23:00,534.7,537,74.26,,,,
2022-04-06 00:00,534.1,535.9,74.17,,,,
2022-04-06 01:00,534.7,536.7,74.14,,,,
2022-04-06 02:00,534.6,537.1,74.12,,,,
2022-04-06 03:00,533.7,535.9,74.1,,,,
2022-04-06 04:00,534.3,536.3,74.1,,,,
2022-04-06 05:00,534.2,536.3,74.08,,,,
2022-04-06 06:00,533.9,536.3,74.08,,,,
2022-04-06 07:00,533.8,535.9,74.05,,,,
2022-04-06 08:00,533.5,535.9,74.05,,,,
2022-04-06 09:00,533.7,535.9,74.1,,,,
2022-04-06 10:00,534,536.3,74.17,,,,
2022-04-06 11:00,534.9,537,74.34,,,,
2022-04-06 12:00,535.7,538.2,74.46,,,,
2022-04-06 13:00,536,538.1,74.55,,,,
2022-04-06 14:00,536.3,538.5,74.61,,,,
