Date,LowRangeSpC,FullRangeSpC,Temp
2022-08-15 13:00,393.2,385.7,75.18
2022-08-15 14:00,393.2,385.3,75.29
2022-08-15 15:00,390.9,383.2,74.7
2022-08-15 16:00,387.7,379.3,73.85
2022-08-15 17:00,384.2,375.5,72.95
2022-08-15 18:00,383.9,375.1,72.91
2022-08-15 19:00,383.4,374.4,72.81
2022-08-15 20:00,382.3,373.4,72.52
2022-08-15 21:00,381.8,373.1,72.39
2022-08-15 22:00,381.4,372.3,72.34
2022-08-15 23:00,381.2,372.3,72.28
2022-08-16 00:00,381.1,372.3,72.28
2022-08-16 01:00,381,372,72.27
2022-08-16 02:00,380.9,372,72.25
2022-08-16 03:00,380.9,371.6,72.25
2022-08-16 04:00,380.8,371.6,72.25
2022-08-16 05:00,380.8,371.6,72.25
2022-08-16 06:00,380.8,371.6,72.25
2022-08-16 07:00,380.8,372,72.3
2022-08-16 08:00,380.3,371.6,72.46
2022-08-16 09:00,382,372.6,72.68
2022-08-16 10:00,383.9,374.7,73.18
2022-08-16 11:00,387.4,378.6,74.03
2022-08-16 12:00,390.2,381.7,74.73
2022-08-16 13:00,392,383.8,75.2
2022-08-16 14:00,392.5,384.2,75.24
2022-08-16 15:00,385.5,376.8,73.78
2022-08-16 16:00,381.5,372.6,72.77
2022-08-16 17:00,382.6,373.7,72.81
2022-08-16 18:00,383.3,374.4,73.04
2022-08-16 19:00,382.9,373.7,72.79
2022-08-16 20:00,382.1,373,72.55
2022-08-16 21:00,381.9,372.7,72.48
2022-08-16 22:00,381.4,372.3,72.43
2022-08-16 23:00,381.2,372.3,72.41
2022-08-17 00:00,381.1,372.3,72.39
2022-08-17 01:00,380.9,371.6,72.36
2022-08-17 02:00,380.8,371.6,72.34
2022-08-17 03:00,380.5,371.2,72.3
2022-08-17 04:00,380.4,370.9,72.28
2022-08-17 05:00,380,370.9,72.28
2022-08-17 06:00,379.9,370.5,72.25
2022-08-17 07:00,379.7,370.5,72.25
2022-08-17 08:00,380.6,371.2,72.48
2022-08-17 09:00,382,373,72.88
2022-08-17 10:00,383.2,374,73.24
2022-08-17 11:00,386.8,377.8,74.03
2022-08-17 12:00,390.9,382,75.04
2022-08-17 13:00,390.9,382.4,75.04
2022-08-17 14:00,387.7,378.9,74.26
2022-08-17 15:00,386.8,377.9,73.92
2022-08-17 16:00,378.7,369.8,73.78
2022-08-17 17:00,372.7,363.8,72.86
2022-08-17 18:00,381.4,372.3,72.66
2022-08-17 19:00,381.7,372.3,72.61
2022-08-17 20:00,381.3,372.3,72.48
2022-08-17 21:00,380.8,371.2,72.39
2022-08-17 22:00,380.8,371.6,72.39
2022-08-17 23:00,380.6,371.2,72.37
2022-08-18 00:00,380.6,371.2,72.34
2022-08-18 01:00,380.4,370.9,72.3
2022-08-18 02:00,381,372.3,72.28
2022-08-18 03:00,380.1,370.5,72.27
2022-08-18 04:00,380,370.1,72.25
2022-08-18 05:00,379.9,370.5,72.25
2022-08-18 06:00,379.9,370.2,72.23
2022-08-18 07:00,379.9,370.1,72.27
2022-08-18 08:00,380.6,370.8,72.48
2022-08-18 09:00,382,372.6,72.82
2022-08-18 10:00,383.5,374,73.27
2022-08-18 11:00,386.5,377.5,73.96
2022-08-18 12:00,388.4,379.6,74.46
2022-08-18 13:00,390.5,381.7,74.97
2022-08-18 14:00,388.1,379.6,74.16
2022-08-18 15:00,383.2,373.7,72.93
2022-08-18 16:00,382.9,373.3,72.99
2022-08-18 17:00,383.4,374,73.24
2022-08-18 18:00,383.2,374.1,72.86
2022-08-18 19:00,381.4,372.3,72.61
2022-08-18 20:00,381,371.2,72.48
2022-08-18 21:00,380.7,371.2,72.41
2022-08-18 22:00,380.5,370.9,72.37
2022-08-18 23:00,380.2,370.5,72.34
2022-08-19 00:00,380.1,370.5,72.34
2022-08-19 01:00,380.2,370.9,72.3
2022-08-19 02:00,379.8,370.1,72.27
2022-08-19 03:00,379.6,370.1,72.25
2022-08-19 04:00,379.6,370.2,72.23
2022-08-19 05:00,379.9,370.9,72.23
2022-08-19 06:00,379.4,369.8,72.23
2022-08-19 07:00,379.7,369.8,72.3
2022-08-19 08:00,380.3,370.1,72.48
2022-08-19 09:00,381.5,371.9,72.75
2022-08-19 10:00,383.4,373.6,73.29
2022-08-19 11:00,384.8,375.4,73.63
2022-08-19 12:00,388,378.9,74.43
2022-08-19 13:00,387.9,378.9,74.39
2022-08-19 14:00,383.3,373.6,73.24
2022-08-19 15:00,384.1,374.2,73.65
2022-08-19 16:00,386.1,376.4,73.81
2022-08-19 17:00,384.2,374.3,73.29
2022-08-19 18:00,382.3,372.6,72.88
2022-08-19 19:00,381.3,371.5,72.64
2022-08-19 20:00,380.8,371.2,72.48
2022-08-19 21:00,380.5,370.8,72.43
2022-08-19 22:00,380.3,370.9,72.39
2022-08-19 23:00,380.1,370.5,72.37
2022-08-20 00:00,380,370.5,72.36
2022-08-20 01:00,380.4,371.6,72.37
2022-08-20 02:00,380,370.1,72.36
2022-08-20 03:00,379.9,370.1,72.34
2022-08-20 04:00,379.7,370.1,72.3
2022-08-20 05:00,379.5,369.8,72.28
2022-08-20 06:00,379.5,369.8,72.27
2022-08-20 07:00,379.4,369.8,72.28
2022-08-20 08:00,380,370.1,72.41
2022-08-20 09:00,382.3,372.2,72.82
2022-08-20 10:00,384.2,374.3,73.33
2022-08-20 11:00,387.7,378.1,74.32
2022-08-20 12:00,387.6,378.2,74.26
2022-08-20 13:00,390.6,380.9,75.07
2022-08-20 14:00,391,382,74.97
2022-08-20 15:00,384.6,375.3,73.78
2022-08-20 16:00,379.1,369.5,73.36
2022-08-20 17:00,382.4,372.2,73
2022-08-20 18:00,382,372.2,72.86
2022-08-20 19:00,381.7,371.5,72.68
2022-08-20 20:00,381.2,371.2,72.54
2022-08-20 21:00,381,371.2,72.52
2022-08-20 22:00,381,370.8,72.52
2022-08-20 23:00,380.8,370.8,72.52
2022-08-21 00:00,380.6,370.5,72.46
2022-08-21 01:00,380.2,370.1,72.39
2022-08-21 02:00,379.9,370.1,72.34
2022-08-21 03:00,380,370.1,72.34
2022-08-21 04:00,379.8,369.4,72.3
2022-08-21 05:00,379.8,369.4,72.27
2022-08-21 06:00,379.4,369,72.25
2022-08-21 07:00,379.4,369.4,72.27
2022-08-21 08:00,380.3,370.1,72.5
2022-08-21 09:00,381.9,371.8,72.93
2022-08-21 10:00,383.8,373.6,73.38
2022-08-21 11:00,387.4,377.8,74.34
2022-08-21 12:00,394.4,385.1,75.85
2022-08-21 13:00,392.2,382.7,75.47
2022-08-21 14:00,393.4,384.8,75.74
2022-08-21 15:00,391,381.6,75.16
2022-08-21 16:00,388,378.2,74.26
2022-08-21 17:00,383.8,373.9,73.69
2022-08-21 18:00,382.6,372.2,72.9
2022-08-21 19:00,381.3,371.1,72.75
2022-08-21 20:00,380.6,370.8,72.59
2022-08-21 21:00,380.7,370.5,72.52
2022-08-21 22:00,380.7,370.8,72.48
2022-08-21 23:00,380.1,370.1,72.43
2022-08-22 00:00,380.1,369.7,72.43
2022-08-22 01:00,380.1,369.7,72.39
2022-08-22 02:00,380.1,370.1,72.36
2022-08-22 03:00,380.4,370.1,72.36
2022-08-22 04:00,379.8,369.4,72.36
2022-08-22 05:00,379.2,369,72.27
2022-08-22 06:00,379.4,369.1,72.21
2022-08-22 07:00,380,369.7,72.41
2022-08-22 08:00,381.4,371.1,72.79
2022-08-22 09:00,384,373.2,73.18
2022-08-22 10:00,385.2,374.6,73.76
2022-08-22 11:00,385.3,374.9,73.9
2022-08-22 12:00,384.4,374,74.8
2022-08-22 13:00,392.3,382.3,75.43
2022-08-22 14:00,393.5,383.3,75.87
2022-08-22 15:00,389,379.3,75.87
2022-08-22 16:00,322.8,314.6,75.18
2022-08-22 17:00,332.7,323.7,75.22
2022-08-22 18:00,313.8,306.7,74.64
2022-08-22 19:00,282.5,277.8,73.18
2022-08-22 20:00,182.6,184.3,72.88
2022-08-22 21:00,190.9,191.9,72.88
2022-08-22 22:00,49.9,54.3,72.82
2022-08-22 23:00,21.2,25.2,72.75
2022-08-23 00:00,11.8,13.1,72.77
2022-08-23 01:00,11.6,13.1,72.75
2022-08-23 02:00,10.4,12.1,72.68
2022-08-23 03:00,10.5,11.7,72.66
2022-08-23 04:00,9.5,11,72.59
2022-08-23 05:00,7.7,9.6,72.59
2022-08-23 06:00,7.9,9.2,72.61
2022-08-23 07:00,8,9.2,72.77
2022-08-23 08:00,7.6,9.2,73.38
2022-08-23 09:00,6.3,7.8,74.77
2022-08-23 10:00,6,7.4,74.86
2022-08-23 11:00,6.3,7.8,75.43
2022-08-23 12:00,7.3,8.9,75
2022-08-23 13:00,7.9,9.6,75.47
2022-08-23 14:00,12,15.6,75.54
2022-08-23 15:00,66.3,70.9,75.34
2022-08-23 16:00,44.5,49.3,74.59
2022-08-23 17:00,132.7,135,73.56
2022-08-23 18:00,114.7,118.9,73.15
2022-08-23 19:00,323.1,314,72.64
2022-08-23 20:00,375,364.2,72.46
2022-08-23 21:00,379.8,369,72.39
2022-08-23 22:00,381,370.5,72.41
2022-08-23 23:00,380.9,370.1,72.37
2022-08-24 00:00,380.8,370.1,72.36
2022-08-24 01:00,381.2,370.5,72.3
2022-08-24 02:00,380.6,370.1,72.3
2022-08-24 03:00,380.8,369.4,72.3
2022-08-24 04:00,380.6,370.1,72.27
2022-08-24 05:00,380.3,369.4,72.25
2022-08-24 06:00,380.4,369.4,72.25
2022-08-24 07:00,380.3,369.4,72.27
2022-08-24 08:00,381.1,370.1,72.43
