Date,FullRangeSpC,Temp
2023-01-18 14:00,322.5,72.1
2023-01-18 15:00,322.8,72.37
2023-01-18 16:00,323.6,72.61
2023-01-18 17:00,323.9,72.68
2023-01-18 18:00,324.7,72.61
2023-01-18 19:00,324.8,72.41
2023-01-18 20:00,323.7,72.16
2023-01-18 21:00,322.9,71.8
2023-01-18 22:00,322.2,71.42
2023-01-18 23:00,321.9,71.04
2023-01-19 00:00,320.4,70.79
2023-01-19 01:00,319.7,70.56
2023-01-19 02:00,319.3,70.45
2023-01-19 03:00,318.6,70.34
2023-01-19 04:00,318.6,70.29
2023-01-19 05:00,318.6,70.21
2023-01-19 06:00,318.2,70.18
2023-01-19 07:00,317.8,70.12
2023-01-19 08:00,317.8,70.12
2023-01-19 09:00,317.8,70.21
2023-01-19 10:00,318.5,70.56
2023-01-19 11:00,320.4,71.13
2023-01-19 12:00,321.8,71.71
2023-01-19 13:00,322.5,72.01
2023-01-19 14:00,323.6,72.41
2023-01-19 15:00,323.9,72.7
2023-01-19 16:00,325.4,73.08
2023-01-19 17:00,326.9,73.33
2023-01-19 18:00,327.7,73.33
2023-01-19 19:00,327.3,73.15
2023-01-19 20:00,327.4,72.93
2023-01-19 21:00,326.7,72.52
2023-01-19 22:00,326,72.19
2023-01-19 23:00,325.2,71.96
2023-01-20 00:00,316.4,71.78
2023-01-20 01:00,323.8,71.62
2023-01-20 02:00,323,71.44
2023-01-20 03:00,322.3,71.26
2023-01-20 04:00,321.5,71.04
2023-01-20 05:00,320.8,70.86
2023-01-20 06:00,320.1,70.68
2023-01-20 07:00,319.7,70.54
2023-01-20 08:00,318.6,70.38
2023-01-20 09:00,318.6,70.38
2023-01-20 10:00,318.5,70.61
2023-01-20 11:00,320.4,71.08
2023-01-20 12:00,320.7,71.46
2023-01-20 13:00,321,71.62
2023-01-20 14:00,322.9,71.92
2023-01-20 15:00,323.3,72.19
2023-01-20 16:00,323.6,72.41
2023-01-20 17:00,324.4,72.52
2023-01-20 18:00,325.1,72.46
2023-01-20 19:00,325.2,72.27
2023-01-20 20:00,323.7,71.87
2023-01-20 21:00,322.3,71.33
2023-01-20 22:00,320.8,70.79
2023-01-20 23:00,319.3,70.38
2023-01-21 00:00,318.6,70.03
2023-01-21 01:00,317.9,69.76
2023-01-21 02:00,316.8,69.64
2023-01-21 03:00,316.8,69.58
2023-01-21 04:00,316,69.48
2023-01-21 05:00,318.3,69.51
2023-01-21 06:00,316.4,69.51
2023-01-21 07:00,316.8,69.55
2023-01-21 08:00,317.6,69.6
2023-01-21 09:00,316.8,69.67
2023-01-21 10:00,316.8,69.71
2023-01-21 11:00,316.7,69.8
2023-01-21 12:00,316.4,69.8
2023-01-21 13:00,317.9,69.96
2023-01-21 14:00,316.7,70.11
2023-01-21 15:00,316.7,70.25
2023-01-21 16:00,316.7,70.2
2023-01-21 17:00,316.3,70.14
2023-01-21 18:00,316.7,70.21
2023-01-21 19:00,317.8,70.27
2023-01-21 20:00,318.6,70.3
2023-01-21 21:00,318.6,70.27
2023-01-21 22:00,318.2,70.18
2023-01-21 23:00,319,70.14
2023-01-22 00:00,319,70.12
2023-01-22 01:00,319.4,70.14
2023-01-22 02:00,319,70.18
2023-01-22 03:00,319,70.2
2023-01-22 04:00,319.4,70.21
2023-01-22 05:00,319.4,70.25
2023-01-22 06:00,319.4,70.27
2023-01-22 07:00,320.5,70.3
2023-01-22 08:00,319.7,70.36
2023-01-22 09:00,320.1,70.5
2023-01-22 10:00,320.8,70.79
2023-01-22 11:00,321.2,71.08
2023-01-22 12:00,323,71.55
2023-01-22 13:00,325.2,72.12
2023-01-22 14:00,325.5,72.41
2023-01-22 15:00,325.9,72.75
2023-01-22 16:00,326.6,72.95
2023-01-22 17:00,329.3,73.11
2023-01-22 18:00,330.8,73.15
2023-01-22 19:00,330.1,73.02
2023-01-22 20:00,328.6,72.84
2023-01-22 21:00,325.2,72.36
2023-01-22 22:00,324.5,72
2023-01-22 23:00,324.5,71.69
2023-01-23 00:00,323.8,71.46
2023-01-23 01:00,321.9,71.24
2023-01-23 02:00,320,70.97
2023-01-23 03:00,320.4,70.83
2023-01-23 04:00,321.2,70.75
2023-01-23 05:00,321.2,70.66
2023-01-23 06:00,321.2,70.59
2023-01-23 07:00,320.5,70.41
2023-01-23 08:00,320.2,70.2
2023-01-23 09:00,322.5,70.05
2023-01-23 10:00,319,70.12
2023-01-23 11:00,320.9,70.45
2023-01-23 12:00,320.4,70.75
2023-01-23 13:00,321.2,71.01
2023-01-23 14:00,321.1,71.2
2023-01-23 15:00,324.6,71.42
2023-01-23 16:00,321.4,71.62
2023-01-23 17:00,324.1,71.74
2023-01-23 18:00,324.5,71.78
2023-01-23 19:00,324.2,71.55
2023-01-23 20:00,323.1,71.17
2023-01-23 21:00,327.8,70.66
2023-01-23 22:00,319,70.12
2023-01-23 23:00,321,69.69
2023-01-24 00:00,318,69.37
2023-01-24 01:00,323.1,69.13
2023-01-24 02:00,315,68.94
2023-01-24 03:00,316.5,68.79
2023-01-24 04:00,321.2,68.61
2023-01-24 05:00,313.5,68.5
2023-01-24 06:00,315.8,68.38
2023-01-24 07:00,320.5,68.31
2023-01-24 08:00,312.8,68.22
2023-01-24 09:00,312.8,68.29
2023-01-24 10:00,313.9,68.63
2023-01-24 11:00,320.3,69.22
2023-01-24 12:00,316.7,69.87
2023-01-24 13:00,325.9,70.41
2023-01-24 14:00,321.2,70.88
2023-01-24 15:00,323,71.38
2023-01-24 16:00,326.4,71.8
2023-01-24 17:00,329.5,72.12
2023-01-24 18:00,327.1,72.36
2023-01-24 19:00,334.9,72.32
2023-01-24 20:00,326,72.03
2023-01-24 21:00,328,71.58
2023-01-24 22:00,324.6,71.11
2023-01-24 23:00,326.6,70.79
2023-01-25 00:00,321.6,70.61
2023-01-25 01:00,321.3,70.52
2023-01-25 02:00,321.3,70.5
2023-01-25 03:00,321.3,70.43
2023-01-25 04:00,320.9,70.43
2023-01-25 05:00,320.5,70.52
2023-01-25 06:00,321.2,70.56
2023-01-25 07:00,321.6,70.63
2023-01-25 08:00,322.8,70.68
2023-01-25 09:00,321.6,70.77
2023-01-25 10:00,322.3,71.01
2023-01-25 11:00,322.7,71.26
2023-01-25 12:00,323.4,71.49
2023-01-25 13:00,324.1,71.74
2023-01-25 14:00,324.5,71.96
2023-01-25 15:00,326.7,72.19
2023-01-25 16:00,327.5,72.46
2023-01-25 17:00,326.7,72.43
2023-01-25 18:00,327.5,72.34
2023-01-25 19:00,322.5,72.12
2023-01-25 20:00,323.3,71.94
2023-01-25 21:00,323.7,71.78
2023-01-25 22:00,324.2,71.53
2023-01-25 23:00,321.9,71.29
2023-01-26 00:00,320.4,71.08
2023-01-26 01:00,320,70.93
2023-01-26 02:00,321.2,70.79
2023-01-26 03:00,322,70.7
2023-01-26 04:00,324,70.59
2023-01-26 05:00,321.3,70.38
2023-01-26 06:00,320.2,70.09
2023-01-26 07:00,319.4,69.85
2023-01-26 08:00,318.3,69.64
2023-01-26 09:00,317.6,69.44
2023-01-26 10:00,316.4,69.42
2023-01-26 11:00,317.1,69.78
2023-01-26 12:00,317.8,70.12
