Date,LowRangeSpC,FullRangeSpC
2022-09-27 11:00,297.3,278.9
2022-09-27 12:00,297.1,278.8
2022-09-27 13:00,293.9,275.8
2022-09-27 14:00,303.4,285.3
2022-09-27 15:00,310.9,291.9
2022-09-27 16:00,316.2,297.1
2022-09-27 17:00,335.7,315.7
2022-09-27 18:00,313.3,293.3
2022-09-27 19:00,329.1,308.5
2022-09-27 20:00,316.5,296.7
2022-09-27 21:00,311.3,291.2
2022-09-27 22:00,309.7,289.8
2022-09-27 23:00,309.1,288.8
2022-09-28 00:00,302.2,281.9
2022-09-28 01:00,306.5,285.3
2022-09-28 02:00,383.8,357.3
2022-09-28 03:00,474.9,442
2022-09-28 04:00,10.6,8.2
2022-09-28 05:00,6.5,3.9
2022-09-28 06:00,5.7,3.1
2022-09-28 07:00,1.1,-0.5
2022-09-28 08:00,1.8,-0.1
2022-09-28 09:00,3.3,-1.2
2022-09-28 10:00,1.8,-1.2
2022-09-28 11:00,2,-1.2
2022-09-28 12:00,2,-1.2
2022-09-28 13:00,3.3,-1.2
2022-09-28 14:00,1.8,-1.2
2022-09-28 15:00,2,-1.2
2022-09-28 16:00,2,-1.2
2022-09-28 17:00,1.3,6
2022-09-28 18:00,2,-0.1
2022-09-28 19:00,2,-1.2
2022-09-28 20:00,2,-1.2
2022-09-28 21:00,1.8,-1.2
2022-09-28 22:00,2,-1.2
2022-09-28 23:00,2,-1.2
2022-09-29 00:00,2,6
2022-09-29 01:00,2,-1.2
2022-09-29 02:00,2,6
2022-09-29 03:00,2,3.5
2022-09-29 04:00,2,3.5
2022-09-29 05:00,2,22.3
2022-09-29 06:00,1.8,14.4
2022-09-29 07:00,3.3,14.4
2022-09-29 08:00,2,14.4
2022-09-29 09:00,2,3.5
2022-09-29 10:00,2,6
2022-09-29 11:00,2,-1.2
2022-09-29 12:00,2,-1.2
2022-09-29 13:00,2,-0.1
2022-09-29 14:00,2,-0.1
2022-09-29 15:00,3.2,-0.1
2022-09-29 16:00,3.3,6
2022-09-29 17:00,2,-1.2
2022-09-29 18:00,2,-1.2
2022-09-29 19:00,2,-0.1
2022-09-29 20:00,2,22.3
2022-09-29 21:00,1.8,14.4
2022-09-29 22:00,2,14.4
2022-09-29 23:00,3.3,9.6
2022-09-30 00:00,2.1,14.4
2022-09-30 01:00,2,1.3
2022-09-30 02:00,1.8,1.3
2022-09-30 03:00,3.3,14.4
2022-09-30 04:00,2,3.5
2022-09-30 05:00,3.3,-0.1
2022-09-30 06:00,2,3.5
2022-09-30 07:00,3.3,3.5
2022-09-30 08:00,2,-0.1
2022-09-30 09:00,2,3.5
2022-09-30 10:00,2,-0.1
2022-09-30 11:00,2,3.5
2022-09-30 12:00,1.8,14.3
2022-09-30 13:00,1.9,14.2
2022-09-30 14:00,1.9,14.2
2022-09-30 15:00,1.9,-0.1
2022-09-30 16:00,1.9,3.4
2022-09-30 17:00,3.3,1.3
2022-09-30 18:00,2,3.5
2022-09-30 19:00,1.8,-1.2
2022-09-30 20:00,3.3,-1.2
2022-09-30 21:00,2,-1.2
2022-09-30 22:00,3.3,3.5
2022-09-30 23:00,3.3,3.5
2022-10-01 00:00,3.6,3.5
2022-10-01 01:00,3.3,14.4
2022-10-01 02:00,3.3,14.4
2022-10-01 03:00,2,4.2
2022-10-01 04:00,2,14.4
2022-10-01 05:00,3.6,3.5
2022-10-01 06:00,3.3,1.3
2022-10-01 07:00,2.1,1.3
2022-10-01 08:00,3.3,-0.1
2022-10-01 09:00,2,3.5
2022-10-01 10:00,2,3.5
2022-10-01 11:00,1.9,3.5
2022-10-01 12:00,1.9,3.4
2022-10-01 13:00,1.9,-0.1
2022-10-01 14:00,1.9,-0.1
2022-10-01 15:00,1.9,3.4
2022-10-01 16:00,1.9,-0.1
2022-10-01 17:00,3.3,3.5
2022-10-01 18:00,2,14.3
2022-10-01 19:00,1.8,14.3
2022-10-01 20:00,2,-0.1
2022-10-01 21:00,1.4,-0.1
2022-10-01 22:00,2,-1.2
2022-10-01 23:00,1.4,-1.2
2022-10-02 00:00,2,-1.2
2022-10-02 01:00,2,-0.1
2022-10-02 02:00,2,6.1
2022-10-02 03:00,3.3,22.4
2022-10-02 04:00,1.8,6.1
2022-10-02 05:00,3.3,3.5
2022-10-02 06:00,3.3,14.4
2022-10-02 07:00,3.3,14.4
2022-10-02 08:00,3.3,-1.2
2022-10-02 09:00,2,3.5
2022-10-02 10:00,1.8,3.5
2022-10-02 11:00,2,14.3
2022-10-02 12:00,1.9,3.4
2022-10-02 13:00,1.9,3.4
2022-10-02 14:00,1.8,3.4
2022-10-02 15:00,1.9,-0.2
2022-10-02 16:00,1.9,3.4
2022-10-02 17:00,2,3.5
2022-10-02 18:00,2,4.2
2022-10-02 19:00,2,14.3
2022-10-02 20:00,2,-0.1
2022-10-02 21:00,2,-1.2
2022-10-02 22:00,2,-1.2
2022-10-02 23:00,2,-1.2
2022-10-03 00:00,2,-1.2
2022-10-03 01:00,2,-1.2
2022-10-03 02:00,3.3,-1.2
2022-10-03 03:00,2,3.5
2022-10-03 04:00,2,3.5
2022-10-03 05:00,2,3.5
2022-10-03 06:00,2,3.5
2022-10-03 07:00,3.3,3.5
2022-10-03 08:00,2,-1.2
2022-10-03 09:00,2,1.3
2022-10-03 10:00,2,14.3
2022-10-03 11:00,2,3.5
