Date,LowRangeSpC,Temp
2023-02-01 14:00,74,72.48
2023-02-01 15:00,379.4,72.95
2023-02-01 16:00,380.5,72.95
2023-02-01 17:00,380.5,72.79
2023-02-01 18:00,380,72.3
2023-02-01 19:00,378.7,71.73
2023-02-01 20:00,377.3,71.26
2023-02-01 21:00,375.7,70.9
2023-02-01 22:00,374.4,70.66
2023-02-01 23:00,373.9,70.57
2023-02-02 00:00,373.7,70.54
2023-02-02 01:00,373.9,70.57
2023-02-02 02:00,373.9,70.59
2023-02-02 03:00,373.9,70.61
2023-02-02 04:00,374.1,70.66
2023-02-02 05:00,374.1,70.66
2023-02-02 06:00,374.1,70.68
2023-02-02 07:00,374.2,70.68
2023-02-02 08:00,374.1,70.66
2023-02-02 09:00,374.1,70.75
2023-02-02 10:00,374.5,70.95
2023-02-02 11:00,375.3,71.26
2023-02-02 12:00,376.8,71.89
2023-02-02 13:00,379.9,73.11
2023-02-02 14:00,384.1,74.34
2023-02-02 15:00,385.5,74.7
2023-02-02 16:00,384.6,74.19
2023-02-02 17:00,383.2,73.42
2023-02-02 18:00,381,72.59
2023-02-02 19:00,379.5,71.98
2023-02-02 20:00,378.6,71.58
2023-02-02 21:00,377.9,71.37
2023-02-02 22:00,377.1,71.22
2023-02-02 23:00,376.5,71.15
2023-02-03 00:00,376.4,71.13
2023-02-03 01:00,376.4,71.15
2023-02-03 02:00,376.5,71.19
2023-02-03 03:00,376.7,71.26
2023-02-03 04:00,376.9,71.29
2023-02-03 05:00,373.2,71.15
2023-02-03 06:00,371.6,70.99
2023-02-03 07:00,367.4,70.59
2023-02-03 08:00,363.9,70.03
2023-02-03 09:00,365.2,69.66
2023-02-03 10:00,362.7,69.24
2023-02-03 11:00,362,69.08
2023-02-03 12:00,361.3,69.06
2023-02-03 13:00,362.7,69.39
2023-02-03 14:00,366.9,69.96
2023-02-03 15:00,369.8,70.7
2023-02-03 16:00,371.1,71.13
2023-02-03 17:00,371.4,70.97
2023-02-03 18:00,370.2,70.34
2023-02-03 19:00,368.6,69.66
2023-02-03 20:00,367.1,69.13
2023-02-03 21:00,365.5,68.74
2023-02-03 22:00,363.9,68.36
2023-02-03 23:00,362.3,68.05
2023-02-04 00:00,361.1,67.82
2023-02-04 01:00,360,67.62
2023-02-04 02:00,359.2,67.48
2023-02-04 03:00,358.7,67.33
2023-02-04 04:00,358.3,67.3
2023-02-04 05:00,357.4,67.1
2023-02-04 06:00,357.1,67.01
2023-02-04 07:00,356.7,66.94
2023-02-04 08:00,356.3,66.88
2023-02-04 09:00,356.7,67.01
2023-02-04 10:00,357.8,67.26
2023-02-04 11:00,359.5,67.84
2023-02-04 12:00,363.2,68.76
2023-02-04 13:00,367,70.12
2023-02-04 14:00,370.1,71.62
2023-02-04 15:00,376,72.66
2023-02-04 16:00,377,72.52
2023-02-04 17:00,375.9,71.98
2023-02-04 18:00,374.4,71.38
2023-02-04 19:00,372.2,70.66
2023-02-04 20:00,374,70.05
2023-02-04 21:00,372.6,69.53
2023-02-04 22:00,371.3,69.22
2023-02-04 23:00,370,68.97
2023-02-05 00:00,368.9,68.79
2023-02-05 01:00,368,68.63
2023-02-05 02:00,368,68.59
2023-02-05 03:00,367.7,68.59
2023-02-05 04:00,368.1,68.7
2023-02-05 05:00,368.9,68.86
2023-02-05 06:00,369.4,68.99
2023-02-05 07:00,369.7,69.08
2023-02-05 08:00,370,69.1
2023-02-05 09:00,370.1,69.17
2023-02-05 10:00,370.7,69.35
2023-02-05 11:00,371.8,69.69
2023-02-05 12:00,372.9,70.23
2023-02-05 13:00,375.2,71.19
2023-02-05 14:00,378.1,72.05
2023-02-05 15:00,380.3,72.82
2023-02-05 16:00,380.9,72.9
2023-02-05 17:00,380.2,72.36
2023-02-05 18:00,379.5,71.87
2023-02-05 19:00,378.4,71.37
2023-02-05 20:00,377,70.81
2023-02-05 21:00,374.9,70.2
2023-02-05 22:00,373.3,69.78
2023-02-05 23:00,371.5,69.4
2023-02-06 00:00,370.2,69.17
2023-02-06 01:00,369.4,69.04
2023-02-06 02:00,368.9,68.92
2023-02-06 03:00,368.7,68.92
2023-02-06 04:00,369.1,68.99
2023-02-06 05:00,369.3,69.04
2023-02-06 06:00,369.3,69.04
2023-02-06 07:00,369,68.99
2023-02-06 08:00,368.1,68.85
2023-02-06 09:00,367.6,68.77
2023-02-06 10:00,367.4,68.79
2023-02-06 11:00,368.8,69.15
2023-02-06 12:00,370.8,69.78
2023-02-06 13:00,374.2,70.84
2023-02-06 14:00,376.5,71.87
2023-02-06 15:00,379.6,72.97
2023-02-06 16:00,382.2,73.35
2023-02-06 17:00,381.5,72.91
2023-02-06 18:00,380.1,72.18
2023-02-06 19:00,378.2,71.35
2023-02-06 20:00,375.9,70.65
2023-02-06 21:00,373.5,69.96
2023-02-06 22:00,370.8,69.35
2023-02-06 23:00,368.6,68.85
2023-02-07 00:00,366.7,68.47
2023-02-07 01:00,365.3,68.18
2023-02-07 02:00,364.4,68.02
2023-02-07 03:00,363.6,67.87
2023-02-07 04:00,363.1,67.77
2023-02-07 05:00,362.6,67.68
2023-02-07 06:00,362.3,67.6
2023-02-07 07:00,361.7,67.53
2023-02-07 08:00,361.5,67.46
2023-02-07 09:00,361.7,67.53
2023-02-07 10:00,362.8,67.78
2023-02-07 11:00,365,68.4
2023-02-07 12:00,368.3,69.22
2023-02-07 13:00,370.8,70.21
2023-02-07 14:00,375.5,71.58
2023-02-07 15:00,378.9,72.9
2023-02-07 16:00,383.2,73.65
2023-02-07 17:00,383.1,73.36
2023-02-07 18:00,382.3,72.73
2023-02-07 19:00,380.9,72.03
2023-02-07 20:00,379.3,71.38
2023-02-07 21:00,377.6,70.88
2023-02-07 22:00,375.8,70.39
2023-02-07 23:00,373.5,69.93
2023-02-08 00:00,371.9,69.6
2023-02-08 01:00,370.6,69.39
2023-02-08 02:00,370,69.22
2023-02-08 03:00,369.2,69.08
2023-02-08 04:00,368.7,68.97
2023-02-08 05:00,368.1,68.86
2023-02-08 06:00,367.5,68.76
2023-02-08 07:00,367.1,68.63
2023-02-08 08:00,366.5,68.54
2023-02-08 09:00,366.7,68.67
2023-02-08 10:00,367.8,68.92
2023-02-08 11:00,370,69.46
2023-02-08 12:00,372.9,70.27
2023-02-08 13:00,375.3,71.2
2023-02-08 14:00,380.4,72.41
2023-02-08 15:00,381.1,73.42
2023-02-08 16:00,384.2,74.21
2023-02-08 17:00,383.8,73.83
2023-02-08 18:00,382.9,73.17
2023-02-08 19:00,381.4,72.41
2023-02-08 20:00,380.2,71.73
2023-02-08 21:00,379,71.2
2023-02-08 22:00,377.1,70.74
2023-02-08 23:00,375.4,70.34
2023-02-09 00:00,373.6,69.98
2023-02-09 01:00,372.3,69.71
2023-02-09 02:00,371.6,69.58
2023-02-09 03:00,370.8,69.46
2023-02-09 04:00,370.7,69.4
2023-02-09 05:00,370.2,69.37
2023-02-09 06:00,369.7,69.24
2023-02-09 07:00,369.3,69.15
2023-02-09 08:00,368.8,69.06
2023-02-09 09:00,368.4,69.13
2023-02-09 10:00,369.5,69.3
2023-02-09 11:00,371,69.78
2023-02-09 12:00,372.7,70.52
2023-02-09 13:00,371,71.29
2023-02-09 14:00,377.6,72.3
2023-02-09 15:00,379.4,73.17
2023-02-09 16:00,380.5,73.72
2023-02-09 17:00,383.1,73.49
2023-02-09 18:00,382.7,73.04
2023-02-09 19:00,382.4,72.57
2023-02-09 20:00,381.8,72.1
2023-02-09 21:00,381,71.73
2023-02-09 22:00,380.2,71.46
2023-02-09 23:00,379.2,71.29
2023-02-10 00:00,378.3,71.15
2023-02-10 01:00,376.9,71.01
2023-02-10 02:00,376,70.92
2023-02-10 03:00,375.4,70.83
2023-02-10 04:00,375.2,70.74
2023-02-10 05:00,375.1,70.66
2023-02-10 06:00,375.4,70.61
2023-02-10 07:00,375.6,70.61
2023-02-10 08:00,375.7,70.65
2023-02-10 09:00,376,70.75
2023-02-10 10:00,375.4,70.99
2023-02-10 11:00,377.8,71.22
2023-02-10 12:00,378.8,71.44
2023-02-10 13:00,377.1,71.53
2023-02-10 14:00,375.7,71.49
2023-02-10 15:00,360.8,71.01
2023-02-10 16:00,352.3,70.68
2023-02-10 17:00,346.6,70.43
2023-02-10 18:00,341.6,70.29
2023-02-10 19:00,343.4,70.21
2023-02-10 20:00,349.3,70.27
2023-02-10 21:00,355,70.3
2023-02-10 22:00,359.4,70.34
2023-02-10 23:00,363.3,70.36
2023-02-11 00:00,365.5,70.38
2023-02-11 01:00,364.7,70.27
2023-02-11 02:00,360.9,70.07
2023-02-11 03:00,355.5,69.78
2023-02-11 04:00,351.2,69.46
2023-02-11 05:00,347.5,69.04
2023-02-11 06:00,349.4,68.97
2023-02-11 07:00,349,68.76
2023-02-11 08:00,352.4,68.83
2023-02-11 09:00,356.1,68.94
2023-02-11 10:00,358.8,69.06
2023-02-11 11:00,360.9,69.13
2023-02-11 12:00,358.6,69.24
2023-02-11 13:00,357.4,69.4
2023-02-11 14:00,355.5,69.58
2023-02-11 15:00,357.2,69.85
2023-02-11 16:00,355,70.12
2023-02-11 17:00,354.5,70.34
2023-02-11 18:00,355.6,70.5
2023-02-11 19:00,354.9,70.54
2023-02-11 20:00,354.6,70.5
2023-02-11 21:00,356,70.43
2023-02-11 22:00,358.4,70.23
2023-02-11 23:00,359.5,70
2023-02-12 00:00,361.4,69.76
2023-02-12 01:00,363.5,69.62
2023-02-12 02:00,364.9,69.44
2023-02-12 03:00,366.2,69.28
2023-02-12 04:00,368.7,69.17
2023-02-12 05:00,368.1,69.06
2023-02-12 06:00,368.7,68.99
2023-02-12 07:00,368.3,68.83
2023-02-12 08:00,368.7,68.68
2023-02-12 09:00,368,68.54
2023-02-12 10:00,367.2,68.43
2023-02-12 11:00,367.5,68.52
2023-02-12 12:00,367.1,68.56
2023-02-12 13:00,367.3,68.61
2023-02-12 14:00,367.9,68.83
2023-02-12 15:00,368.7,69.1
2023-02-12 16:00,369.2,69.4
2023-02-12 17:00,370.9,69.6
2023-02-12 18:00,371.5,69.62
2023-02-12 19:00,371.3,69.55
2023-02-12 20:00,371,69.39
2023-02-12 21:00,370.3,69.08
2023-02-12 22:00,369.1,68.67
2023-02-12 23:00,368.3,68.31
2023-02-13 00:00,367.3,67.98
2023-02-13 01:00,365.9,67.71
2023-02-13 02:00,364.9,67.41
2023-02-13 03:00,363.3,67.1
2023-02-13 04:00,362.4,66.92
2023-02-13 05:00,361.2,66.65
2023-02-13 06:00,361.8,66.47
2023-02-13 07:00,361.4,66.38
2023-02-13 08:00,360.2,66.16
2023-02-13 09:00,359.2,66.09
2023-02-13 10:00,359.3,66.15
2023-02-13 11:00,359.8,66.27
2023-02-13 12:00,359.7,66.38
2023-02-13 13:00,353.7,66.4
2023-02-13 14:00,261.9,65.08
2023-02-13 15:00,214.8,64.2
2023-02-13 16:00,195.2,63.9
2023-02-13 17:00,192.9,63.97
2023-02-13 18:00,184.2,63.75
2023-02-13 19:00,168.9,63.5
2023-02-13 20:00,152.3,63.05
2023-02-13 21:00,137.6,62.74
2023-02-13 22:00,131.4,62.53
2023-02-13 23:00,128,62.4
2023-02-14 00:00,125.3,62.19
2023-02-14 01:00,122.2,62.06
2023-02-14 02:00,117,61.75
2023-02-14 03:00,116.1,61.61
2023-02-14 04:00,116.8,61.48
2023-02-14 05:00,117.6,61.36
2023-02-14 06:00,118.3,61.27
2023-02-14 07:00,120.7,61.14
2023-02-14 08:00,121.6,61.14
2023-02-14 09:00,124.6,61
2023-02-14 10:00,127.2,60.91
2023-02-14 11:00,127.4,60.8
2023-02-14 12:00,127.5,60.84
2023-02-14 13:00,130.6,60.89
2023-02-14 14:00,132.7,60.91
2023-02-14 15:00,134.1,60.98
2023-02-14 16:00,133.1,61.07
2023-02-14 17:00,130.3,61.03
2023-02-14 18:00,125.1,60.91
2023-02-14 19:00,120.1,60.76
2023-02-14 20:00,115.4,60.62
2023-02-14 21:00,111.1,60.46
2023-02-14 22:00,109.2,60.3
2023-02-14 23:00,108.5,60.21
2023-02-15 00:00,105.3,59.99
2023-02-15 01:00,104.6,59.95
2023-02-15 02:00,102.6,59.77
2023-02-15 03:00,101.3,59.65
2023-02-15 04:00,100.5,59.52
2023-02-15 05:00,97.1,59.38
2023-02-15 06:00,96.1,59.31
2023-02-15 07:00,94.8,59.14
2023-02-15 08:00,94.4,58.98
2023-02-15 09:00,91.8,58.86
2023-02-15 10:00,88.4,58.66
2023-02-15 11:00,83.2,58.6
2023-02-15 12:00,85.6,58.62
2023-02-15 13:00,84.4,58.71
