Date,LowRangeSpC,FullRangeSpC,Temp
2022-06-27 13:00,551.3,550.9,77.29
2022-06-27 14:00,548.6,548.6,76.78
2022-06-27 15:00,547.3,547.1,76.55
2022-06-27 16:00,544.5,544.5,76.03
2022-06-27 17:00,541.8,541.4,75.49
2022-06-27 18:00,539.5,539.2,75.13
2022-06-27 19:00,538.4,538,74.93
2022-06-27 20:00,537.1,536.9,74.71
2022-06-27 21:00,536.7,536.1,74.62
2022-06-27 22:00,536.3,535.7,74.61
2022-06-27 23:00,541.4,541.3,74.59
2022-06-28 00:00,542.9,543.3,74.55
2022-06-28 01:00,536.8,537.4,74.53
2022-06-28 02:00,535.5,535.4,74.5
2022-06-28 03:00,534.8,534.6,74.46
2022-06-28 04:00,535,535,74.46
2022-06-28 05:00,535.5,535.4,74.46
2022-06-28 06:00,535.9,535.8,74.46
2022-06-28 07:00,536.6,536.6,74.53
2022-06-28 08:00,537.2,537.3,74.77
2022-06-28 09:00,539.8,539.5,75.24
2022-06-28 10:00,543.7,543.3,75.9
2022-06-28 11:00,546.1,546.3,76.46
2022-06-28 12:00,549.9,549.7,77
2022-06-28 13:00,552.9,552.8,77.49
2022-06-28 14:00,553.6,554,77.56
2022-06-28 15:00,550.5,549.8,76.95
2022-06-28 16:00,545.2,544.9,75.96
2022-06-28 17:00,541.5,541.1,75.27
2022-06-28 18:00,541.2,540.7,75.22
2022-06-28 19:00,540.3,540,75.09
2022-06-28 20:00,482.3,481.9,74.62
2022-06-28 21:00,501.6,501,74.64
2022-06-28 22:00,524.2,523.7,74.61
2022-06-28 23:00,531.8,531.4,74.53
2022-06-29 00:00,534.5,533.8,74.5
2022-06-29 01:00,535.3,535,74.5
2022-06-29 02:00,535.2,535,74.46
2022-06-29 03:00,535.6,535,74.46
2022-06-29 04:00,535.3,535,74.46
2022-06-29 05:00,535.3,535,74.43
2022-06-29 06:00,535.6,537.8,74.43
2022-06-29 07:00,535.2,535,74.5
2022-06-29 08:00,536.8,536.9,74.68
2022-06-29 09:00,539.8,539.6,75.15
2022-06-29 10:00,543.7,543.3,75.81
2022-06-29 11:00,547.1,546.7,76.41
2022-06-29 12:00,552.3,552.1,77.25
2022-06-29 13:00,552.1,552.1,77.23
2022-06-29 14:00,554.1,554,77.56
2022-06-29 15:00,551.6,550.9,77.09
2022-06-29 16:00,546.6,546.4,76.21
2022-06-29 17:00,541.6,541.1,75.31
2022-06-29 18:00,540.9,540.4,75.15
2022-06-29 19:00,539.2,539.2,74.89
2022-06-29 20:00,538.2,538.1,74.75
2022-06-29 21:00,536.9,536.1,74.61
2022-06-29 22:00,536.7,536.1,74.55
2022-06-29 23:00,536.6,536.6,74.53
2022-06-30 00:00,536.2,535.8,74.5
2022-06-30 01:00,536,535.8,74.5
2022-06-30 02:00,536,535.4,74.44
2022-06-30 03:00,535.7,535.4,74.44
2022-06-30 04:00,535.2,535,74.43
2022-06-30 05:00,535.1,534.6,74.39
2022-06-30 06:00,535.1,534.6,74.43
2022-06-30 07:00,535.5,535,74.46
2022-06-30 08:00,536.6,536.1,74.64
2022-06-30 09:00,539.5,539.1,75.18
2022-06-30 10:00,543.2,542.9,75.81
2022-06-30 11:00,548.6,548.2,76.75
2022-06-30 12:00,550.7,550.5,77.13
2022-06-30 13:00,551.6,550.9,77.25
2022-06-30 14:00,553.2,553.2,77.49
2022-06-30 15:00,546.8,546.4,76.35
2022-06-30 16:00,546.8,546.4,76.39
2022-06-30 17:00,543.7,543.3,75.79
2022-06-30 18:00,541.2,541.1,75.31
2022-06-30 19:00,537.9,538,75
2022-06-30 20:00,530.7,530.5,74.79
2022-06-30 21:00,533,532.9,74.7
2022-06-30 22:00,533.5,533.3,74.64
2022-06-30 23:00,536,535.3,74.61
2022-07-01 00:00,536.2,535.7,74.59
2022-07-01 01:00,536.2,535.8,74.53
2022-07-01 02:00,535.9,535.8,74.52
2022-07-01 03:00,535.3,535,74.46
2022-07-01 04:00,535.2,535,74.46
2022-07-01 05:00,535.5,535,74.46
2022-07-01 06:00,536.6,535.8,74.46
2022-07-01 07:00,536,535.3,74.55
2022-07-01 08:00,537,536.9,74.75
2022-07-01 09:00,539.3,539.2,75.09
2022-07-01 10:00,540.3,539.9,75.29
2022-07-01 11:00,543.2,542.8,76.28
2022-07-01 12:00,549.1,550.3,76.55
2022-07-01 13:00,537.3,537.8,75.49
2022-07-01 14:00,537.6,537.6,74.95
2022-07-01 15:00,539.3,539.2,75.15
2022-07-01 16:00,543.6,543.3,75.85
2022-07-01 17:00,543,543,75.69
2022-07-01 18:00,541.1,540.7,75.27
2022-07-01 19:00,539.9,540,75.04
2022-07-01 20:00,538.5,538.1,74.8
2022-07-01 21:00,537.9,537.7,74.7
2022-07-01 22:00,537.6,537.3,74.64
2022-07-01 23:00,537.6,537.3,74.61
2022-07-02 00:00,537,536.9,74.59
2022-07-02 01:00,537,536.9,74.55
2022-07-02 02:00,536.8,536.6,74.52
2022-07-02 03:00,536.6,536.2,74.52
2022-07-02 04:00,536.1,535.8,74.5
2022-07-02 05:00,537.8,538.2,74.5
2022-07-02 06:00,536.5,536.6,74.5
2022-07-02 07:00,536.9,536.9,74.61
2022-07-02 08:00,538,537.7,74.79
2022-07-02 09:00,539.5,539.2,75.06
2022-07-02 10:00,540.7,540.7,75.27
2022-07-02 11:00,542.7,542.2,75.56
2022-07-02 12:00,537.9,537.7,74.84
2022-07-02 13:00,539.4,539.2,75.13
2022-07-02 14:00,542.9,544.9,75.97
2022-07-02 15:00,540.7,540.3,75.22
2022-07-02 16:00,542.2,542.2,75.6
2022-07-02 17:00,541.3,541.1,75.34
2022-07-02 18:00,539.7,539.2,75.02
2022-07-02 19:00,539.4,539.2,74.93
2022-07-02 20:00,538.5,538.1,74.75
2022-07-02 21:00,538,537.7,74.64
2022-07-02 22:00,538.2,537.7,74.62
2022-07-02 23:00,537.2,537.3,74.61
2022-07-03 00:00,537.6,537.3,74.61
