"TOA5","OtterCO2_CH4","CR800","35501","CR800.Std.27.04","CPU:Otter_09272022_hour.CR8","37055","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2","cDOM","pH"
"TS","RN","Volts","mV","ppbQS",""
"","","Min","Smp","Smp","Smp"
"2023-01-04 11:39:00",0,12.7,513.6,6.335392,"NAN"
"2023-01-04 11:39:30",1,12.69,1180,6.177007,648
"2023-01-04 11:40:00",2,12.69,1135,5.709975,644
"2023-01-04 11:40:30",3,12.69,1105,5.86836,650
"2023-01-04 11:41:00",4,12.68,1108,5.841962,627
"2023-01-04 11:41:30",5,12.69,1117,6.170951,619
"2023-01-04 11:42:00",6,12.68,1127,6.158768,618
"2023-01-04 11:42:30",7,12.69,1127,5.872455,620
"2023-01-04 11:43:00",8,12.68,1132,6.073483,621
"2023-01-04 11:43:30",9,12.68,1137,6.055208,621
"2023-01-04 11:44:00",10,12.69,1147,6.055239,621
"2023-01-04 11:44:30",11,12.69,1155,5.705976,621
"2023-01-04 11:45:00",12,12.69,1165,5.803445,621
"2023-01-04 11:45:30",13,12.69,1170,5.988229,621
"2023-01-04 11:46:00",14,12.69,1150,6.134432,639
"2023-01-04 11:46:30",15,12.69,1087,6.059328,652
"2023-01-04 11:47:00",16,12.69,1074,5.758799,614
"2023-01-04 11:47:30",17,12.69,1067,5.89891,610
"2023-01-04 11:48:00",18,12.69,1070,5.915155,610
"2023-01-04 11:48:30",19,12.69,1072,6.274572,611
"2023-01-04 11:49:00",20,12.69,1080,6.087781,611
"2023-01-04 11:49:30",21,12.69,1089,6.11621,611
"2023-01-04 11:50:00",22,12.69,1094,6.08372,611
"2023-01-04 11:50:30",23,12.69,1102,6.030924,611
"2023-01-04 11:51:00",24,12.69,1112,5.608556,611
"2023-01-04 11:51:30",25,12.69,1123,6.355844,611
"2023-01-04 11:52:00",26,12.69,1132,6.051251,611
"2023-01-04 11:52:30",27,12.69,1143,6.215732,611
"2023-01-04 11:53:00",28,12.69,1145,6.221824,611
"2023-01-04 11:53:30",29,12.69,1152,6.059392,611
"2023-01-04 11:54:00",30,12.69,1160,5.961923,611
"2023-01-04 11:54:30",31,12.69,1166,6.120311,611
"2023-01-04 11:55:00",32,12.69,1177,6.242149,611
"2023-01-04 11:55:30",33,12.69,1186,6.091883,611
"2023-01-04 11:56:00",34,12.69,1184,6.018797,610
