Date,DO,depth,Temp,velocity_m.s,VentDO,VentTemp_F,velocity_m.s_abs,Q_m.s,Mouth_Temp_C,Mouth_DO_sat,mouth_deficit,Vent_Temp_C,Vent_DO_sat,vent_deficit,DO_deficit,velocity_m.h_abs,velocity_m.h,Q_m.h,U.H,deltaDO,deltaDO_rate,K600_1d,K600_avg,K_reaeration,not,season,hour,Month,day,year,set,time.x,time.y,ER,GPP,GPPavg
2023-01-31T11:00:00Z,8.14,0.7984919979834563,73.15,0.0972618280826783,1.93,74.42,0.0972618280826783,0.5537357029191526,22.86,8.601051897312189,0.46105189731218843,23.57,8.486371406137442,6.556371406137442,3.5087116517248154,350.1425810976419,350.1425810976419,1993.4485305089495,0.1218068914006743,6.210000000000001,130.21720239614913,11.596449528456588,11.29540003460761,32.489519576107824,97.72768282004131,winter,11,1,31,2023,winter,AM,ER,-10.404321782927447,108.13200460296875,47.78128526528
2023-01-31T12:00:00Z,8.8,0.817649821951491,74.59,0.09647635729998888,1.93,74.42,0.09647635729998888,0.5624420385100027,23.66,8.472028649447285,-0.32797135055271553,23.57,8.486371406137442,6.556371406137442,3.1142000277923634,347.31488627996,347.31488627996,2024.7913386360099,0.11799226846246726,6.870000000000001,146.32170227660646,11.502609804176695,11.292719494582245,29.289384039702796,117.03231823690366,winter,12,1,31,2023,winter,AM,ER,-10.404321782927447,127.43664001983112,47.78128526528
2023-01-31T13:00:00Z,9.08,0.8368595695581048,75.88,0.09568875764811771,1.93,74.42,0.09568875764811771,0.5709565145884792,24.38,8.358817637168613,-0.7211823628313869,23.57,8.486371406137442,6.556371406137442,2.9175945216530277,344.47952753322375,344.47952753322375,2055.443452518525,0.11434267005950018,7.15,154.59068042258895,11.412829683463704,11.29001982152947,27.865757781015617,126.72492264157333,winter,13,1,31,2023,winter,AM,ER,-10.404321782927447,137.12924442450077,47.78128526528
2023-01-31T14:00:00Z,9.05,0.8639515447352519,76.6,0.09457798666585468,1.93,74.42,0.09457798666585468,0.5825979874435355,24.78,8.297073692987805,-0.7529263070121957,23.57,8.486371406137442,6.556371406137442,2.9017225495626233,340.4807519970768,340.4807519970768,2097.352754796728,0.10947140177269667,7.120000000000001,157.08083745602426,11.292996483608338,11.28730069806742,28.310951324527956,128.7698861314963,winter,14,1,31,2023,winter,AM,ER,-10.404321782927447,139.17420791442373,47.78128526528
2023-01-31T15:00:00Z,8.89,0.8758227370764182,76.75,0.09409126777986686,1.93,74.42,0.09409126777986686,0.5875638470923263,24.86,8.284821474409462,-0.6051785255905386,23.57,8.486371406137442,6.556371406137442,2.975596440273452,338.7285640075207,338.7285640075207,2115.229849532375,0.10743186240397537,6.960000000000001,154.8597449447265,11.242823815137793,11.284560963554489,29.299867141372278,125.55987780335421,winter,15,1,31,2023,winter,AM,ER,-10.404321782927447,135.96419958628167,47.78128526528
2023-01-31T16:00:00Z,8.31,0.8814345734558791,76.14,0.09386118248830896,1.93,74.42,0.09386118248830896,0.5898826633301133,24.52,8.33711516073484,0.027115160734838994,23.57,8.486371406137442,6.556371406137442,3.2917432834361406,337.9002569579123,337.9002569579123,2123.5775879884077,0.10648684010692175,6.380000000000001,142.5149896006246,11.219576266630275,11.28180290890748,32.55311065684051,109.96187894378409,winter,16,1,31,2023,winter,AM,ER,-10.404321782927447,120.36620072671153,47.78128526528
2023-01-31T17:00:00Z,7.26,0.8865607701486549,75.09,0.09365100842390515,1.93,74.42,0.09365100842390515,0.591984721394423,23.94,8.427680844913446,1.1676808449134466,23.57,8.486371406137442,6.556371406137442,3.8620261255254444,337.14363032605854,337.14363032605854,2131.144997019923,0.10563405417566822,5.33,119.4846020418954,11.198597732721439,11.279025478398596,38.343112337035706,81.1414897048597,winter,17,1,31,2023,winter,AM,ER,-10.404321782927447,91.54581148778715,47.78128526528
2023-01-31T18:00:00Z,5.97,0.8853196909493511,73.94,0.0937018926710766,1.93,74.42,0.0937018926710766,0.5914772116124082,23.3,8.52965979786207,2.5596597978620705,23.57,8.486371406137442,6.556371406137442,4.558015601999756,337.3268136158758,337.3268136158758,2129.3179618046693,0.10583961209605272,4.04,90.48854732493898,11.203654457562896,11.276229204304098,45.21011763409997,45.278429690839005,winter,18,1,31,2023,winter,AM,ER,-10.404321782927447,55.68275147376645,47.78128526528
2023-01-31T19:00:00Z,4.87,0.8749033813416305,72.9,0.09412896136499316,1.93,74.42,0.09412896136499316,0.5871822131183105,22.72,8.623991357586318,3.753991357586318,23.57,8.486371406137442,6.556371406137442,5.15518138186188,338.8642609139754,338.8642609139754,2113.855967225918,0.10758783583696983,2.9400000000000004,65.37240403552805,11.246660761589457,11.273414536655594,50.72565233323635,14.646751702291702,winter,19,1,31,2023,winter,AM,ER,-10.404321782927447,25.05107348521915,47.78128526528
2023-01-31T20:00:00Z,4.41,0.8756048608890632,72.21,0.09410020070354841,1.93,74.42,0.09410020070354841,0.5874734491357103,22.34,8.686809604528337,4.276809604528337,23.57,8.486371406137442,6.556371406137442,5.4165905053328895,338.76072253277425,338.76072253277425,2114.904416888557,0.10746879660764087,2.4800000000000004,55.17141957100585,11.243732396547966,11.270586680293524,53.3266950334159,1.844724537589947,winter,20,1,31,2023,winter,ER,ER,-10.404321782927447,12.249046320517394,47.78128526528
