"Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733145, SEN S/N: 10733145)","Temp, °F (LGR S/N: 10733145, SEN S/N: 10733145)"
5/17/2023 11:03,7.55,90.36
5/17/2023 11:04,7.61,90.5
5/17/2023 11:05,7.52,90.75
5/17/2023 11:06,7.43,90.79
5/17/2023 11:07,7.43,90.68
5/17/2023 11:08,7.38,90.43
5/17/2023 11:09,7.35,90.1
5/17/2023 11:10,7.3,89.78
5/17/2023 11:11,7.32,89.42
5/17/2023 11:12,7.3,89.06
5/17/2023 11:13,7.34,88.66
5/17/2023 11:14,7.35,88.27
5/17/2023 11:15,7.36,87.94
5/17/2023 11:16,-888.88,-888.88
5/17/2023 11:17,7.41,87.26
5/17/2023 11:18,7.52,87.04
5/17/2023 11:19,3.99,87.44
5/17/2023 11:20,2.18,84.06
5/17/2023 11:21,1.72,81.72
5/17/2023 11:22,1.6,80.02
5/17/2023 11:23,1.58,78.76
5/17/2023 11:24,1.6,77.83
5/17/2023 11:25,1.62,77.07
5/17/2023 11:26,1.64,76.5
5/17/2023 11:27,1.64,76.03
5/17/2023 11:28,1.64,75.63
5/17/2023 11:29,1.63,75.31
5/17/2023 11:30,1.63,75.06
5/17/2023 11:31,1.64,74.84
5/17/2023 11:32,1.63,74.66
5/17/2023 11:33,1.66,74.48
5/17/2023 11:34,1.65,74.37
5/17/2023 11:35,1.64,74.23
5/17/2023 11:36,1.63,74.12
5/17/2023 11:37,1.64,74.05
5/17/2023 11:38,1.62,73.94
5/17/2023 11:39,1.63,73.87
5/17/2023 11:40,1.65,73.83
5/17/2023 11:41,1.65,73.76
5/17/2023 11:42,1.65,73.72
5/17/2023 11:43,1.66,73.69
5/17/2023 11:44,1.62,73.62
5/17/2023 11:45,1.63,73.58
5/17/2023 11:46,1.63,73.54
5/17/2023 11:47,1.64,73.51
5/17/2023 11:48,1.62,73.47
5/17/2023 11:49,1.63,73.44
5/17/2023 11:50,1.63,73.4
5/17/2023 11:51,1.62,73.36
5/17/2023 11:52,1.64,73.36
5/17/2023 11:53,1.63,73.36
5/17/2023 11:54,1.63,73.33
5/17/2023 11:55,1.62,73.33
5/17/2023 11:56,1.62,73.29
5/17/2023 11:57,1.61,73.29
5/17/2023 11:58,1.62,73.26
5/17/2023 11:59,1.61,73.26
5/17/2023 12:00,1.61,73.26
5/17/2023 12:01,1.61,73.26
5/17/2023 12:02,1.61,73.26
5/17/2023 12:03,8.49,73.69
5/17/2023 12:04,8.63,74.3
5/17/2023 12:05,8.69,75.02
