Date,FullRangeSpC,Temp
2022-05-09 13:00,406.7,74.86
2022-05-09 14:00,394,74.43
2022-05-09 15:00,373.9,74.07
2022-05-09 16:00,359.3,73.47
2022-05-09 17:00,365.2,73.08
2022-05-09 18:00,384.2,72.84
2022-05-09 19:00,385.8,72.7
2022-05-09 20:00,388.2,72.54
2022-05-09 21:00,391.3,72.41
2022-05-09 22:00,394,72.34
2022-05-09 23:00,396,72.3
2022-05-10 00:00,397.2,72.25
2022-05-10 01:00,397.6,72.18
2022-05-10 02:00,397.6,72.09
2022-05-10 03:00,397.6,72.01
2022-05-10 04:00,397.6,71.92
2022-05-10 05:00,397.3,71.87
2022-05-10 06:00,397.3,71.87
2022-05-10 07:00,397.7,71.89
2022-05-10 08:00,401.5,72.16
2022-05-10 09:00,402.5,72.54
2022-05-10 10:00,402.8,72.93
2022-05-10 11:00,405.4,73.54
2022-05-10 12:00,408.4,74.28
2022-05-10 13:00,408.7,74.59
2022-05-10 14:00,406.4,74.46
2022-05-10 15:00,401,73.96
2022-05-10 16:00,405.8,73.42
2022-05-10 17:00,403.2,72.93
2022-05-10 18:00,402.5,72.73
2022-05-10 19:00,402.1,72.61
2022-05-10 20:00,401,72.39
2022-05-10 21:00,400.7,72.19
2022-05-10 22:00,399.9,72.14
2022-05-10 23:00,399.6,72.07
2022-05-11 00:00,399.6,72
2022-05-11 01:00,399.2,71.92
2022-05-11 02:00,399.6,71.91
2022-05-11 03:00,399.6,71.87
2022-05-11 04:00,399.2,71.8
2022-05-11 05:00,398.5,71.76
2022-05-11 06:00,398.9,71.73
2022-05-11 07:00,400.4,71.8
2022-05-11 08:00,399.2,72.1
2022-05-11 09:00,401.4,72.54
2022-05-11 10:00,403.6,73
2022-05-11 11:00,406.6,73.63
2022-05-11 12:00,409.9,74.32
2022-05-11 13:00,411.4,74.62
2022-05-11 14:00,410.6,74.43
2022-05-11 15:00,408.4,73.98
2022-05-11 16:00,405.8,73.42
2022-05-11 17:00,404,72.97
2022-05-11 18:00,402.5,72.77
2022-05-11 19:00,404.5,72.66
2022-05-11 20:00,401.8,72.54
2022-05-11 21:00,400.7,72.34
2022-05-11 22:00,414.7,72.25
2022-05-11 23:00,399.5,72.16
2022-05-12 00:00,399.5,72.1
2022-05-12 01:00,399.6,72.07
2022-05-12 02:00,400.3,72.01
2022-05-12 03:00,398.8,71.98
2022-05-12 04:00,400.7,71.92
2022-05-12 05:00,399.6,71.91
2022-05-12 06:00,399.6,71.89
2022-05-12 07:00,398.8,71.96
2022-05-12 08:00,399.9,72.25
2022-05-12 09:00,402.1,72.7
2022-05-12 10:00,406.3,73.09
2022-05-12 11:00,407.3,73.72
2022-05-12 12:00,410.3,74.39
2022-05-12 13:00,415.6,74.68
2022-05-12 14:00,410.6,74.55
2022-05-12 15:00,408,73.94
2022-05-12 16:00,405.5,73.38
2022-05-12 17:00,404.3,73.13
2022-05-12 18:00,403.2,72.93
2022-05-12 19:00,402.9,72.82
2022-05-12 20:00,403.3,72.66
2022-05-12 21:00,403.3,72.54
2022-05-12 22:00,402.2,72.48
2022-05-12 23:00,403,72.45
2022-05-13 00:00,408.4,72.45
2022-05-13 01:00,404.5,72.43
2022-05-13 02:00,411.9,72.41
2022-05-13 03:00,403,72.34
2022-05-13 04:00,402.2,72.3
2022-05-13 05:00,401.4,72.27
2022-05-13 06:00,404.6,72.27
2022-05-13 07:00,402.6,72.36
2022-05-13 08:00,408.4,72.61
2022-05-13 09:00,409.1,72.88
2022-05-13 10:00,410.5,73.29
2022-05-13 11:00,412.4,73.54
2022-05-13 12:00,417.7,74.23
2022-05-13 13:00,417.4,73.89
2022-05-13 14:00,417.9,73.38
2022-05-13 15:00,421.9,73.04
2022-05-13 16:00,425,73.04
2022-05-13 17:00,423.8,72.93
2022-05-13 18:00,426.2,72.88
2022-05-13 19:00,424.3,72.77
2022-05-13 20:00,423.9,72.7
2022-05-13 21:00,405.3,72.61
2022-05-13 22:00,411.5,72.61
2022-05-13 23:00,403.3,72.52
2022-05-14 00:00,401.4,72.45
2022-05-14 01:00,400.6,72.41
2022-05-14 02:00,400.3,72.34
2022-05-14 03:00,401.4,72.3
2022-05-14 04:00,399.5,72.27
2022-05-14 05:00,399.1,72.25
2022-05-14 06:00,399.5,72.19
2022-05-14 07:00,399.1,72.27
2022-05-14 08:00,400.6,72.5
2022-05-14 09:00,402.1,72.93
2022-05-14 10:00,403.9,73.35
2022-05-14 11:00,406.2,73.53
2022-05-14 12:00,411.4,74.39
2022-05-14 13:00,407.7,73.85
2022-05-14 14:00,403.6,73.17
2022-05-14 15:00,403.9,73.42
2022-05-14 16:00,403.9,73.36
2022-05-14 17:00,403.2,73.2
2022-05-14 18:00,402.4,73.02
2022-05-14 19:00,401.7,72.86
2022-05-14 20:00,401.3,72.77
2022-05-14 21:00,401,72.68
2022-05-14 22:00,400.6,72.61
2022-05-14 23:00,400.6,72.59
2022-05-15 00:00,400.2,72.52
2022-05-15 01:00,400.2,72.52
2022-05-15 02:00,400.2,72.54
2022-05-15 03:00,400.2,72.54
2022-05-15 04:00,400.2,72.54
2022-05-15 05:00,399.8,72.52
2022-05-15 06:00,399.8,72.52
2022-05-15 07:00,400.2,72.59
2022-05-15 08:00,401.3,72.84
2022-05-15 09:00,402.4,73.08
2022-05-15 10:00,404.6,73.53
2022-05-15 11:00,406.9,74.03
2022-05-15 12:00,409.8,74.75
2022-05-15 13:00,411.3,74.97
2022-05-15 14:00,408.7,74.41
2022-05-15 15:00,406.5,73.96
2022-05-15 16:00,402.4,73.02
2022-05-15 17:00,402.4,73.02
2022-05-15 18:00,403.2,73.17
2022-05-15 19:00,402.1,72.86
2022-05-15 20:00,400.6,72.68
2022-05-15 21:00,400.2,72.57
2022-05-15 22:00,399.8,72.52
2022-05-15 23:00,399.8,72.45
2022-05-16 00:00,399.5,72.41
2022-05-16 01:00,399.1,72.36
2022-05-16 02:00,399.1,72.32
2022-05-16 03:00,399.1,72.3
2022-05-16 04:00,398.7,72.25
2022-05-16 05:00,398.4,72.19
2022-05-16 06:00,398.7,72.19
2022-05-16 07:00,398.7,72.27
2022-05-16 08:00,399.8,72.54
2022-05-16 09:00,402.4,72.97
2022-05-16 10:00,404.3,73.44
2022-05-16 11:00,406.5,73.87
2022-05-16 12:00,403.9,73.22
2022-05-16 13:00,403.1,73.56
2022-05-16 14:00,403.1,73.29
2022-05-16 15:00,407.2,74.05
2022-05-16 16:00,405.4,73.62
2022-05-16 17:00,403.9,73.26
2022-05-16 18:00,402.8,73.04
2022-05-16 19:00,402.1,72.93
2022-05-16 20:00,401.7,72.82
2022-05-16 21:00,401.7,72.75
2022-05-16 22:00,401.3,72.7
2022-05-16 23:00,401,72.66
2022-05-17 00:00,401,72.61
2022-05-17 01:00,402.9,72.61
2022-05-17 02:00,400.6,72.59
2022-05-17 03:00,400.2,72.59
2022-05-17 04:00,399.8,72.57
2022-05-17 05:00,399.8,72.57
2022-05-17 06:00,399.8,72.54
2022-05-17 07:00,399.8,72.59
2022-05-17 08:00,401.3,72.82
2022-05-17 09:00,402.4,73.11
2022-05-17 10:00,404.6,73.56
2022-05-17 11:00,407.6,74.25
2022-05-17 12:00,410.2,74.75
2022-05-17 13:00,407.6,74.21
2022-05-17 14:00,408.3,74.37
2022-05-17 15:00,407.6,74.21
2022-05-17 16:00,405.4,73.71
2022-05-17 17:00,403.9,73.38
2022-05-17 18:00,403.2,73.17
2022-05-17 19:00,402.4,73.02
2022-05-17 20:00,402.1,72.88
2022-05-17 21:00,401.3,72.82
2022-05-17 22:00,401.3,72.77
2022-05-17 23:00,400.9,72.75
2022-05-18 00:00,400.9,72.75
2022-05-18 01:00,401,72.7
2022-05-18 02:00,400.6,72.66
2022-05-18 03:00,399.8,72.61
2022-05-18 04:00,400.2,72.57
2022-05-18 05:00,399.8,72.52
2022-05-18 06:00,399.8,72.48
2022-05-18 07:00,399.8,72.52
2022-05-18 08:00,400.9,72.75
2022-05-18 09:00,403.2,73.13
2022-05-18 10:00,404.6,73.62
2022-05-18 11:00,407.6,74.28
2022-05-18 12:00,410.5,74.84
2022-05-18 13:00,411.6,75.09
2022-05-18 14:00,410.2,74.8
2022-05-18 15:00,408.3,74.34
2022-05-18 16:00,406.1,73.8
2022-05-18 17:00,403.9,73.38
2022-05-18 18:00,402.8,73.11
2022-05-18 19:00,402.4,72.95
2022-05-18 20:00,402.1,72.86
2022-05-18 21:00,401.7,72.79
2022-05-18 22:00,401.3,72.75
2022-05-18 23:00,401.3,72.77
2022-05-19 00:00,401.3,72.75
2022-05-19 01:00,401.3,72.7
2022-05-19 02:00,401,72.66
2022-05-19 03:00,400.6,72.61
2022-05-19 04:00,401,72.66
2022-05-19 05:00,400.6,72.64
2022-05-19 06:00,400.6,72.64
2022-05-19 07:00,401,72.66
2022-05-19 08:00,402.1,72.88
2022-05-19 09:00,403.5,73.29
2022-05-19 10:00,404.6,73.56
2022-05-19 11:00,408,74.19
2022-05-19 12:00,410.5,74.84
2022-05-19 13:00,410.5,74.86
2022-05-19 14:00,410.2,74.75
2022-05-19 15:00,407.2,74.16
2022-05-19 16:00,405.4,73.72
2022-05-19 17:00,403.9,73.36
2022-05-19 18:00,403.2,73.13
2022-05-19 19:00,402.8,72.97
2022-05-19 20:00,401.7,72.86
2022-05-19 21:00,401.7,72.77
2022-05-19 22:00,401.3,72.73
2022-05-19 23:00,400.9,72.75
2022-05-20 00:00,401,72.66
2022-05-20 01:00,400.6,72.59
2022-05-20 02:00,400.6,72.54
2022-05-20 03:00,400.2,72.52
2022-05-20 04:00,400.2,72.52
2022-05-20 05:00,399.8,72.5
2022-05-20 06:00,400.2,72.5
2022-05-20 07:00,400.2,72.57
2022-05-20 08:00,401.7,72.77
2022-05-20 09:00,403.2,73.2
2022-05-20 10:00,405,73.65
2022-05-20 11:00,407.6,74.23
2022-05-20 12:00,407.2,74.12
2022-05-20 13:00,409.1,74.53
2022-05-20 14:00,409.8,74.71
2022-05-20 15:00,407.2,74.12
2022-05-20 16:00,403.5,73.26
2022-05-20 17:00,402.8,73.26
2022-05-20 18:00,402.8,73.11
2022-05-20 19:00,402.4,72.97
2022-05-20 20:00,401.7,72.86
2022-05-20 21:00,401.7,72.79
2022-05-20 22:00,401.7,72.79
2022-05-20 23:00,401.7,72.77
2022-05-21 00:00,401.7,72.75
2022-05-21 01:00,400.9,72.73
2022-05-21 02:00,401.3,72.68
2022-05-21 03:00,400.6,72.64
2022-05-21 04:00,400.6,72.59
2022-05-21 05:00,400.2,72.54
2022-05-21 06:00,400.2,72.5
2022-05-21 07:00,400.6,72.57
2022-05-21 08:00,401.7,72.82
2022-05-21 09:00,402.8,73.18
2022-05-21 10:00,403.5,73.31
2022-05-21 11:00,403.1,73.29
2022-05-21 12:00,404.2,73.56
2022-05-21 13:00,405,73.69
2022-05-21 14:00,405.7,73.89
2022-05-21 15:00,405,73.71
2022-05-21 16:00,403.9,73.44
2022-05-21 17:00,403.9,73.45
2022-05-21 18:00,403.2,73.26
2022-05-21 19:00,402.4,72.97
2022-05-21 20:00,402.1,72.86
2022-05-21 21:00,401.7,72.79
2022-05-21 22:00,400.9,72.79
2022-05-21 23:00,400.6,72.73
2022-05-22 00:00,401,72.7
2022-05-22 01:00,401,72.66
2022-05-22 02:00,401,72.66
2022-05-22 03:00,400.6,72.64
2022-05-22 04:00,400.6,72.64
2022-05-22 05:00,401,72.61
2022-05-22 06:00,400.6,72.61
2022-05-22 07:00,400.9,72.73
2022-05-22 08:00,401.7,72.88
2022-05-22 09:00,402.8,73.18
2022-05-22 10:00,405,73.62
2022-05-22 11:00,405.7,73.8
2022-05-22 12:00,406.8,74.08
2022-05-22 13:00,409.1,74.57
2022-05-22 14:00,408.3,74.39
2022-05-22 15:00,407.6,74.23
2022-05-22 16:00,405,73.71
2022-05-22 17:00,404.6,73.53
2022-05-22 18:00,403.5,73.26
2022-05-22 19:00,402.8,73
2022-05-22 20:00,402.1,72.91
2022-05-22 21:00,401.7,72.86
2022-05-22 22:00,401.7,72.77
2022-05-22 23:00,401.7,72.7
2022-05-23 00:00,401.7,72.7
2022-05-23 01:00,401.3,72.68
2022-05-23 02:00,401.7,72.73
2022-05-23 03:00,401.7,72.7
2022-05-23 04:00,401.3,72.73
2022-05-23 05:00,401.3,72.73
2022-05-23 06:00,401.7,72.73
2022-05-23 07:00,401.7,72.82
2022-05-23 08:00,402.1,72.95
2022-05-23 09:00,402.8,73.22
2022-05-23 10:00,404.6,73.6
2022-05-23 11:00,403.9,73.45
2022-05-23 11:18,,
2022-05-23 11:18,,
