Date,LowRange,Temp
2022-12-05 14:00,389.9,72.3
2022-12-05 15:00,390.1,72.3
2022-12-05 16:00,389.1,71.89
2022-12-05 17:00,388.3,71.53
2022-12-05 18:00,386.9,71.08
2022-12-05 19:00,385.9,70.88
2022-12-05 20:00,384.8,70.65
2022-12-05 21:00,383.9,70.52
2022-12-05 22:00,383.5,70.39
2022-12-05 23:00,383,70.34
2022-12-06 00:00,382.5,70.21
2022-12-06 01:00,382.8,70.27
2022-12-06 02:00,382.8,70.29
2022-12-06 03:00,382.5,70.27
2022-12-06 04:00,381.9,70.2
2022-12-06 05:00,381.8,70.12
2022-12-06 06:00,381.9,70.2
2022-12-06 07:00,381.8,70.14
2022-12-06 08:00,382.1,70.23
2022-12-06 09:00,383.1,70.61
2022-12-06 10:00,385,71.13
2022-12-06 11:00,388.6,72.03
2022-12-06 12:00,391.8,72.81
2022-12-06 13:00,395.2,73.6
2022-12-06 14:00,394.5,73.18
2022-12-06 15:00,392,72.61
2022-12-06 16:00,390.8,72.19
2022-12-06 17:00,389.1,71.73
2022-12-06 18:00,387.4,71.28
2022-12-06 19:00,386,70.97
2022-12-06 20:00,385,70.77
2022-12-06 21:00,384.2,70.65
2022-12-06 22:00,383.5,70.52
2022-12-06 23:00,383.1,70.39
2022-12-07 00:00,382.7,70.3
2022-12-07 01:00,382.2,70.27
2022-12-07 02:00,382,70.21
2022-12-07 03:00,381.9,70.16
2022-12-07 04:00,381.9,70.2
2022-12-07 05:00,381.8,70.16
2022-12-07 06:00,381.6,70.14
2022-12-07 07:00,381.4,70.09
2022-12-07 08:00,381.1,70.07
2022-12-07 09:00,381.7,70.3
2022-12-07 10:00,383.5,70.9
2022-12-07 11:00,387.7,71.96
2022-12-07 12:00,392.8,73.13
2022-12-07 13:00,394.5,73.51
2022-12-07 14:00,392.2,73.02
2022-12-07 15:00,391.5,72.52
2022-12-07 16:00,389.7,72.03
2022-12-07 17:00,388.3,71.53
2022-12-07 18:00,386.6,71.2
2022-12-07 19:00,385.6,70.97
2022-12-07 20:00,384.7,70.77
2022-12-07 21:00,383.9,70.66
2022-12-07 22:00,383.4,70.57
