Date,LowRangeSpC,FullRangeSpC,Temp
2022-03-18 23:00,125,123.1,67.35
2022-03-19 00:00,121.1,118.9,67.15
2022-03-19 01:00,121.9,120,67.1
2022-03-19 02:00,119.1,117.4,66.97
2022-03-19 03:00,127.3,125.4,66.99
2022-03-19 04:00,122.7,120.8,66.83
2022-03-19 05:00,128.5,126.5,66.83
2022-03-19 06:00,128.5,126.9,66.78
2022-03-19 07:00,131.9,130.3,66.74
2022-03-19 08:00,131.8,130.3,66.74
2022-03-19 09:00,133.2,131.5,66.9
2022-03-19 10:00,137.1,135.6,67.23
2022-03-19 11:00,138.7,137.1,67.62
2022-03-19 12:00,141.9,140.9,68.09
2022-03-19 13:00,140.1,138.6,68.41
2022-03-19 14:00,141.1,139.7,68.79
2022-03-19 15:00,141.6,140,69.1
2022-03-19 16:00,145.8,144.6,69.39
2022-03-19 17:00,150.6,149.5,69.53
2022-03-19 18:00,151.1,149.9,69.58
2022-03-19 19:00,153.7,152.6,69.53
2022-03-19 20:00,155.8,154.9,69.53
2022-03-19 21:00,161.8,160.6,69.62
2022-03-19 22:00,134.9,133.6,69.26
2022-03-19 23:00,134.1,132.8,69.19
2022-03-20 00:00,143.3,141.9,69.13
2022-03-20 01:00,146.4,145.4,69.04
2022-03-20 02:00,151.1,150.3,68.99
2022-03-20 03:00,153.8,152.6,68.9
2022-03-20 04:00,154.7,153.8,68.7
2022-03-20 05:00,158.5,157.6,68.56
2022-03-20 06:00,161,159.9,68.4
2022-03-20 07:00,163.8,163,68.23
2022-03-20 08:00,167,166.4,68.09
2022-03-20 09:00,168.6,167.6,67.95
2022-03-20 10:00,170.1,169.5,67.82
2022-03-20 11:00,172.9,172.2,67.91
2022-03-20 12:00,187.7,187.4,68.4
2022-03-20 13:00,180.6,180.5,68.58
2022-03-20 14:00,190.9,190.8,69.12
2022-03-20 15:00,187.7,187.3,69.37
2022-03-20 16:00,188.4,188,69.48
2022-03-20 17:00,192.1,191.8,69.55
2022-03-20 18:00,195.5,195.7,69.62
2022-03-20 19:00,198.2,198.3,69.55
2022-03-20 20:00,198.8,198.7,69.37
2022-03-20 21:00,203.4,203.4,69.21
2022-03-20 22:00,208.8,208.7,69.04
2022-03-20 23:00,213.7,213.7,68.86
2022-03-21 00:00,224.9,224.9,68.7
2022-03-21 01:00,226.7,226.8,68.47
2022-03-21 02:00,232.1,232.2,68.32
2022-03-21 03:00,237.5,237.6,68.14
2022-03-21 04:00,242.6,242.6,67.98
