Date,CO2
2023-03-20T08:24:30Z,16236
2023-03-20T08:25:00Z,16182
2023-03-20T08:25:30Z,16104
2023-03-20T08:26:00Z,16032
2023-03-20T08:26:30Z,15888
2023-03-20T08:27:00Z,15846
2023-03-20T08:27:30Z,15786
2023-03-20T08:28:00Z,15708
2023-03-20T08:28:30Z,15564
2023-03-20T08:29:00Z,15522
2023-03-20T08:29:30Z,15456
2023-03-20T08:30:00Z,15426
2023-03-20T08:30:30Z,15330
2023-03-20T08:31:00Z,15258
2023-03-20T08:31:30Z,15210
2023-03-20T08:32:00Z,15138
2023-03-20T08:32:30Z,15066
2023-03-20T08:33:00Z,15000
2023-03-20T08:33:30Z,14976
2023-03-20T08:34:00Z,14886
2023-03-20T08:34:30Z,14808
