Date,CO2
2022-12-12T08:54:30Z,19422
2022-12-12T08:55:00Z,19410
2022-12-12T08:55:30Z,19380
2022-12-12T08:56:00Z,19356
2022-12-12T08:56:30Z,19308
2022-12-12T08:57:00Z,19302
2022-12-12T08:57:30Z,19230
2022-12-12T08:58:00Z,19206
2022-12-12T08:58:30Z,19200
2022-12-12T08:59:00Z,19224
2022-12-12T08:59:30Z,19224
2022-12-12T09:00:00Z,19224
2022-12-12T09:00:30Z,19206
2022-12-12T09:01:00Z,19170
2022-12-12T09:01:30Z,19170
2022-12-12T09:02:00Z,19122
2022-12-12T09:02:30Z,19110
2022-12-12T09:03:00Z,19110
2022-12-12T09:03:30Z,19122
2022-12-12T09:04:00Z,19098
2022-12-12T09:04:30Z,19140
2022-12-12T09:05:00Z,19164
2022-12-12T09:05:30Z,19110
2022-12-12T09:06:00Z,19098
2022-12-12T09:06:30Z,19098
2022-12-12T09:07:00Z,19062
2022-12-12T09:07:30Z,19062
2022-12-12T09:08:00Z,19044
2022-12-12T09:08:30Z,18960
2022-12-12T09:09:00Z,18936
2022-12-12T09:09:30Z,18924
2022-12-12T09:10:00Z,18942
2022-12-12T09:10:30Z,18942
2022-12-12T09:11:00Z,18930
2022-12-12T09:11:30Z,18942
2022-12-12T09:12:00Z,18924
