"Plot Title: Little_Fanning"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248123, SEN S/N: 21248123)","Temp, °F (LGR S/N: 21248123, SEN S/N: 21248123)","Coupler Detached (LGR S/N: 21248123)","Coupler Attached (LGR S/N: 21248123)","Host Connected (LGR S/N: 21248123)","Stopped (LGR S/N: 21248123)","End Of File (LGR S/N: 21248123)"
1,06/25/24 01:00:00 PM,15.7009,74.271,Logged,,,,
2,06/25/24 02:00:00 PM,15.6850,74.271,,,,,
3,06/25/24 03:00:00 PM,15.6668,74.791,,,,,
4,06/25/24 04:00:00 PM,15.6780,74.791,,,,,
5,06/25/24 05:00:00 PM,15.6954,74.619,,,,,
6,06/25/24 06:00:00 PM,15.7206,74.446,,,,,
7,06/25/24 07:00:00 PM,15.7440,74.098,,,,,
8,06/25/24 08:00:00 PM,15.7660,73.926,,,,,
9,06/25/24 09:00:00 PM,15.7753,73.753,,,,,
10,06/25/24 10:00:00 PM,15.7781,73.580,,,,,
11,06/25/24 11:00:00 PM,15.7749,73.580,,,,,
12,06/26/24 12:00:00 AM,15.7572,73.580,,,,,
13,06/26/24 01:00:00 AM,15.7166,73.407,,,,,
14,06/26/24 02:00:00 AM,15.6813,73.407,,,,,
15,06/26/24 03:00:00 AM,15.6573,73.407,,,,,
16,06/26/24 04:00:00 AM,15.6380,73.407,,,,,
17,06/26/24 05:00:00 AM,15.6330,73.407,,,,,
18,06/26/24 06:00:00 AM,15.6428,73.407,,,,,
19,06/26/24 07:00:00 AM,15.6539,73.407,,,,,
20,06/26/24 08:00:00 AM,15.6668,73.407,,,,,
21,06/26/24 09:00:00 AM,15.6752,73.580,,,,,
22,06/26/24 10:00:00 AM,15.6821,73.753,,,,,
23,06/26/24 11:00:00 AM,15.6741,73.753,,,,,
24,06/26/24 12:00:00 PM,15.6568,73.926,,,,,
25,06/26/24 01:00:00 PM,15.6330,74.098,,,,,
26,06/26/24 02:00:00 PM,15.6142,74.271,,,,,
27,06/26/24 03:00:00 PM,15.5829,74.619,,,,,
28,06/26/24 04:00:00 PM,15.5720,74.791,,,,,
29,06/26/24 05:00:00 PM,15.5820,74.271,,,,,
30,06/26/24 06:00:00 PM,15.6042,74.098,,,,,
31,06/26/24 07:00:00 PM,15.6246,73.926,,,,,
32,06/26/24 08:00:00 PM,15.6467,73.753,,,,,
33,06/26/24 09:00:00 PM,15.6673,73.580,,,,,
34,06/26/24 10:00:00 PM,15.6673,73.580,,,,,
35,06/26/24 11:00:00 PM,15.6604,73.407,,,,,
36,06/27/24 12:00:00 AM,15.6459,73.407,,,,,
37,06/27/24 01:00:00 AM,15.6187,73.407,,,,,
38,06/27/24 02:00:00 AM,15.5897,73.407,,,,,
39,06/27/24 03:00:00 AM,15.5656,73.407,,,,,
40,06/27/24 04:00:00 AM,15.5399,73.407,,,,,
41,06/27/24 05:00:00 AM,15.5154,73.234,,,,,
42,06/27/24 06:00:00 AM,15.5267,73.234,,,,,
43,06/27/24 07:00:00 AM,15.5443,73.234,,,,,
44,06/27/24 08:00:00 AM,15.5785,73.407,,,,,
45,06/27/24 09:00:00 AM,15.5997,73.580,,,,,
46,06/27/24 10:00:00 AM,15.6078,73.580,,,,,
47,06/27/24 11:00:00 AM,15.6166,73.926,,,,,
48,06/27/24 12:00:00 PM,15.6298,74.098,,,,,
49,06/27/24 01:00:00 PM,15.6278,73.926,,,,,
50,06/27/24 02:00:00 PM,15.6082,73.753,,,,,
51,06/27/24 03:00:00 PM,15.5840,73.753,,,,,
