variable,ID,breakpoint,seg1_slope,seg1_se,seg2_slope,seg2_se
GPP,AM,1.2102164581685912,-19.728,NA,-2.4991,NA
GPP,GB,0.806473881591593,-36.722,NA,-5.9302,NA
GPP,ID,3.256671132834571,-3.8241,NA,3.374,NA
GPP,LF,1.2433115929236955,-22.777,NA,-2.2268,NA
GPP,OS,1.5802216545691308,-2.5261,NA,-0.72071,NA
ER,AM,2.338856873512287,3.2677,NA,-2.9627,NA
ER,GB,0.8001215375356511,-51.218,NA,21.156,NA
ER,ID,3.337809369075896,3.5784,NA,-1.8484,NA
ER,LF,0.9365829849878602,-35.791,NA,8.8777,NA
ER,OS,1.5408345638330634,-2.0689,NA,-3.818,NA
DO,AM,2.2279613499001334,-1.0092,NA,-1.8739,NA
DO,GB,0.9103848146719943,-2.3805,NA,4.6467,NA
DO,ID,3.1916758792320907,-0.18053,NA,-1.4102,NA
DO,LF,0.7783313178452211,-2.789,NA,0.013162,NA
DO,OS,2.171605200448786,-1.5723,NA,1.6632,NA
CO2,AM,1.3843430268164139,4277.8,NA,-6009.8,NA
CO2,GB,0.6501115835210991,6366.1,NA,-2302.6,NA
CO2,ID,2.2575500741489813,338.38,NA,1021.8,NA
CO2,LF,0.7956668422918333,12320,NA,-8211.8,NA
CO2,OS,1.1814894399640685,13532,NA,-19495,NA
