ID,connectID,time_btwn,GPP_baseline,ER_baseline,h_baseline,floodtype,duration,Date,h_flood,GPP_disturb,ER_disturb,GPP_reduce,ER_reduce,h_diff
AM,1,66,6.451385724224467,-16.81770681645402,0.7015489688576504,3,18,2022-07-25,1.8777512885133028,4.427329639102151,-13.6083366993517,31.373974083151435,19.083280212510033,1.1762023196556524
AM,2,9,NA,NA,NA,3,1,2022-08-12,1.2033036849547716,4.490740553643923,-13.115472485872978,NA,NA,NA
AM,3,16,NA,NA,NA,3,34,2022-09-13,2.4360125401983064,7.524888818563917,-17.52676774134684,NA,NA,NA
AM,4,119,8.617756870576805,-11.265534760690477,0.695454987294152,3,71,2023-03-03,2.5970826810666563,NA,NA,NA,NA,1.9016276937725043
AM,5,73,11.776310269929493,-13.167294757501713,0.7073665908436351,3,25,2023-07-01,2.1435809456403,3.910671243448158,-12.184396630620983,66.79204985424036,7.464692975911024,1.4362143547966648
AM,6,51,9.348489666677981,-20.675567019611723,0.8413432673455498,2,31,2023-09-17,1.8059864088609277,5.814730622074686,-13.094582465021823,37.80032037901401,36.66639249796143,0.9646431415153779
AM,7,65,3.5998850544746,-10.557584344351168,0.7732146920328569,3,204,2024-03-16,4.515608704232855,6.041315387911368,-16.192715972460896,-67.81967469772705,-53.37519876054604,3.7423940121999983
AM,8,9,NA,NA,NA,2,22,2024-07-15,1.5112777202918746,2.243603022399122,-11.758711493949695,NA,NA,NA
GB,9,84,7.001484642741804,-23.2198822870595,0.5327567847745749,2,26,2022-09-12,1.0111293785537518,2.615126120229802,-24.96208182762394,62.64897727168748,-7.5030507003705615,0.47837259377917696
GB,10,314,4.052048443918968,-15.380523940111937,0.4736901141823138,2,9,2023-08-09,0.9127698383512054,2.2976234026985733,-24.23286401274613,43.297237570131074,-57.555517010363744,0.43907972416889157
GB,11,128,3.7813063783130074,-18.550984813621188,0.4827547897834386,3,47,2024-01-11,1.2359865192025996,2.4552597333309465,-14.299711621384574,35.06847931147181,22.916698142705005,0.7532317294191611
GB,12,175,3.620865203861787,-18.405833972601,0.4877057096005365,2,42,2021-04-25,2.8879549021318804,NA,NA,NA,NA,2.400249192531344
ID,13,42,NA,NA,1.3367951255809938,2,156,2021-09-14,4.229171862505087,NA,NA,NA,NA,2.892376736924093
ID,14,39,NA,NA,1.751272504177392,2,46,2022-01-31,2.558487679757804,NA,NA,NA,NA,0.8072151755804118
ID,15,18,NA,NA,1.6997975175072608,2,59,2022-04-11,3.5365124264902965,NA,NA,NA,NA,1.8367149089830357
ID,16,114,NA,NA,1.4418208484376847,2,31,2022-09-16,2.6674453438500194,NA,NA,NA,NA,1.2256244954123348
ID,17,137,3.271065197356794,-9.897934048341458,1.1018465552701053,2,24,2023-02-26,2.706358795311523,9.498225390085079,-16.836830866007784,-190.3710203563103,-70.10449639062848,1.6045122400414178
ID,18,108,5.720427936648568,-13.256130591751825,1.266294394683766,2,16,2023-07-03,2.376891572937448,11.41945944819536,-15.789759254218913,-99.62596460721586,-19.112882488073502,1.1105971782536819
ID,19,56,8.958620853684382,-19.595903447816273,1.6265458931197248,2,11,2023-09-10,2.0500185806608058,10.512288492797335,-18.841998638026652,-17.342710049772702,3.8472572178019915,0.423472687541081
ID,20,95,4.468649549070742,-13.1241808668285,1.296560326511481,2,189,2024-03-22,4.377042978058805,NA,NA,NA,NA,3.080482651547324
ID,21,37,NA,NA,1.7471422167854254,2,7,2024-08-03,2.828287609890906,NA,NA,NA,NA,1.0811453931054809
IU,22,590,4.0158520800912525,-9.349814549017402,1.490886191657163,2,47,2024-01-14,4.611249999999999,2.485713433713295,-12.829088189886459,38.1024653264417,-37.2122208695006,3.1203638083428364
IU,23,40,NA,NA,NA,2,90,2024-04-30,8.907083333333333,5.808982786967768,-11.534870404482628,NA,NA,NA
IU,24,43,4.267889504438617,-10.509921252060916,1.4893194444444438,2,28,2022-04-25,1.4424816440221095,5.992689961594416,-26.081333568432587,-40.41342812090147,-148.15917210909868,-0.04683780042233421
LF,25,116,6.046285094980214,-18.729889255423153,0.44340673773791306,2,27,2022-09-15,0.9443526843626797,5.645953283537689,-23.373744842064482,6.621120326841535,-24.79382298161066,0.5009459466247667
LF,26,141,7.020761833900165,-14.013931566877599,0.28975425534542737,2,26,2023-02-28,1.0224613449421462,7.8576822773479105,-24.75792081147929,-11.920649970016427,-76.66648858194422,0.7327070895967189
LF,27,5,13.346757392274453,-22.970703010683106,0.5921072489795838,2,1,2023-03-18,0.7342187930805224,1.7111134104981989,-7.452230806401261,87.17955709984922,67.55767203583011,0.14211154410093862
LF,28,7,12.449729720856208,-17.028624662731282,0.5908870276834036,2,1,2023-03-25,0.6501611723767249,13.19298705565905,-20.893588230064815,-5.970068037362375,-22.696862746598455,0.05927414469332126
LF,29,94,12.571318069111928,-17.676576888679087,0.34839975678042173,2,15,2023-07-04,0.8690605037360366,5.6356354695279975,-22.68133233694701,55.17068744466097,-28.312922121664876,0.5206607469556148
LF,30,50,12.78873391730038,-21.319946356358074,0.48058890367184876,2,2,2023-08-30,0.7435824602531699,7.798258355955088,-16.74719479669624,39.022436416432605,21.448232013483192,0.2629935565813211
LF,31,8,11.311854671218992,-21.225545348002328,0.5454535324998857,2,8,2023-09-11,0.6800073115455104,10.86555545158254,-20.397209797527545,3.945411540443322,3.9025407210691254,0.1345537790456247
LF,32,93,6.186883086063586,-16.599062625717313,0.3738635204387754,2,2,2023-12-17,0.7148894184588029,3.3752382585319793,-6.964985106421775,45.445255525598114,58.03988897764165,0.34102589802002753
LF,33,2,4.928801230210118,-8.640628263805368,0.6048175779144884,3,183,2024-03-20,2.042229813923503,2.5465668213890034,-14.261839706986345,48.33293731180874,-65.05558706567214,1.4374122360090147
LF,33,2,4.928801230210118,-8.640628263805368,0.6048175779144884,2,5,2022-05-14,1.2852641124126434,NA,NA,NA,NA,0.680446534498155
OS,34,66,NA,NA,0.8785279821851665,2,17,2022-07-29,1.2638232252942698,NA,NA,NA,NA,0.38529524310910335
OS,35,25,7.9769817204158,-13.430466015207719,0.9649073948560823,2,34,2022-09-16,1.6674083714982657,1.4278398779406651,-11.828423420595264,82.10049956255587,11.928421491841112,0.7025009766421834
OS,36,132,4.2721142813080535,-10.461064935463845,0.7700158741285426,3,1,2023-02-12,1.1100742308211378,2.043713990357689,-9.827638313307563,52.161532773136955,6.055087374602897,0.3400583566925952
OS,37,3,0.5939891895257166,-6.234525297429602,1.041116852096373,3,43,2023-03-08,1.6751868910786682,1.816882181507846,-6.143976989131584,-205.87798794092106,1.4523689291203956,0.6340700389822953
OS,38,4,3.793779377703125,-9.9719000512624,1.0308510884150042,2,2,2023-04-02,1.07897432791807,1.85559898581345,-9.990818773924353,51.08837913139565,-0.18972033980182434,0.04812323950306574
OS,39,81,6.032289317078774,-11.430096976556197,0.795991341456529,3,24,2023-07-04,1.4724038155571477,NA,NA,NA,NA,0.6764124741006188
OS,40,45,3.5355214636160293,-11.99006377883212,0.956028886350802,2,2,2023-08-30,1.134808893486261,0,-10.678203081677715,100,10.941232018051739,0.17878000713545905
OS,41,5,1.8544748967997104,-14.264368134917802,0.9740915863193053,3,20,2023-09-14,1.2533210095937939,0,-13.487119553023447,100,5.448881959178586,0.27922942327448863
OS,42,75,2.3828540151529545,-11.93590527584664,0.8168115486766836,2,2,2023-12-08,1.1371146748300884,1.8622965691847884,-12.192773481978517,21.845964656578076,-2.1520630416837605,0.32030312615340484
OS,43,3,0.07258372198738947,-13.330991999730529,1.0473684679351143,3,224,2024-04-01,2.813484235048662,0,-13.136752235388208,100,1.4570540912952845,1.766115767113548
OS,44,2,NA,NA,NA,2,3,2024-07-25,1.1994460069744706,NA,NA,NA,NA,NA
