ID,connectID,time_btwn,GPP_baseline,ER_baseline,h_baseline,floodtype,duration,Date,h_flood,GPP_disturb,ER_disturb,GPP_reduce,ER_reduce,h_diff
AM,1,66,7.439518157277597,-16.62597507348291,0.6674349190644565,high,18,2022-07-17,1.8705093207813486,4.427329639102151,-13.6083366993517,40.489027037709654,18.15014374070667,1.2030744017168922
AM,2,24,NA,NA,NA,high,34,2022-08-28,2.38122547996526,7.524888818563917,-17.52676774134684,NA,NA,NA
AM,3,118,8.614616360083833,-11.14342675566047,0.6698264517277819,high,71,2023-01-27,2.586653299837571,NA,NA,NA,NA,1.916826848109789
AM,4,72,11.390860975031254,-12.455811305396258,0.6805709099096269,high,25,2023-06-19,2.128430818177502,3.910671243448158,-12.184396630620983,65.66834366585333,2.1790204437160177,1.4478599082678751
AM,5,50,NA,NA,NA,high,31,2023-09-02,1.7937153552417986,5.814730622074686,-13.094582465021823,NA,NA,NA
AM,6,64,0.3331317551003024,-0.7406424505067993,0.7338507069419832,high,204,2023-12-06,4.49429303840557,6.041315387911368,-16.192715972460896,-1713.491297487504,-2086.3067612963187,3.760442331463587
AM,7,8,NA,NA,NA,high,21,2024-07-05,1.4996601135485133,2.243603022399122,-11.758711493949695,NA,NA,NA
AM,8,1,NA,NA,NA,high,30,2022-08-30,0.9874111488802164,2.8306068290495614,-24.7342029517932,NA,NA,NA
GB,8,82,7.001484642741804,-23.2198822870595,0.5330075060184812,high,30,2022-08-30,0.9874111488802164,2.8306068290495614,-24.7342029517932,59.571334174331824,-6.521655217768418,0.4544036428617352
GB,9,309,4.024570985146162,-15.29277377798093,0.4734903228147414,high,14,2023-08-04,0.8990958763328454,3.198382394873567,-27.139521667906653,20.528612697400096,-77.4663122721601,0.425605553518104
GB,10,123,3.7813063783130074,-18.550984813621188,0.48210670234119135,high,50,2023-12-19,1.2167202100894146,2.4552597333309465,-14.299711621384574,35.06847931147181,22.916698142705005,0.7346135077482232
GB,11,61,NA,NA,NA,high,3,2024-04-08,0.7045449416814188,4.970732192089334,-27.38275954372649,NA,NA,NA
GB,12,107,3.620865203861787,-18.405833972601,0.4878287644888893,high,38,2021-04-04,2.872389521547279,NA,NA,NA,NA,2.3845607570583893
ID,12,1,NA,NA,NA,high,38,2021-04-04,2.872389521547279,NA,NA,NA,NA,NA
ID,13,45,NA,NA,1.1479784575067695,high,149,2021-06-30,4.225712889041842,NA,NA,NA,NA,3.077734431535072
ID,14,49,NA,NA,NA,high,34,2022-01-14,2.5550287062945594,NA,NA,NA,NA,NA
ID,15,25,NA,NA,NA,high,54,2022-03-14,3.527000249466374,NA,NA,NA,NA,NA
ID,16,119,NA,NA,1.1722203795205628,high,26,2022-09-03,2.6622568836551515,NA,NA,NA,NA,1.4900365041345887
ID,17,141,2.707184989890668,-8.91372970200851,0.9780875991749837,high,18,2023-02-17,2.6968466182876,9.672503444756726,-15.16392505889491,-257.2900810574958,-70.1187445192337,1.7187590191126163
ID,18,112,4.109042870049404,-10.251218900293239,0.963900913201911,high,12,2023-06-27,2.3734325994742034,11.622681067040016,-14.710043701053149,-182.85616467419027,-43.495557397885285,1.4095316862722924
ID,19,163,3.1920200003709667,-10.771574725665392,1.0657347390900611,high,185,2023-12-19,4.3675308010348814,NA,NA,NA,NA,3.3017960619448203
ID,20,42,NA,NA,NA,high,4,2024-08-02,2.5299511486860347,NA,NA,NA,NA,NA
ID,21,1,NA,NA,NA,high,48,2023-12-22,4.60111111111111,2.485713433713295,-12.829088189886459,NA,NA,NA
IU,21,589,4.011067016234996,-9.344167292707976,1.490528698097266,high,48,2023-12-22,4.60111111111111,2.485713433713295,-12.829088189886459,38.02862371403308,-37.29514667292029,3.110582413013844
IU,22,38,NA,NA,NA,high,90,2024-03-17,8.875277777777777,5.808982786967768,-11.534870404482628,NA,NA,NA
IU,23,42,4.267889504438617,-10.509921252060916,1.4927969348658998,high,24,2022-04-13,1.4415768831012448,6.180570419095173,-25.559216075828548,-44.815614665453786,-143.19131859162675,-0.05122005176465505
LF,23,1,NA,NA,NA,high,24,2022-04-13,1.4415768831012448,6.180570419095173,-25.559216075828548,NA,NA,NA
LF,24,121,5.0835081892454435,-17.223287167313405,0.305905425200331,high,23,2022-09-05,0.9416865867602354,4.854719531692261,-24.957097564695275,4.500605665142876,-44.90321924179028,0.6357811615599045
LF,25,143,6.524294443524632,-12.606083931270986,0.2335582898932529,high,18,2023-02-18,1.018320299537352,5.700858444703295,-22.07441008418514,12.62107352678723,-75.10917906414039,0.784762009644099
LF,26,113,12.344327892088677,-16.422111926509768,0.2515754605494266,high,10,2023-06-29,0.8647737574170073,5.222035488157496,-24.409089687007857,57.696882861445765,-48.635509222202586,0.6131982968675808
LF,27,165,5.170330777465447,-14.550390104010825,0.2725594481732378,high,181,2023-12-21,2.037283766529771,1.8418465556468933,-16.49925385632771,64.37662047321106,-13.393893485918817,1.7647243183565333
LF,28,1,NA,NA,NA,high,4,2022-05-13,1.20350140801552,NA,NA,NA,NA,NA
OS,28,1,NA,NA,NA,high,4,2022-05-13,1.20350140801552,NA,NA,NA,NA,NA
OS,29,65,NA,NA,0.8790994314177532,high,17,2022-07-21,1.2536649556754582,NA,NA,NA,NA,0.37456552425770506
OS,30,24,7.9769817204158,-13.430466015207719,0.9665574465323428,high,35,2022-08-31,1.6626346370889582,1.4278398779406651,-11.828423420595264,82.10049956255587,11.928421491841112,0.6960771905566154
OS,31,132,4.231979480423148,-10.388728450070383,0.7727042470071749,high,44,2023-02-14,1.6703513656629154,1.6596562308937428,-6.331747752226859,60.78298019706379,39.05175419053367,0.8976471186557405
OS,32,3,3.793779377703125,-9.9719000512624,1.0489233478281828,high,2,2023-04-02,1.073144106419041,1.85559898581345,-9.990818773924353,51.08837913139565,-0.18972033980182434,0.02422075859085826
OS,33,80,6.032289317078774,-11.430096976556197,0.7961801633317255,high,24,2023-06-23,1.4697579107049752,NA,NA,NA,NA,0.6735777473732497
OS,34,45,3.4569543199801176,-11.916205149225812,0.960094266542156,high,1,2023-08-31,1.073965158434364,0,-12.689980716807195,100,-6.493473030142116,0.11387089189220789
OS,35,4,1.8544748967997104,-14.264368134917802,0.9956949872873915,high,20,2023-09-05,1.2440545314775437,0,-13.487119553023447,100,5.448881959178586,0.24835954419015227
OS,36,75,2.4014892807531854,-11.90650583476815,0.8210016339553718,high,1,2023-12-09,1.0831032797990705,0,-14.566401445761668,100,-22.339850564943788,0.26210164584369866
OS,37,1,0,-13.407178269323705,1.055051907127237,high,224,2023-12-11,2.8061740454497546,0.03629186099369473,-13.249598688627396,-Inf,1.1753374015832874,1.7511221383225175
OS,38,3,NA,NA,NA,high,1,2024-07-25,1.1828061327477426,NA,NA,NA,NA,NA
OS,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
