date,GPP,ER,K600,ID
2022-07-27,4.603509548825767,-8.832837093569742,1.4357584091796676,OS
2022-08-01,6.175143272383029,-9.690009605264331,1.4344020707718963,OS
2022-08-02,7.385382961734739,-10.58844529953231,1.4345291173748618,OS
2022-08-03,6.768469731749743,-10.87876848334216,1.4349043595955469,OS
2022-08-04,7.149182510509421,-12.705793665152,1.431924157437158,OS
2022-08-05,9.828121464722233,-15.557239952483052,1.4283416403406732,OS
2022-08-06,8.136586880554626,-15.243015160099409,1.4307816256264327,OS
2022-08-08,7.181644967662464,-13.813472903242422,1.4323859286878233,OS
2022-08-09,6.10528283747171,-12.404107869350781,1.432771646308959,OS
2022-08-10,5.838434259296624,-11.105648421591,1.435275854513536,OS
2022-08-11,5.275340424709445,-10.800754933232154,1.433317444771927,OS
2022-08-12,6.903259250300891,-11.14426961467924,1.4330727301082307,OS
2022-08-13,7.4413007206480595,-12.993260441432767,1.4332226763133018,OS
2022-08-14,9.670599815535917,-13.4444931874728,1.4310502195954804,OS
2022-08-15,10.226880571269936,-13.624780169838102,1.43101394614025,OS
2022-08-16,8.459533511668146,-12.69349504271979,1.4297589232521624,OS
2022-08-18,6.078932965399866,-13.621368495701304,1.4312894056684846,OS
2022-08-19,7.812032722011285,-13.634072473408832,1.4331055061708369,OS
2022-08-20,6.312517313084254,-13.360415155507315,1.4357512895302198,OS
2022-08-21,8.33714447800108,-14.364892702083957,1.433117133561754,OS
2022-08-22,9.435294454540394,-14.108521112780032,1.4323480886352922,OS
2022-08-23,10.196297352754351,-14.015439315172902,1.4334501727479692,OS
2022-08-24,8.75729499444052,-12.59659381849725,1.4356015211569402,OS
2022-08-25,7.267639309720626,-11.839409676530437,1.4354118586814797,OS
2022-08-26,8.210417299435754,-12.69230667067847,1.4322203821864452,OS
2022-08-28,9.216300968073657,-13.076996645011151,1.436642492599774,OS
2022-08-29,8.003574427823237,-11.565720268473335,1.4329056013861283,OS
2022-08-30,2.739640312849073,-8.723183959171052,1.4388687494778603,OS
2022-08-31,3.118518604844208,-8.716630875619861,1.4349216150472603,OS
2022-10-03,0.5590450349394859,-12.394620647249528,1.4360604199852938,OS
2022-10-04,1.943667098694355,-8.275436219778245,1.4364570192650052,OS
2022-10-05,2.0775596086532895,-9.24583530068417,1.4375490196138967,OS
2022-10-06,2.1864218340513406,-9.54324357350317,1.4339981687299017,OS
2022-10-07,2.6114852341568167,-9.969685286862655,1.4374649299175508,OS
2022-10-08,2.8531086024828656,-9.504202208507953,1.4349354459357,OS
2022-10-09,3.443143821726726,-9.393644868390057,1.4393415650249377,OS
2022-10-10,3.6302740772228743,-9.019464339294856,1.4357228107070132,OS
2022-10-11,3.8203175958234104,-10.884670693328927,1.433550146933205,OS
2022-10-12,3.3427534898876443,-10.403073724082729,1.4335629994280594,OS
2022-10-13,1.5271517338930949,-8.349464117560332,1.4346813947318051,OS
