Plot Title: Bradford_9DO,,,,,,
#,"Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733145, SEN S/N: 10733145)","Temp, °F (LGR S/N: 10733145, SEN S/N: 10733145)",,,
5,5/4/2023 9:04,4.97,71.85,,,
6,5/4/2023 9:05,4.94,72,,,
7,5/4/2023 9:06,4.85,72.07,,,
8,5/4/2023 9:07,4.82,72.18,,,
9,5/4/2023 9:08,4.83,72.21,,,
10,5/4/2023 9:09,4.83,72.28,,,
11,5/4/2023 9:10,4.82,72.32,,,
12,5/4/2023 9:11,4.82,72.36,,4.81268595,72.6692562
13,5/4/2023 9:12,4.84,72.39,,,
14,5/4/2023 9:13,4.87,72.43,,,
15,5/4/2023 9:14,4.88,72.43,,,
16,5/4/2023 9:15,4.89,72.43,,,
17,5/4/2023 9:16,4.89,72.46,,,
18,5/4/2023 9:17,4.85,72.46,,,
19,5/4/2023 9:18,4.78,72.5,,,
20,5/4/2023 9:19,4.78,72.5,,,
21,5/4/2023 9:20,4.74,72.54,,,
22,5/4/2023 9:21,4.71,72.54,,,
23,5/4/2023 9:22,4.72,72.57,,,
24,5/4/2023 9:23,4.73,72.57,,,
25,5/4/2023 9:24,4.74,72.57,,,
26,5/4/2023 9:25,4.72,72.57,,,
27,5/4/2023 9:26,4.72,72.57,,,
28,5/4/2023 9:27,4.74,72.61,,,
29,5/4/2023 9:28,4.79,72.57,,,
30,5/4/2023 9:29,4.76,72.61,,,
31,5/4/2023 9:30,4.75,72.61,,,
32,5/4/2023 9:31,4.73,72.61,,,
33,5/4/2023 9:32,4.75,72.61,,,
34,5/4/2023 9:33,4.81,72.61,,,
35,5/4/2023 9:34,4.84,72.61,,,
36,5/4/2023 9:35,4.85,72.57,,,
37,5/4/2023 9:36,4.85,72.57,,,
38,5/4/2023 9:37,4.85,72.57,,,
39,5/4/2023 9:38,4.84,72.57,,,
40,5/4/2023 9:39,4.86,72.57,,,
41,5/4/2023 9:40,4.88,72.57,,,
42,5/4/2023 9:41,4.89,72.57,,,
43,5/4/2023 9:42,4.9,72.57,,,
44,5/4/2023 9:43,4.8,72.57,,,
45,5/4/2023 9:44,4.74,72.57,,,
46,5/4/2023 9:45,4.75,72.61,,,
47,5/4/2023 9:46,4.72,72.61,,,
48,5/4/2023 9:47,4.78,72.61,,,
49,5/4/2023 9:48,4.87,72.61,,,
50,5/4/2023 9:49,4.85,72.61,,,
51,5/4/2023 9:50,4.79,72.64,,,
52,5/4/2023 9:51,4.75,72.64,,,
53,5/4/2023 9:52,4.83,72.64,,,
54,5/4/2023 9:53,4.95,72.64,,,
55,5/4/2023 9:54,4.87,72.64,,,
56,5/4/2023 9:55,4.78,72.64,,,
57,5/4/2023 9:56,4.81,72.64,,,
58,5/4/2023 9:57,4.86,72.64,,,
59,5/4/2023 9:58,4.85,72.64,,,
60,5/4/2023 9:59,4.81,72.64,,,
61,5/4/2023 10:00,4.8,72.64,,,
62,5/4/2023 10:01,4.83,72.61,,,
63,5/4/2023 10:02,4.84,72.61,,,
64,5/4/2023 10:03,4.83,72.61,,,
65,5/4/2023 10:04,4.82,72.61,,,
66,5/4/2023 10:05,4.75,72.61,,,
67,5/4/2023 10:06,4.75,72.61,,,
68,5/4/2023 10:07,4.78,72.61,,,
69,5/4/2023 10:08,4.87,72.61,,,
70,5/4/2023 10:09,4.89,72.61,,,
71,5/4/2023 10:10,4.85,72.61,,,
72,5/4/2023 10:11,4.83,72.61,,,
73,5/4/2023 10:12,4.85,72.57,,,
74,5/4/2023 10:13,4.84,72.57,,,
75,5/4/2023 10:14,4.88,72.57,,,
76,5/4/2023 10:15,4.81,72.57,,,
77,5/4/2023 10:16,4.79,72.57,,,
78,5/4/2023 10:17,4.75,72.57,,,
79,5/4/2023 10:18,4.76,72.57,,,
80,5/4/2023 10:19,4.73,72.61,,,
81,5/4/2023 10:20,4.73,72.57,,,
82,5/4/2023 10:21,4.78,72.57,,,
83,5/4/2023 10:22,4.75,72.57,,,
84,5/4/2023 10:23,4.74,72.61,,,
85,5/4/2023 10:24,4.72,72.61,,,
86,5/4/2023 10:25,4.7,72.61,,,
87,5/4/2023 10:26,4.69,72.61,,,
88,5/4/2023 10:27,4.7,72.61,,,
89,5/4/2023 10:28,4.73,72.61,,,
90,5/4/2023 10:29,4.7,72.61,,,
91,5/4/2023 10:30,4.7,72.61,,,
92,5/4/2023 10:31,4.73,72.61,,,
93,5/4/2023 10:32,4.76,72.61,,,
94,5/4/2023 10:33,4.62,72.61,,,
95,5/4/2023 10:34,4.64,72.64,,,
96,5/4/2023 10:35,4.66,72.64,,,
97,5/4/2023 10:36,4.68,72.64,,,
98,5/4/2023 10:37,4.73,72.64,,,
99,5/4/2023 10:38,4.71,72.64,,,
100,5/4/2023 10:39,4.67,72.64,,,
101,5/4/2023 10:40,4.68,72.68,,,
