"TOA5","LF_CO2","CR1000","68222","CR1000.Std.27.04","CPU:Little Fanning_04052023_hourlyc.CR1","10194","Test"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","cDOM"
"TS","RN","Volts","Deg C","ppbQS"
"","","Min","Smp","Smp"
"2023-04-05 10:37:40",0,12.76,30.05,71.03106
"2023-04-05 10:37:50",1,12.75,30.05,87.09103
"2023-04-05 10:38:00",2,12.76,30.05,70.82304
"2023-04-05 10:38:10",3,12.75,30.09,70.68436
"2023-04-05 10:38:20",4,12.75,30.09,82.64296
"2023-04-05 10:38:30",5,12.76,30.09,75.5497
"2023-04-05 10:38:40",6,12.75,30.09,73.38861
"2023-04-05 10:38:50",7,12.75,30.09,88.72978
"2023-04-05 10:39:00",8,12.75,30.12,90.2515
"2023-04-05 10:39:10",9,12.76,30.12,83.34529
"2023-04-05 10:39:20",10,12.75,30.12,78.429
"2023-04-05 10:39:30",11,12.77,30.12,72.90323
"2023-04-05 10:39:40",12,12.77,30.12,75.05276
"2023-04-05 10:39:50",13,12.77,30.12,73.7122
"2023-04-05 10:40:00",14,12.76,30.12,70.81092
"2023-04-05 10:40:10",15,12.75,30.12,68.58052
"2023-04-05 10:40:20",16,12.75,30.12,70.61446
"2023-04-05 11:00:00",17,12.43,32.15,74.5683
"2023-04-05 12:00:00",18,12.42,30.91,75.16289
"2023-04-05 13:00:00",19,12.43,30.02,76.28316
"2023-04-05 14:00:00",20,12.43,29.55,75.96931
"2023-04-05 15:00:00",21,12.41,29.05,76.80467
"2023-04-05 16:00:00",22,12.42,27.85,76.96684
"2023-04-05 17:00:00",23,12.41,26.68,75.96701
"2023-04-05 18:00:00",24,12.37,25.73,77.16882
"2023-04-05 19:00:00",25,12.41,25.25,76.67392
"2023-04-05 20:00:00",26,12.37,24.42,75.3896
"2023-04-05 21:00:00",27,12.37,23.7,76.32612
"2023-04-05 22:00:00",28,12.38,23.18,76.56126
"2023-04-05 23:00:00",29,12.39,22.81,75.74582
"2023-04-06 00:00:00",30,12.36,22.45,76.56736
"2023-04-06 01:00:00",31,12.37,22.06,74.26547
"2023-04-06 02:00:00",32,12.37,21.7,76.45083
"2023-04-06 03:00:00",33,12.33,21.34,75.28259
"2023-04-06 04:00:00",34,12.37,21.31,77.03667
"2023-04-06 05:00:00",35,12.34,23.04,74.91212
"2023-04-06 06:00:00",36,12.35,25.4,75.15527
"2023-04-06 07:00:00",37,12.34,28.07,75.95827
"2023-04-06 08:00:00",38,12.38,28.59,75.65702
"2023-04-06 09:00:00",39,12.35,28.62,75.27615
"2023-04-06 10:00:00",40,12.39,29.78,74.50031
"2023-04-06 11:00:00",41,12.36,29.65,75.02054
"2023-04-06 12:00:00",42,12.38,29.32,74.21397
"2023-04-06 13:00:00",43,12.38,29.35,73.88759
"2023-04-06 14:00:00",44,12.35,28.59,74.09818
"2023-04-06 15:00:00",45,12.37,27.72,76.20145
"2023-04-06 16:00:00",46,12.37,26.47,77.33656
"2023-04-06 17:00:00",47,12.38,25.25,76.20701
"2023-04-06 18:00:00",48,12.36,24.45,76.58168
"2023-04-06 19:00:00",49,12.37,23.81,76.69733
"2023-04-06 20:00:00",50,12.33,23.44,76.56033
"2023-04-06 21:00:00",51,12.32,23.29,75.98174
"2023-04-06 22:00:00",52,12.35,23.1,76.61612
"2023-04-06 23:00:00",53,12.31,22.7,75.90138
"2023-04-07 00:00:00",54,12.35,22.28,75.82413
"2023-04-07 01:00:00",55,12.31,21.89,76.71684
"2023-04-07 02:00:00",56,12.31,21.51,76.50784
"2023-04-07 03:00:00",57,12.32,21.1,75.55018
"2023-04-07 04:00:00",58,12.34,21.1,76.09265
"2023-04-07 05:00:00",59,12.31,22.92,76.79897
"2023-04-07 06:00:00",60,12.32,25.43,74.73182
"2023-04-07 07:00:00",61,12.36,28.43,74.56096
"2023-04-07 08:00:00",62,12.35,28.36,73.51642
"2023-04-07 09:00:00",63,12.32,28.43,73.64499
"2023-04-07 10:00:00",64,12.33,28.79,74.46571
"2023-04-07 11:00:00",65,12.35,28.99,73.58755
"2023-04-07 12:00:00",66,12.35,29.55,74.6736
"2023-04-07 13:00:00",67,12.35,29.02,73.47241
"2023-04-07 14:00:00",68,12.32,28.4,73.78635
"2023-04-07 15:00:00",69,12.34,27.44,76.43489
"2023-04-07 16:00:00",70,12.33,26.31,76.23926
"2023-04-07 17:00:00",71,12.31,25.37,76.27847
"2023-04-07 18:00:00",72,12.32,24.3,76.55972
"2023-04-07 19:00:00",73,12.33,23.7,76.21164
"2023-04-07 20:00:00",74,12.33,23.15,74.57188
"2023-04-07 21:00:00",75,12.32,22.59,75.74457
"2023-04-07 22:00:00",76,12.32,22.08,75.28011
"2023-04-07 23:00:00",77,12.29,21.59,75.75808
"2023-04-08 00:00:00",78,12.29,21.15,75.05349
"2023-04-08 01:00:00",79,12.3,20.72,75.34169
"2023-04-08 02:00:00",80,12.29,20.5,74.6703
"2023-04-08 03:00:00",81,12.31,20.45,75.16359
"2023-04-08 04:00:00",82,12.29,20.74,75.39777
"2023-04-08 05:00:00",83,12.31,21.95,73.79308
"2023-04-08 06:00:00",84,12.28,23.64,74.73438
"2023-04-08 07:00:00",85,12.28,24.66,75.49472
"2023-04-08 08:00:00",86,12.29,25.01,74.85911
"2023-04-08 09:00:00",87,12.31,25.31,73.73537
"2023-04-08 10:00:00",88,12.32,25.55,73.10823
"2023-04-08 11:00:00",89,12.31,25.79,72.71434
"2023-04-08 12:00:00",90,12.29,26.04,74.44766
"2023-04-08 13:00:00",91,12.31,26.19,74.35493
"2023-04-08 14:00:00",92,12.33,25.67,74.25086
"2023-04-08 15:00:00",93,12.32,24.92,73.55116
