Date,DO,Temp,Dopercent
2022-08-29 11:00,5.76,74.23,99
2022-08-29 12:00,5.85,74.66,101.1
2022-08-29 13:00,5.76,74.37,99.3
2022-08-29 14:00,5.73,74.16,98.7
2022-08-29 15:00,5.63,74.01,96.9
2022-08-29 16:00,5.46,73.83,93.8
2022-08-29 17:00,5.38,73.69,92.4
2022-08-29 18:00,5.17,73.51,88.7
2022-08-29 19:00,4.82,73.29,82.6
2022-08-29 20:00,4.68,73.15,80.1
2022-08-29 21:00,4.58,73.08,78.4
2022-08-29 22:00,4.54,73.04,77.7
2022-08-29 23:00,4.52,73.04,77.5
2022-08-30 00:00,4.52,73,77.5
2022-08-30 01:00,4.53,73,77.7
2022-08-30 02:00,4.52,73,77.6
2022-08-30 03:00,4.52,72.97,77.6
2022-08-30 04:00,4.51,72.97,77.5
2022-08-30 05:00,4.52,72.93,77.7
2022-08-30 06:00,4.52,72.93,77.8
2022-08-30 07:00,4.56,72.97,78.6
2022-08-30 08:00,4.66,73,80.4
2022-08-30 09:00,4.96,73.33,85.9
2022-08-30 10:00,5.21,73.58,90.5
2022-08-30 11:00,5.59,74.19,97.9
2022-08-30 12:00,5.68,74.41,99.7
2022-08-30 13:00,5.72,74.7,100.8
2022-08-30 14:00,5.48,74.41,96.4
2022-08-30 15:00,5.37,74.01,94.1
2022-08-30 16:00,5.21,73.72,91.1
2022-08-30 17:00,5.29,73.65,92.5
2022-08-30 18:00,5.06,73.51,88.4
2022-08-30 19:00,4.78,73.36,83.5
2022-08-30 20:00,4.6,73.26,80.3
2022-08-30 21:00,4.53,73.18,79.1
2022-08-30 22:00,4.49,73.15,78.4
2022-08-30 23:00,4.47,73.11,78.1
2022-08-31 00:00,4.49,73.11,78.5
2022-08-31 01:00,4.48,73.08,78.3
2022-08-31 02:00,4.51,73.08,78.9
2022-08-31 03:00,4.51,73.04,78.9
2022-08-31 04:00,4.52,73.04,79.2
2022-08-31 05:00,4.52,73.04,79.2
2022-08-31 06:00,4.53,73.04,79.5
2022-08-31 07:00,4.56,73.04,80.1
2022-08-31 08:00,4.67,73.08,82.1
2022-08-31 09:00,4.85,73.26,85.5
2022-08-31 10:00,5.18,73.65,91.7
2022-08-31 11:00,5.38,73.98,95.7
2022-08-31 12:00,5.57,74.05,99.2
2022-08-31 13:00,5.7,74.12,101.7
2022-08-31 14:00,5.71,74.3,102.1
2022-08-31 15:00,5.31,73.98,94.7
2022-08-31 16:00,5.45,73.65,97
2022-08-31 17:00,5.74,73.4,101.9
2022-08-31 18:00,5.3,73.36,94.1
