"Plot Title: GilchristBlue_SpC"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Full Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Temp, °F (LGR S/N: 10757734, SEN S/N: 10757734)"
1,07/20/23 10:00:00 AM,399.3,399.1,76.57
2,07/20/23 11:00:00 AM,401.3,401.4,77.07
3,07/20/23 12:00:00 PM,401.7,401.4,77.04
4,07/20/23 01:00:00 PM,401.9,401.7,77.22
5,07/20/23 02:00:00 PM,400.2,400.3,76.77
6,07/20/23 03:00:00 PM,398.7,398.8,76.33
7,07/20/23 04:00:00 PM,397.1,397.3,76.17
8,07/20/23 05:00:00 PM,396.2,396.2,75.92
9,07/20/23 06:00:00 PM,395.1,395.4,75.69
10,07/20/23 07:00:00 PM,394.5,395.1,75.52
11,07/20/23 08:00:00 PM,394.2,394.7,75.43
12,07/20/23 09:00:00 PM,393.8,393.9,75.38
13,07/20/23 10:00:00 PM,393.6,393.9,75.34
14,07/20/23 11:00:00 PM,393.6,393.9,75.33
15,07/21/23 12:00:00 AM,393.6,394.0,75.29
16,07/21/23 01:00:00 AM,393.4,394.0,75.29
17,07/21/23 02:00:00 AM,393.7,394.0,75.25
18,07/21/23 03:00:00 AM,393.4,394.0,75.25
19,07/21/23 04:00:00 AM,393.7,394.0,75.25
20,07/21/23 05:00:00 AM,393.7,394.0,75.24
21,07/21/23 06:00:00 AM,393.4,394.0,75.24
22,07/21/23 07:00:00 AM,393.7,394.0,75.29
23,07/21/23 08:00:00 AM,394.3,394.7,75.42
24,07/21/23 09:00:00 AM,396.4,396.9,75.90
25,07/21/23 10:00:00 AM,399.2,399.1,76.57
26,07/21/23 11:00:00 AM,402.5,402.5,77.31
27,07/21/23 12:00:00 PM,404.3,404.4,77.65
28,07/21/23 01:00:00 PM,403.4,403.6,77.47
29,07/21/23 02:00:00 PM,400.8,401.0,76.96
30,07/21/23 03:00:00 PM,399.6,399.9,76.62
