"Plot Title: Otter_SpC_"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342063, SEN S/N: 20342063)","Temp, °F (LGR S/N: 20342063, SEN S/N: 20342063)","Coupler Detached (LGR S/N: 20342063)","Coupler Attached (LGR S/N: 20342063)","Stopped (LGR S/N: 20342063)","End Of File (LGR S/N: 20342063)"
1,06/12/23 10:00:00 AM,526.4,73.71,Logged,,,
2,06/12/23 11:00:00 AM,530.3,74.48,,,,
3,06/12/23 12:00:00 PM,533.1,75.16,,,,
4,06/12/23 01:00:00 PM,538.8,76.15,,,,
5,06/12/23 02:00:00 PM,547.0,77.68,,,,
6,06/12/23 03:00:00 PM,554.5,79.00,,,,
7,06/12/23 04:00:00 PM,557.9,79.88,,,,
8,06/12/23 05:00:00 PM,557.1,80.11,,,,
9,06/12/23 06:00:00 PM,554.2,79.92,,,,
10,06/12/23 07:00:00 PM,552.1,79.27,,,,
11,06/12/23 08:00:00 PM,545.1,77.76,,,,
12,06/12/23 09:00:00 PM,537.3,76.17,,,,
13,06/12/23 10:00:00 PM,532.0,75.07,,,,
14,06/12/23 11:00:00 PM,528.1,74.30,,,,
15,06/13/23 12:00:00 AM,525.2,73.81,,,,
16,06/13/23 01:00:00 AM,523.8,73.56,,,,
17,06/13/23 02:00:00 AM,522.3,73.36,,,,
18,06/13/23 03:00:00 AM,521.6,73.20,,,,
19,06/13/23 04:00:00 AM,520.9,73.08,,,,
20,06/13/23 05:00:00 AM,519.8,72.95,,,,
21,06/13/23 06:00:00 AM,519.5,72.82,,,,
22,06/13/23 07:00:00 AM,519.1,72.79,,,,
23,06/13/23 08:00:00 AM,520.9,73.04,,,,
24,06/13/23 09:00:00 AM,525.3,73.62,,,,
25,06/13/23 10:00:00 AM,529.2,74.46,,,,
26,06/13/23 11:00:00 AM,535.2,75.56,,,,
27,06/13/23 12:00:00 PM,540.6,76.46,,,,
28,06/13/23 01:00:00 PM,545.2,77.34,,,,
29,06/13/23 02:00:00 PM,550.6,78.30,,,,
30,06/13/23 03:00:00 PM,560.5,80.02,,,,
31,06/13/23 04:00:00 PM,565.5,81.00,,,,
32,06/13/23 05:00:00 PM,566.5,81.46,,,,
33,06/13/23 06:00:00 PM,563.9,81.34,,,,
34,06/13/23 07:00:00 PM,559.9,80.76,,,,
35,06/13/23 08:00:00 PM,551.5,79.00,,,,
36,06/13/23 09:00:00 PM,541.9,77.04,,,,
37,06/13/23 10:00:00 PM,535.2,75.63,,,,
38,06/13/23 11:00:00 PM,532.9,74.62,,,,
39,06/14/23 12:00:00 AM,527.0,74.01,,,,
40,06/14/23 01:00:00 AM,524.2,73.56,,,,
