Date,GPPavg,ER,K600_1d,GPP_Rhat,ER_Rhat,K600_daily_Rhat
2022-05-12,1.5086976915682047,-6.278198012180938,1.1091873403656696,0.9994395012414173,0.9999132341519766,1.0003652192463708
2022-05-13,1.0903442071095197,-5.797227490842391,1.1024359376342416,0.9993432606320128,0.9992927157407142,1.0015305693951786
2022-05-14,1.5205716251859807,-6.066157147143546,1.1130736712243825,0.9995325940676391,0.9997761685683452,1.0001935966934954
2022-05-15,1.3699830988749095,-5.722453631433109,1.108119311804953,1.0001731820956508,1.0009697537463864,1.0003548105130586
2022-05-16,1.2654843076816833,-5.596483714424039,1.102730631500556,0.9999604815363399,0.9992513501070115,0.9994351126567346
2022-05-17,1.5374514042455827,-5.659850654036721,1.1140644333181071,0.9995504743143971,0.9995201506144256,1.00074634423769
2022-05-18,NA,NA,NA,NA,NA,NA
2022-05-19,NA,NA,NA,NA,NA,NA
2022-05-20,NA,NA,NA,NA,NA,NA
2022-05-21,NA,NA,NA,NA,NA,NA
2022-05-22,NA,NA,NA,NA,NA,NA
2022-05-23,NA,NA,NA,NA,NA,NA
2022-05-24,NA,NA,NA,NA,NA,NA
2022-05-25,NA,NA,NA,NA,NA,NA
2022-05-26,NA,NA,NA,NA,NA,NA
2022-05-27,NA,NA,NA,NA,NA,NA
2022-05-28,NA,NA,NA,NA,NA,NA
2022-05-29,NA,NA,NA,NA,NA,NA
2022-05-30,NA,NA,NA,NA,NA,NA
2022-05-31,NA,NA,NA,NA,NA,NA
2022-06-01,NA,NA,NA,NA,NA,NA
2022-06-02,NA,NA,NA,NA,NA,NA
2022-06-03,NA,NA,NA,NA,NA,NA
2022-06-04,NA,NA,NA,NA,NA,NA
2022-06-05,NA,NA,NA,NA,NA,NA
2022-06-06,NA,NA,NA,NA,NA,NA
2022-06-07,NA,NA,NA,NA,NA,NA
2022-06-08,NA,NA,NA,NA,NA,NA
2022-06-09,NA,NA,NA,NA,NA,NA
2022-06-10,NA,NA,NA,NA,NA,NA
2022-06-11,NA,NA,NA,NA,NA,NA
2022-06-12,NA,NA,NA,NA,NA,NA
2022-06-13,NA,NA,NA,NA,NA,NA
2022-06-14,NA,NA,NA,NA,NA,NA
2022-06-15,NA,NA,NA,NA,NA,NA
2022-06-16,NA,NA,NA,NA,NA,NA
2022-06-17,NA,NA,NA,NA,NA,NA
2022-06-18,NA,NA,NA,NA,NA,NA
2022-06-19,NA,NA,NA,NA,NA,NA
2022-06-20,NA,NA,NA,NA,NA,NA
2022-06-21,NA,NA,NA,NA,NA,NA
2022-06-22,NA,NA,NA,NA,NA,NA
2022-06-23,NA,NA,NA,NA,NA,NA
2022-06-24,NA,NA,NA,NA,NA,NA
2022-06-25,NA,NA,NA,NA,NA,NA
2022-06-26,NA,NA,NA,NA,NA,NA
2022-06-27,NA,NA,NA,NA,NA,NA
2022-06-28,NA,NA,NA,NA,NA,NA
2022-06-29,NA,NA,NA,NA,NA,NA
2022-06-30,NA,NA,NA,NA,NA,NA
2022-07-01,NA,NA,NA,NA,NA,NA
2022-07-02,NA,NA,NA,NA,NA,NA
2022-07-03,NA,NA,NA,NA,NA,NA
2022-07-04,NA,NA,NA,NA,NA,NA
2022-07-05,NA,NA,NA,NA,NA,NA
2022-07-06,NA,NA,NA,NA,NA,NA
2022-07-07,NA,NA,NA,NA,NA,NA
2022-07-08,NA,NA,NA,NA,NA,NA
2022-07-09,NA,NA,NA,NA,NA,NA
2022-07-10,NA,NA,NA,NA,NA,NA
2022-07-11,NA,NA,NA,NA,NA,NA
2022-07-12,NA,NA,NA,NA,NA,NA
2022-07-13,2.3683528726260064,-5.854547032345622,1.1255132012242521,0.9996335431731251,0.9996578337381463,1.00056684321628
2022-07-14,2.2978080922292814,-5.990253738989519,1.1332585011935445,0.9996604688189862,0.999826561488161,1.0001048204780032
2022-07-15,2.791263344980771,-6.676315664440385,1.125653627935979,0.9993982038775774,0.9992178012832775,1.0007518678091276
2022-07-16,3.114981934024872,-7.372801313062463,1.1518631520665101,1.0005702216421897,1.0001409020120409,0.9992735039550679
2022-07-17,3.5550890377742994,-8.596870070216173,1.1122428326319123,0.9998117574735412,0.9998202607836577,0.9997269874644757
2022-07-18,3.5381314280968112,-9.07520919180501,1.0503810842889019,0.9994517985746854,0.9997892642246329,1.000180655778427
2022-07-19,4.340031052344496,-10.4761777009123,0.9714880289284138,0.9997442685351422,1.000163762582933,1.0004197026644142
2022-07-20,NA,NA,NA,NA,NA,NA
2022-07-21,NA,NA,NA,NA,NA,NA
2022-07-22,NA,NA,NA,NA,NA,NA
2022-07-23,NA,NA,NA,NA,NA,NA
2022-07-24,NA,NA,NA,NA,NA,NA
2022-07-25,NA,NA,NA,NA,NA,NA
2022-07-26,NA,NA,NA,NA,NA,NA
2022-07-27,NA,NA,NA,NA,NA,NA
2022-07-28,7.432036387420717,-13.432413648876361,0.8036569237756204,0.9993552699408291,0.9994824458013737,1.0001196082303674
2022-07-29,6.735352681986843,-12.755559027084423,0.8453555533331235,0.9998649506315119,0.9998178107791994,1.000265843781214
2022-07-30,6.695938516482749,-12.796214892001988,0.9495409845504444,0.9998785477950378,0.9993743386817634,1.0000162610484191
2022-07-31,6.0279871461745005,-12.132471686285388,0.984684049383283,0.9992002177616293,0.9994646537365086,0.9995047866582523
2022-08-01,4.369301910350786,-10.39184536170154,1.0087620920922487,0.9995590896212626,0.9993216131116404,1.000013874826896
2022-08-02,4.9727732073605955,-10.554427499474702,1.034726112727371,0.9994328366769608,0.999759216468677,0.9998922357759502
2022-08-03,4.632160309884394,-9.940144352842559,1.1063640224339526,1.000062134890767,0.9999302901532312,1.0004107729378326
2022-08-04,3.5856639592832553,-8.492965721296699,1.0947686154518392,1.0001101718567045,1.000486297458764,0.9995954647473995
2022-08-05,3.486540261379445,-8.27132587243361,1.1173881698721773,1.0002838334512933,0.9996840894469541,1.0003338105015611
2022-08-06,2.1534182516322433,-6.84827174955727,1.1167662590049445,1.0008971417823929,1.0008021022727178,0.9997386233172553
2022-08-07,3.308260757030736,-7.705157056746711,1.1446175368995413,0.9991951997940826,1.000470082571114,0.9998521589534437
2022-08-08,3.1831746635799227,-7.738815540485795,1.1355325420241358,0.9994274298881421,0.9993558622271695,0.999462616334412
2022-08-09,2.6504479216174848,-7.123466050405427,1.1396600788139264,1.0001521666830504,0.9995586762929803,1.0000902733895218
2022-08-10,2.7922503282821602,-7.361131557303901,1.125285811048958,0.9997576454747263,1.0003647046067445,1.000172987834748
2022-08-11,4.436505970572088,-9.016869371089694,1.1184565697547344,0.9995620630151364,0.9997545340914697,0.999880930214935
