date,GPP_daily_mean,ER_daily_mean,K600_daily_mean
2022-07-29,2.3349998476188127,-16.990659861990046,5.926680630920817
2022-08-28,2.613618167163574,-19.47616023994323,6.612635564146633
2022-08-29,2.851711474799397,-20.033901130006836,6.209424544225526
2022-08-30,2.500764906645432,-19.00676488659194,5.401345490831207
2022-08-31,3.018278512757142,-19.82662943736968,5.037843138672002
2022-09-01,2.517151857426502,-21.64403993175106,5.2599643596204695
2022-09-02,1.9636267346870635,-20.98758421306762,4.967180211514567
2022-09-03,1.7981352734319411,-20.319496831540107,4.819661395209988
2022-09-04,1.9904363457999983,-6.919887240138627,1.169855289593074
2022-09-05,1.63696191243393,-19.90021946947854,4.8955856927395125
2022-09-06,1.654061102508855,-19.767035044359325,4.881690501011153
2022-09-07,1.99136576894588,-20.5266505950359,4.96628031122785
2022-09-08,1.214884823353137,-16.43357716873256,3.9459306962014975
2022-09-09,1.1264150205755814,-17.90400938109056,4.477334083629601
2022-09-10,1.0485894088307586,-18.07560772370037,4.681092063556021
2022-09-11,1.9320238109091683,-20.006337607013254,4.942698169339655
2022-09-12,1.6466890446434284,-18.687344385469356,4.24184873636215
2022-09-13,1.7703705008449393,-18.593031095756494,3.719776846935562
2022-09-14,1.904047623165073,-21.10771679613241,3.8133917989327846
2022-09-15,1.5738767733126289,-20.372746304584478,3.715790977876906
2022-09-16,1.241186581314224,-19.109889945745984,3.7369440887439698
2022-09-17,1.5349465675913936,-20.259572420680357,4.299265222193511
2022-09-18,1.7489415885207429,-20.36833420493006,4.4395272094914855
2022-09-19,1.8722214878137842,-21.150170302805087,4.725428390318879
2022-09-20,1.9367343775780095,-20.888076785984545,4.76662578580816
2022-09-21,1.9365183474271488,-21.24755908628523,5.073671307098973
2022-09-22,1.9286949645515956,-20.525171661310733,4.980613979388974
2022-09-23,2.137768738350939,-20.306371454340926,5.148658089931931
2022-09-24,1.6584980828689857,-19.339883501731638,5.3144460865510945
2022-09-25,1.5236775616498213,-18.492708214014762,5.271831093920699
2022-09-26,1.8619809371694327,-19.11194134969568,5.562248154282097
2022-09-27,2.730458082500862,-20.725572781838537,6.3085574201941785
2022-09-28,0.2665963414316312,-15.26855121914384,5.053075180062207
2022-09-29,2.1359315047194296,-19.795553334253338,6.2657887304057205
2022-09-30,1.972300075617738,-19.52988511361729,6.386199065236352
2022-10-01,1.4181616257553202,-17.902016243115987,5.9870880231261605
2022-10-02,1.3123277686221808,-17.328265211036094,6.013876880313289
2022-10-03,1.3682282712694231,-17.294134780693046,6.306990953317338
2022-10-04,1.388844821894148,-16.834621794862926,6.328140056926353
2022-10-05,1.1675224159652178,-15.680263195257574,5.93826771611127
2022-10-06,1.2427364255846942,-16.1717818316291,6.060006143471128
2022-10-11,2.1631533196649873,-19.350294986618824,6.6327905888677625
2022-10-12,2.775501512628453,-20.45309029337238,7.048895713940455
2022-10-13,2.1905238633618165,-19.105239809489824,6.707975100487987
2022-10-14,1.6190395801508577,-17.047656438372428,6.464576525385263
2022-12-24,1.4924087852130314,-10.905477137192646,7.392394967354201
2022-12-25,1.412335386461729,-10.95946855641518,7.1312450459587975
2022-12-26,1.4187136091517945,-11.43581574851075,7.363213092839468
2023-01-06,1.0423398277109082,-10.322421272882027,6.8339265047064615
2023-01-14,0.49867629611778264,-5.0543594843325685,4.959624829289938
2023-01-15,0.46562291524766736,-4.643050578438453,3.9593061479607807
2023-01-16,0.9074627670168308,-8.09339632404531,5.870425588606577
2023-01-27,0.5184328455909043,-6.049241417968633,5.317346653805488
2023-08-04,1.6737893652976226,-12.963374610610165,3.679147078102354
2023-08-05,2.1523371086232554,-18.509166612719255,4.051370985687582
2023-08-06,2.4048230914621302,-22.595751519749005,4.48421890031984
2023-08-07,2.078662796888268,-21.672306192760622,4.442974440638365
2023-08-08,1.673749243214156,-20.324236292119238,4.332571713701345
2023-08-09,1.7472029619913907,-20.151654731357752,4.566210785612057
2023-08-10,1.6928118281513183,-19.83610582739398,4.727448861962872
2023-08-11,2.040665495354042,-20.41845256243119,5.030176643143273
2023-08-12,2.0970049677958404,-19.851999467939795,5.113705666538312
2023-08-13,1.865343856916827,-18.706176753517358,4.999100923321068
2023-08-14,0.645841376191422,-13.913200553607208,3.9868970769315952
2023-08-15,1.6079348578879207,-18.23775358198894,5.295050608341723
2023-08-16,1.3701155350276417,-16.56902318308821,4.938901921569687
2023-08-17,2.2046453061266456,-19.60084918086139,5.800669030932813
2023-08-18,2.4047691450473256,-20.651354286496044,6.081273458292808
2023-08-19,1.8995090567081727,-19.024128435946626,5.660266561787018
2023-08-20,2.1031613769546458,-20.21515247423133,6.067335518611543
2023-08-21,2.133808022261832,-19.630469966151953,5.992537119408578
2023-08-22,2.1854115910574214,-19.909052652428397,5.974332899407411
2023-08-23,2.636588991944753,-21.098725471145347,6.352703262588712
2023-08-24,2.4274680303425495,-20.166384977226002,6.224959044225542
2023-08-25,2.101105060394139,-19.184704171321552,6.047140773700971
2023-08-26,2.2161886102200627,-19.34407661954549,6.186237047339644
2023-08-27,1.7963954218114042,-18.144085159211414,5.968247576140077
2023-08-28,2.0626133902788073,-18.891117431722297,6.406433978276248
2023-12-19,1.8409667504651352,-11.922235047346227,3.5005994377805596
2023-12-20,1.6254867848707364,-13.78306439885572,2.473906956159939
2023-12-25,2.2073570161513345,-8.942599295107009,0.5147768158454693
2023-12-26,1.5014243356311594,-17.981837224684543,2.756838245162474
2023-12-27,2.273801147342544,-24.027633064247873,4.2897308552330395
2023-12-28,1.4976550999923783,-19.78058932077596,3.808892448130162
