file,status,date,n_total,n_vent_segment,vent_duration_min,mean_DO,median_DO,sd_DO,min_DO,max_DO,mean_Temp
Roving_GB_03152023.csv,OK,2023-03-15,51,51,50,0.222,0.22,0.026,0.17,0.32,71.14
Roving_GB_DO_01032022.csv,OK,2023-01-03,62,62,61,0.599,0.57,0.095,0.43,0.97,72.61
Roving_GB_DO_01182022.xlsx,OK,2023-01-18,8,8,7,4.631,4.635,0.083,4.5,4.74,73.19
Roving_GB_DO_03012023.csv,OK,2023-03-01,298,295,294,4.561,4.55,0.086,4.35,5.79,73.05
ROVING_GB_DO_04112022.xlsx,OK,2022-04-11,351,57,56,4.78,4.74,0.293,4.64,6.94,73.15
ROVING_GB_DO_05092022.xlsx,OK,2022-05-09,39,39,38,4.711,4.71,0.014,4.68,4.74,72.95
ROVING_GB_DO_05232022.xlsx,OK,2022-05-23,245,4,3,4.678,4.68,0.005,4.67,4.68,72.97
ROVING_GB_DO_06062022.xlsx,OK,2022-06-06,106,106,105,4.657,4.66,0.014,4.62,4.71,73
ROVING_GB_DO_06172022.csv,"FIRST READING >7, EXCLUDED",2022-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROVING_GB_DO_07052022.xlsx,OK,2022-07-05,120,120,119,4.612,4.62,0.05,4.37,4.66,73.19
ROVING_GB_DO_07202022.xlsx,OK,2022-07-20,80,80,79,4.601,4.6,0.012,4.58,4.65,72.95
ROVING_GB_DO_08012022.xlsx,OK,2022-08-01,112,112,111,4.58,4.58,0.017,4.54,4.62,73.06
ROVING_GB_DO_08152022.xlsx,OK,2022-08-15,115,115,114,0.947,0.95,0.006,0.94,0.96,71.65
ROVING_GB_DO_09122022.xlsx,OK,2022-09-12,2,2,30,4.45,4.45,0.325,4.22,4.68,76.55
ROVING_GB_DO_09262022.xlsx,OK,2022-09-26,115,115,114,4.603,4.61,0.038,4.5,4.69,72.89
ROVING_GB_DO_10102022.xlsx,OK,2022-10-10,46,46,45,4.598,4.6,0.015,4.54,4.62,72.99
ROVING_GB_DO_10242022.csv,OK,2022-10-24,118,118,117,4.631,4.63,0.019,4.6,4.68,72.93
ROVING_GB_DO_11072022.xlsx,OK,2022-11-07,46,42,41,4.633,4.63,0.014,4.6,4.66,72.97
Roving_GB_DO_12052022.xlsx,OK,2022-12-05,66,66,65,4.533,4.52,0.065,4.43,4.84,72.55
Roving_GB_DO_50402023.csv,OK,2023-05-04,243,242,241,4.813,4.8,0.085,4.62,5.12,72.67
RovingDO_GB_08072023.csv,OK,2023-08-07,39,31,30,4.127,4.15,0.109,3.82,4.22,74.19
rovingDO_GB_AM.csv,"FIRST READING >7, EXCLUDED",2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
