ID,source,n_days,median_ER,median_GPP
AM,one-station,509,-11.7,3.51
AM,"two-station (new VentDO, all-sites compile)",65,-12.37,15.93
AM,two-station (old VentDO),180,-3.58,16.61
GB,one-station,632,-19.36,2.71
GB,"two-station (new VentDO, all-sites compile)",242,-2.05,12.84
GB,two-station (old VentDO),544,-8.82,13.48
LF,one-station,378,-17.03,3.54
LF,"two-station (new VentDO, all-sites compile)",101,-4.71,17.39
LF,two-station (old VentDO),329,-4.43,17.79
