ID,date,K600_one,K600_rc,depth,method,ratio
AM,2022-05-12,2.4189097451169825,11.056408580956482,0.4108314364648162,M6_breakpoint_stat,0.21877897577729752
AM,2022-05-13,2.44106708427861,11.525818968725206,0.40047548625370327,M6_breakpoint_stat,0.21179120467728466
AM,2022-05-14,2.4817030388516392,12.515032316518472,0.3881293093984667,M6_breakpoint_stat,0.19829777311689903
AM,2022-05-15,2.4869328499630727,13.654629418702267,0.3698460587795037,M6_breakpoint_stat,0.1821311127313941
AM,2022-05-16,2.504229937881308,14.41564787585433,0.35726225169699033,M6_breakpoint_stat,0.17371608681395442
AM,2022-05-17,2.538010041623469,15.614496142310134,0.3455656119005128,M6_breakpoint_stat,0.16254191095838813
AM,2022-05-18,2.5452120950187616,17.337048348175486,0.32840130202429907,M6_breakpoint_stat,0.1468076943608809
AM,2022-05-19,2.572900066233886,18.87421449029234,0.3121156641186556,M6_breakpoint_stat,0.1363182593668848
AM,2022-05-20,2.5741609332510715,19.758980799685236,0.30157456259177035,M6_breakpoint_stat,0.13027802189534382
AM,2022-05-21,2.5685458461544597,19.947583507117255,0.29754368300233186,M6_breakpoint_stat,0.12876476216971383
AM,2022-05-22,2.586455130107391,20.059405266577627,0.29657373759658484,M6_breakpoint_stat,0.12893977143065474
AM,2022-07-01,2.5856474170099735,34.308395604130624,0.2546547789741982,M6_breakpoint_stat,0.07536485957678153
AM,2022-07-02,2.690363438344094,21.78009444605151,0.28893722343100603,M6_breakpoint_stat,0.12352395647356006
AM,2022-07-03,2.6495216922365,25.086576436405014,0.27453660802777574,M6_breakpoint_stat,0.10561511647287114
AM,2022-07-04,2.655791162494109,29.12746126650094,0.252808820583445,M6_breakpoint_stat,0.09117825745934456
AM,2022-07-05,2.638338369352185,33.393787098925806,0.23460004938166484,M6_breakpoint_stat,0.07900686320890671
AM,2022-07-06,2.683906793128832,37.687959291901834,0.21934442834866866,M6_breakpoint_stat,0.07121390607385669
AM,2022-07-07,2.673380439114203,41.497812595305696,0.20682236343281665,M6_breakpoint_stat,0.06442220136240676
AM,2022-07-08,2.682100040529998,41.74270099795973,0.20297413535313147,M6_breakpoint_stat,0.06425315028515026
AM,2022-07-09,2.638643090963555,39.85038187412539,0.21672940652656406,M6_breakpoint_stat,0.06621374669126597
AM,2022-07-10,2.635929261505457,32.592696421687926,0.24370973728976192,M6_breakpoint_stat,0.08087484470144818
AM,2022-07-11,2.6125163135245,26.104700484389216,0.26988439053446067,M6_breakpoint_stat,0.10007838684403991
AM,2022-07-12,2.6145511598041775,21.725445063783106,0.30238374129743795,M6_breakpoint_stat,0.12034511385742351
AM,2022-07-13,2.5884550937659485,16.769544083230105,0.3503241812154658,M6_breakpoint_stat,0.15435452990963885
AM,2022-07-14,2.51158230523426,12.633776191036656,0.4032478538513346,M6_breakpoint_stat,0.19879901838186462
AM,2022-07-15,2.484435755682546,9.751899392127708,0.46782838148439965,M6_breakpoint_stat,0.2547642931681724
