area_mult,area,n_days,median_ER
0.3,1732.5,117,-14.666734660852983
0.4,2310,258,-10.822347266173956
0.5,2887.5,384,-8.900478105346119
0.6,3465,438,-8.505003755024523
0.7,4042.4999999999995,475,-8.40324679135287
0.8,4620,508,-8.721096946971818
0.9,5197.5,537,-8.733186979527316
1,5775,544,-8.819383351055935
1.2,6930,525,-8.863825108361073
1.5,8662.5,459,-9.074369698458007
2,11550,336,-9.168689920172119
2.5,14437.5,213,-8.777090449079061
3,17325,160,-9.365521141350875
