ID,method,ER_jump,GPP_jump
AM,M7_breakpoint_domain,1.0089178347768044,3.5881020724828168
AM,M8_hybrid_calibrated,5.324985630559864,1.721194331491252
AM,M6_breakpoint_stat,13.36480823101733,4.333785580757954
GB,M8_hybrid_calibrated,6.654366351369102,6.037526188621967
GB,M6_breakpoint_stat,8.017209657665614,7.323425272785887
GB,M7_breakpoint_domain,10.98056691597768,6.86255178534163
ID,M8_hybrid_calibrated,3.5289047466307064,3.282388828495002
ID,M7_breakpoint_domain,3.6465459331543784,3.657675341416814
ID,M6_breakpoint_stat,11.626336297063492,4.319956831681516
LF,M6_breakpoint_stat,0.6876348674254693,2.395889616168998
LF,M7_breakpoint_domain,5.522698791040599,0.05675256357357128
LF,M8_hybrid_calibrated,10.696967054274765,0.3562086458470928
