ID,Date,VentDO,VentTemp
GB,2023-01-18T00:00:00Z,4.631,73.19
GB,2023-03-01T00:00:00Z,4.561,73.05
GB,2022-04-11T00:00:00Z,3.051,73.3
GB,2022-05-09T00:00:00Z,4.711,72.95
GB,2022-05-23T00:00:00Z,1.973,74.33
GB,2022-06-06T00:00:00Z,4.657,73
GB,2022-06-17T00:00:00Z,4.681,74.07
GB,2022-07-05T00:00:00Z,4.612,73.19
GB,2022-07-20T00:00:00Z,4.601,72.95
GB,2022-08-01T00:00:00Z,4.58,73.06
GB,2022-09-12T00:00:00Z,4.45,76.55
GB,2022-09-26T00:00:00Z,4.603,72.89
GB,2022-10-10T00:00:00Z,4.598,72.99
GB,2022-10-24T00:00:00Z,4.631,72.93
GB,2022-11-07T00:00:00Z,4.633,72.97
GB,2022-12-05T00:00:00Z,4.533,72.55
GB,2023-08-07T00:00:00Z,4.127,74.19
GB,2023-05-18T00:00:00Z,2.668,72.9
