ID,file,status,visit_date,n_total,n_used,n_discarded,mean_DO,sd_DO,mean_Temp,sheet_note,own_z,matches_other_site,manually_verified,flagged
LF,roving_LittleFanning_DO_05172023 (1).csv,OK,2023-05-17,63,45,18,-18.094,132.76,53.65,NA,147.84762918361278,,FALSE,FALSE
OS,roving_OS_05182023 (1).csv,OK,2023-05-17,121,15,106,-55.151,230.648,12.28,NA,76.24533831288088,,FALSE,FALSE
GB,Roving_GB_03152023.csv,OK,2023-03-15,51,51,0,0.222,0.026,71.14,NA,48.441705201097804,,FALSE,FALSE
GB,rovingDO_AM_05292023.csv,OK,2023-05-29,238,110,128,3.614,0.872,73.84,NA,10.935596083973003,OS,TRUE,FALSE
GB,RovingDO_GB_08072023.csv,OK,2023-08-07,37,31,6,4.127,0.109,74.19,NA,5.263239369030486,,FALSE,FALSE
LF,Roving_LF_03082023.csv,OK,2023-03-08,190,161,29,1.263,0.411,72.87,NA,3.5811360213094368,AM,TRUE,FALSE
AM,RovingDO_AM_01182022.xlsx,OK,2023-01-18,23,23,0,0.02,0.004,71.49,NA,2.897499887584875,,FALSE,FALSE
OS,roving_OS_05182023 (3).csv,OK,2022-10-17,252,223,29,4.331,1.414,73.26,NA,2.731156480794009,GB,TRUE,FALSE
OS,roving_OS_05182023 (1).xlsx,OK,2023-03-20,51,51,0,4.06,0.815,74.53,NA,2.3713395598921236,GB,TRUE,FALSE
GB,Roving_GB_DO_50402023.csv,OK,2023-05-04,242,242,0,4.813,0.085,72.67,NA,2.3220173686899197,,FALSE,FALSE
AM,ROVING_AllenMillPond_DO_05092022.xlsx,OK,2022-05-09,72,72,0,1.846,0.049,72.64,NA,2.2342506407662226,"LF,OS",FALSE,FALSE
AM,ROVING_AllenMill_DO_06062022.xlsx,OK,2022-06-06,77,77,0,1.845,0.114,73.51,NA,2.2314402626017364,"LF,OS",FALSE,FALSE
AM,RovingDO_AM_12052022.xlsx,OK,2022-12-05,62,57,5,0.294,0.029,71.96,NA,2.1274562705157622,,FALSE,FALSE
LF,Roving_LF_02222023.csv,OK,2023-02-22,113,113,0,1.462,0.013,73.31,NA,2.098001644117807,"AM,OS",FALSE,FALSE
LF,ROVINGDO_LF_08242022 (1).csv,OK,2023-05-03,64,64,0,2.011,0.107,72.96,NA,1.993660532154577,"AM,OS",FALSE,FALSE
AM,ROVINGDO_AM_05232022.xlsx,OK,2022-05-23,16,16,0,1.697,0.011,72.1,NA,1.815504294257836,"LF,OS",FALSE,FALSE
GB,ROVING_GB_DO_09122022.xlsx,OK,2022-09-12,2,2,0,4.45,0.325,76.55,NA,1.69175551147408,,FALSE,FALSE
GB,ROVING_GB_DO_04112022.xlsx,OK,2022-04-11,56,56,0,4.742,0.032,73.15,NA,1.5369543535614258,,FALSE,FALSE
LF,ROVING_LF_DO_05022022.xlsx,OK,2022-05-02,11,11,0,1.943,0.085,73.14,NA,1.4868608454760301,"AM,OS",FALSE,FALSE
LF,ROVINGDO_LF_08242022 (4).xlsx,OK,2022-05-16,32,32,0,1.914,0.039,73.04,NA,1.2707256849807664,"AM,OS",FALSE,FALSE
AM,RovingDO_AM_01032022.csv,OK,2023-01-03,62,62,0,0.599,0.095,72.61,NA,1.2702909303475887,,FALSE,FALSE
AM,Roving_GB_DO_01032022.csv,OK,2023-01-03,62,62,0,0.599,0.095,72.61,NA,1.2702909303475887,,TRUE,FALSE
GB,ROVING_GB_DO_05092022.xlsx,OK,2022-05-09,39,39,0,4.711,0.014,72.95,NA,1.1941803610405364,,FALSE,FALSE
AM,RovingDO_AM_12192022.csv,OK,2022-12-19,1539,1531,8,0.705,0.927,71.45,NA,0.9723908449120925,,FALSE,FALSE
LF,roving_LittleFanning_DO_05172023 (5).csv,OK,2022-08-24,86,86,0,1.873,0.067,74.05,NA,0.9651552856598787,"AM,OS",FALSE,FALSE
LF,ROVINGDO_LF_08242022 (1).xls,OK,2023-01-11,63,61,2,1.616,0.142,73.31,NA,0.9502494125222744,"AM,OS",FALSE,FALSE
OS,roving_Otter_DO_09072022.xlsx,OK,2022-09-07,60,60,0,1.609,0.06,74.39,NA,0.8829455808108974,"AM,LF",FALSE,FALSE
AM,roving_AM_DO_04262023.csv,OK,2023-04-26,40,11,29,1.362,0.135,75.54,NA,0.8740276091550883,"LF,OS",FALSE,FALSE
GB,ROVING_GB_DO_06172022.csv,OK,2022-06-17,265,155,110,4.681,0.39,74.07,NA,0.8624635940848306,,FALSE,FALSE
GB,ROVING_GB_DO_05232022.xlsx,OK,2022-05-23,4,4,0,4.678,0.005,72.97,NA,0.8292919173892591,,FALSE,FALSE
AM,ROVING_AllenMill_DO_07202022.xlsx,OK,2022-07-20,156,156,0,1.342,0.03,72.11,NA,0.8178200458653718,LF,FALSE,FALSE
LF,ROVINGDO_LF_08242022 (5).xlsx,OK,2022-08-08,40,40,0,1.637,0.118,76.67,NA,0.7937377445774298,"AM,OS",FALSE,FALSE
GB,Roving_GB_DO_12052022.xlsx,OK,2022-12-05,66,66,0,4.533,0.065,72.55,no sheet named for this site; picked first non-conflicting sheet,0.7740057895633,,FALSE,FALSE
OS,roving_OS_05182023 (4).xlsx,OK,2022-08-08,156,156,0,1.732,0.187,74,NA,0.719633841803769,"AM,LF",FALSE,FALSE
OS,roving_OS_05182023 (6).xlsx,OK,2022-10-31,90,90,0,1.737,0.032,73.05,NA,0.7129951532262433,"AM,LF",FALSE,FALSE
GB,roving_LittleFanning_DO_05172023 (4).csv,OK,2022-08-15,40,40,0,4.542,0.016,73.29,NA,0.6744907594765952,,TRUE,FALSE
OS,ROVINGDO_LF_08242022 (2).xlsx,OK,2023-01-25,78,78,0,2.782,0.201,73.47,no sheet named for this site; picked first non-conflicting sheet,0.6744907594765952,,TRUE,FALSE
OS,roving_OS_05182023 (2).xlsx,OK,2023-01-25,78,78,0,2.782,0.201,73.47,no sheet named for this site; picked first non-conflicting sheet,0.6744907594765952,,FALSE,FALSE
