Date,ID,depth,DO,Temp,source_file,remove,velocity,K600_1.d_daily,w,km,m,area,VentDO,VentTemp,discharge,change.DO.flux,Vent.DO.sat,stat2.DO.sat,DO.deficit.from.sat,K.flux,not.air.water.xchange,reach.km,reach.test,time,date,GPP,ER
2022-05-17T00:00:00Z,AM,0.35191106103234027,4.39,71.38,AllenMillPond_DO_05232022.csv,NA,0.28124072763717933,15.196149393835535,16.5,1,800,14850,0.975,22.19,141094.08812105874,32.44688962514583,8.711831849066149,8.763955198005053,6.055393523535601,32.38238590194621,0.06450372319962128,1.5990365873679486,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T01:00:00Z,AM,0.35145556937127864,4.41,71.35,AllenMillPond_DO_05232022.csv,NA,0.2769640896290685,15.196149393835535,16.5,1,800,14850,0.975,22.19,138768.7191808641,32.099026962038266,8.711831849066149,8.767337167133048,6.047084508099599,32.29609561606568,-0.19706865402741158,1.574721116762568,passes,night,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T02:00:00Z,AM,0.35099507791832185,4.41,71.35,AllenMillPond_DO_05232022.csv,NA,0.2769640896290685,15.196149393835535,16.5,1,800,14850,0.975,22.19,138586.89873273502,32.056969504844766,8.711831849066149,8.767337167133048,6.047084508099599,32.25377995146638,-0.19681044662161185,1.574721116762568,passes,night,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T03:00:00Z,AM,0.35052793591655007,4.43,71.35,AllenMillPond_DO_05232022.csv,NA,0.2812407276371802,15.196149393835535,16.5,1,800,14850,0.975,22.19,140539.542388972,32.697920468275974,8.711831849066149,8.767337167133048,6.037084508099599,32.157586403168914,0.5403340651070607,1.5990365873679537,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T04:00:00Z,AM,0.3500524926090437,4.45,71.31,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,139281.82401147968,32.592884743427064,8.711831849066149,8.770721474731397,6.028776661898773,32.069775853600376,0.5231088898266876,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T05:00:00Z,AM,0.34956709723888324,4.43,71.31,AllenMillPond_DO_05232022.csv,NA,0.28124072763717933,15.196149393835535,16.5,1,800,14850,0.975,22.19,140154.3068221805,32.60829158724805,8.711831849066149,8.770721474731397,6.0387766618987735,32.07842748786527,0.5298640993827775,1.5990365873679486,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T06:00:00Z,AM,0.349070099049149,4.48,71.31,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,138890.9410159054,32.78200324988205,8.711831849066149,8.770721474731397,6.013776661898773,31.900206841936413,0.8817964079456395,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T07:00:00Z,AM,0.3485598472829212,4.58,71.35,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,138687.91776023427,33.66800966502657,8.711831849066149,8.767337167133048,5.962084508099599,31.579775526322933,2.0882341387036334,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T08:00:00Z,AM,0.34803469118328034,4.71,71.53,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,138478.96424328152,34.8295576733102,8.711831849066149,8.750450656183592,5.88864125262487,31.14377025531757,3.6857874179926284,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T09:00:00Z,AM,0.34749297999330686,4.9,71.85,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,138263.423648028,36.54437291707137,8.711831849066149,8.720201265215929,5.778516557141039,30.513775869563034,6.030597047508337,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T10:00:00Z,AM,0.34693306295608084,5.15,72.25,AllenMillPond_DO_05232022.csv,NA,0.27696408962906915,15.196149393835535,16.5,1,800,14850,0.975,22.19,136983.05271996034,38.512070377497274,8.711831849066149,8.683483014184452,5.6351574316253,29.708812884088104,8.80325749340917,1.5747211167625719,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T11:00:00Z,AM,0.346353289314683,5.43,72.93,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,137809.95395454147,41.342986186362445,8.711831849066149,8.620707611048259,5.463769730057204,28.7571113281804,12.585874858182045,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T12:00:00Z,AM,0.3457520083121933,5.56,73.51,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,137570.71122227004,42.47553609118574,8.711831849066149,8.568469452825425,5.372650650945788,28.228439334058443,14.247096757127295,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T13:00:00Z,AM,0.3451192502441691,5.33,73.11,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,137318.9441309532,40.27097654480143,8.711831849066149,8.604322294183882,5.505577071625016,28.87390913084367,11.397067413957757,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T14:00:00Z,AM,0.344450546526749,5.35,73.18,AllenMillPond_DO_05232022.csv,NA,0.2812407276371802,15.196149393835535,16.5,1,800,14850,0.975,22.19,138102.89344819952,40.686879382887064,8.711831849066149,8.597783717068832,5.492307783067491,28.748507260908053,11.938372121979011,1.5990365873679537,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T15:00:00Z,AM,0.3437524980838865,5.33,72.97,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,136775.1293092476,40.11149415096117,8.711831849066149,8.617426095409286,5.512128972237718,28.793787020537064,11.317707130424107,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T16:00:00Z,AM,0.34303170583953446,5.07,72.5,AllenMillPond_DO_05232022.csv,NA,0.27910240863312424,15.196149393835535,16.5,1,800,14850,0.975,22.19,136488.33444091678,37.63769222461645,8.711831849066149,8.660260493749806,5.663546171407978,29.52271288016826,8.11497934444819,1.5868788520652601,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T17:00:00Z,AM,0.34229477071764614,4.93,72.18,AllenMillPond_DO_05232022.csv,NA,0.28124072763717933,15.196149393835535,16.5,1,800,14850,0.975,22.19,137238.5636340508,36.55074203182969,8.711831849066149,8.690138474029585,5.748485161547867,29.901104690341086,6.6496373414886065,1.5990365873679486,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T18:00:00Z,AM,0.34154829364217465,4.73,71.92,AllenMillPond_DO_05232022.csv,NA,0.2812407276371802,15.196149393835535,16.5,1,800,14850,0.975,22.19,136939.27351808286,34.62673212527954,8.711831849066149,8.713504582301143,5.860168215683646,30.41555580324087,4.211176322038668,1.5990365873679537,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T19:00:00Z,AM,0.34079887553707333,4.56,71.78,AllenMillPond_DO_05232022.csv,NA,0.2812407276371802,15.196149393835535,16.5,1,800,14850,0.975,22.19,136638.80423516093,32.98653960828632,8.711831849066149,8.72690716286343,5.95186950596479,30.823724078925327,2.1628155293609943,1.5990365873679537,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T20:00:00Z,AM,0.3400531173262952,4.42,71.67,AllenMillPond_DO_05232022.csv,NA,0.2812407276371802,15.196149393835535,16.5,1,800,14850,0.975,22.19,136339.8023384889,31.6289979162353,8.711831849066149,8.73698333017752,6.0269075896218345,31.144032751201063,0.4849651650342359,1.5990365873679537,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T21:00:00Z,AM,0.3393176199337935,4.4,71.56,AllenMillPond_DO_05232022.csv,NA,0.28337904664123525,15.196149393835535,16.5,1,800,14850,0.975,22.19,137079.2859968985,31.615929598611277,8.711831849066149,8.747080341923198,6.041956095494673,31.154266573382188,0.46166302522908964,1.6111943226706418,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
2022-05-17T22:00:00Z,AM,0.3385989842835214,4.41,71.53,AllenMillPond_DO_05232022.csv,NA,0.28337904664123525,15.196149393835535,16.5,1,800,14850,0.975,22.19,136788.96785235172,31.64108448301873,8.711831849066149,8.750450656183592,6.0386412526248705,31.07122922886836,0.5698552541503688,1.6111943226706418,passes,day,2022-05-17,4.907953531274655,-0.19693955032451171
