bp,sse,n_left,n_right,ID
0.325578835485864,4193.357009246727,6,12,AM
0.327009398041837,4280.891695205032,7,11,AM
0.364590964556088,2744.4410372003067,9,9,AM
0.364657769235777,2394.7616659395235,10,8,AM
0.410108630573005,1507.6704264282137,11,7,AM
0.738618226898766,433.08764812667204,12,6,AM
0.739352599741527,513.6624310034823,13,5,AM
0.886144333561575,458.77486260466367,15,3,AM
0.887411324393754,462.5097534192429,16,2,AM
0.473199183951164,116.56641424416235,6,10,GB
0.486286253704515,89.95835118852335,7,9,GB
0.48686892584765,81.49838770584313,8,8,GB
0.492752758154543,85.64241522722575,10,6,GB
0.497716180087658,58.1355407141389,11,5,GB
0.497733573585621,54.36463743697021,12,4,GB
0.49782071547936,55.388630384863745,14,2,GB
0.512233193314514,61.885874952849925,15,1,GB
0.940903013235531,12.505583942445844,5,6,ID
0.995896109992206,13.728135354044552,6,5,ID
1.04425437069101,20.856165043260713,7,4,ID
1.23668649183793,9.573174853534967,8,3,ID
1.63479164577327,12.175242844912507,9,2,ID
1.71905533629398,9.822399406666245,10,1,ID
0.316632275463997,77.40588439821636,5,6,LF
0.319489974373223,61.54494472517975,6,5,LF
0.321115020240144,55.02947653770006,7,4,LF
0.328130074642734,51.74964738260246,8,3,LF
0.409152098729032,37.53771231916869,9,2,LF
0.596852276934461,23.408530481473523,10,1,LF
