ventdo_offset,n_days,median_ER
-3,21,-3.7552870635281073
-2.5,26,-4.062689378487668
-2,29,-4.100812380250404
-1.5,72,-2.378703508207625
-1,187,-2.6967350046052587
-0.5,472,-2.951297566728881
0,553,-8.18082251050884
0.5,472,-13.469236963571811
1,267,-18.355326707962497
1.5,154,-23.640464508087078
2,68,-29.11734786090188
2.5,9,-32.59534188548317
3,0,NA
