ID,n_excluded_days_total,n_excluded_streaks,pct_excluded_streaks_1to2_days,pct_excluded_DAYS_in_streaks_le2,median_excluded_streak_days,max_excluded_streak_days,n_days_total
AM,688,35,31.4,2.2,12,101,919
GB,310,40,65,10.3,1.5,72,891
ID,292,12,58.3,3.1,2,88,727
LF,618,78,37.2,5.7,4,109,919
