ID,file,status,visit_date,n_total,n_used,n_discarded,mean_DO,sd_DO,mean_Temp,sheet_note
AM,ROVING_AllenMill_DO_06062022.xlsx,OK,2022-06-06,77,77,0,1.845,0.114,73.51,NA
AM,ROVING_AllenMill_DO_06302022.xlsx,OK,2022-06-30,129,129,0,1.239,0.005,71.73,NA
AM,ROVING_AllenMill_DO_07202022.xlsx,OK,2022-07-20,156,156,0,1.342,0.03,72.11,NA
AM,ROVING_AllenMill_DO_08012022.xlsx,OK,2022-08-01,25,25,0,0.995,0.018,72.47,NA
AM,ROVING_AllenMill_DO_08152022.xlsx,OK,2022-08-15,115,115,0,0.947,0.006,71.65,NA
AM,ROVING_AllenMill_DO_08292022.xlsx,OK,2022-08-29,45,45,0,1.096,0.108,74.19,NA
AM,ROVING_AllenMill_DO_09122022.xlsx,OK,2022-09-12,2,2,0,1.24,0.057,71.72,NA
AM,ROVING_AllenMill_DO_09262022.xlsx,OK,2022-09-26,59,59,0,1.056,0.1,73.42,NA
AM,ROVING_AllenMill_DO_10102022.xlsx,OK,2022-10-10,124,124,0,1.084,0.327,72.35,NA
AM,ROVING_AllenMill_DO_10242022.xlsx,OK,2022-10-24,40,40,0,0.975,0.017,72.16,NA
AM,ROVING_AllenMillPond_DO_05092022.xlsx,OK,2022-05-09,72,72,0,1.846,0.049,72.64,NA
AM,roving_AM_DO_04262023.csv,OK,2023-04-26,40,11,29,1.362,0.135,75.54,NA
AM,rovingDO_AM.csv,OK,2023-05-18,185,92,93,2.668,1.569,72.9,NA
AM,RovingDO_AM_01032022.csv,OK,2023-01-03,62,62,0,0.599,0.095,72.61,NA
AM,RovingDO_AM_01182022.xlsx,OK,2023-01-18,23,23,0,0.02,0.004,71.49,NA
AM,ROVINGDO_AM_04112022.xlsx,OK,2022-04-11,51,51,0,1.046,0.043,73.27,NA
AM,ROVINGDO_AM_05232022.xlsx,OK,2022-05-23,16,16,0,1.697,0.011,72.1,NA
AM,rovingDO_AM_05292023.csv,OK,2023-05-29,238,110,128,3.614,0.872,73.84,NA
AM,RovingDO_AM_12052022.xlsx,OK,2022-12-05,62,57,5,0.294,0.029,71.96,NA
AM,RovingDO_AM_12192022.csv,OK,2022-12-19,1539,1531,8,0.705,0.927,71.45,NA
GB,Roving_GB_03152023.csv,OK,2023-03-15,51,51,0,0.222,0.026,71.14,NA
GB,Roving_GB_DO_01032022.csv,OK,2023-01-03,62,62,0,0.599,0.095,72.61,NA
GB,Roving_GB_DO_01182022.xlsx,OK,2023-01-18,8,8,0,4.631,0.083,73.19,NA
GB,Roving_GB_DO_03012023.csv,OK,2023-03-01,298,295,3,4.561,0.086,73.05,NA
GB,ROVING_GB_DO_04112022.xlsx,OK,2022-04-11,56,56,0,4.742,0.032,73.15,NA
GB,ROVING_GB_DO_05092022.xlsx,OK,2022-05-09,39,39,0,4.711,0.014,72.95,NA
GB,ROVING_GB_DO_05232022.xlsx,OK,2022-05-23,4,4,0,4.678,0.005,72.97,NA
GB,ROVING_GB_DO_06062022.xlsx,OK,2022-06-06,106,106,0,4.657,0.014,73,NA
GB,ROVING_GB_DO_06172022.csv,OK,2022-06-17,265,155,110,4.681,0.39,74.07,NA
GB,ROVING_GB_DO_07052022.xlsx,OK,2022-07-05,120,120,0,4.612,0.05,73.19,NA
GB,ROVING_GB_DO_07202022.xlsx,OK,2022-07-20,80,80,0,4.601,0.012,72.95,NA
GB,ROVING_GB_DO_08012022.xlsx,OK,2022-08-01,112,112,0,4.58,0.017,73.06,NA
GB,ROVING_GB_DO_08152022.xlsx,OK,2022-08-15,115,115,0,0.947,0.006,71.65,NA
GB,ROVING_GB_DO_09122022.xlsx,OK,2022-09-12,2,2,0,4.45,0.325,76.55,NA
GB,ROVING_GB_DO_09262022.xlsx,OK,2022-09-26,115,115,0,4.603,0.038,72.89,NA
GB,ROVING_GB_DO_10102022.xlsx,OK,2022-10-10,46,46,0,4.598,0.015,72.99,NA
GB,ROVING_GB_DO_10242022.csv,OK,2022-10-24,118,118,0,4.631,0.019,72.93,NA
GB,ROVING_GB_DO_11072022.xlsx,OK,2022-11-07,46,42,4,4.633,0.014,72.97,NA
GB,Roving_GB_DO_12052022.xlsx,OK,2022-12-05,66,66,0,4.533,0.065,72.55,no sheet named for this site; picked first non-conflicting sheet
