Date,GPPavg,ER,K600_1d,GPP_Rhat,ER_Rhat,K600_daily_Rhat,ID
2022-05-23,NA,NA,NA,NA,NA,NA,GB
2022-05-24,3.2836289745367293,-18.759268553023134,7.386683404084313,1.0025922694503582,1.0032611173516746,1.0033524657485844,GB
2022-05-25,4.012449656833095,-21.30968122754599,8.336029832244241,1.001483396364761,1.0018668318831714,1.0018238004821782,GB
2022-05-26,3.629213568817324,-20.906533049892758,8.363121610993176,1.000565689745495,1.0010706474261684,1.0009944209786121,GB
2022-05-27,2.9259149656295085,-19.445708533717156,7.866645048319814,1.0086568351701102,1.0142286568512053,1.0129405156796119,GB
2022-05-28,2.323203598499058,-17.264008666409968,7.227493529244444,0.9995360089823944,1.0002483951105328,1.0002572209131946,GB
2022-05-29,2.1813793510469757,-16.03195720127856,6.718958688129526,1.0036840633285997,1.0046927946916264,1.003958993858374,GB
2022-05-30,2.6666698135082294,-17.281004211458807,7.168720987067773,1.0004374956636664,1.0009084943950342,1.0005508609240124,GB
2022-05-31,NA,NA,NA,NA,NA,NA,GB
2022-06-01,NA,NA,NA,NA,NA,NA,GB
2022-06-02,NA,NA,NA,NA,NA,NA,GB
2022-06-03,NA,NA,NA,NA,NA,NA,GB
2022-06-04,NA,NA,NA,NA,NA,NA,GB
2022-06-05,NA,NA,NA,NA,NA,NA,GB
2022-06-06,NA,NA,NA,NA,NA,NA,GB
2022-06-07,NA,NA,NA,NA,NA,NA,GB
2022-06-08,NA,NA,NA,NA,NA,NA,GB
2022-06-09,NA,NA,NA,NA,NA,NA,GB
2022-06-10,NA,NA,NA,NA,NA,NA,GB
2022-06-11,NA,NA,NA,NA,NA,NA,GB
2022-06-12,NA,NA,NA,NA,NA,NA,GB
2022-06-13,NA,NA,NA,NA,NA,NA,GB
2022-06-14,NA,NA,NA,NA,NA,NA,GB
2022-06-15,NA,NA,NA,NA,NA,NA,GB
2022-06-16,NA,NA,NA,NA,NA,NA,GB
2022-06-17,NA,NA,NA,NA,NA,NA,GB
2022-06-18,NA,NA,NA,NA,NA,NA,GB
2022-06-19,NA,NA,NA,NA,NA,NA,GB
2022-06-20,NA,NA,NA,NA,NA,NA,GB
2022-06-21,NA,NA,NA,NA,NA,NA,GB
2022-06-22,NA,NA,NA,NA,NA,NA,GB
2022-06-23,NA,NA,NA,NA,NA,NA,GB
2022-06-24,NA,NA,NA,NA,NA,NA,GB
2022-06-25,NA,NA,NA,NA,NA,NA,GB
2022-06-26,NA,NA,NA,NA,NA,NA,GB
2022-06-27,NA,NA,NA,NA,NA,NA,GB
2022-06-28,NA,NA,NA,NA,NA,NA,GB
2022-06-29,2.550818431185909,-14.801287106575323,6.734164052191783,1.0012911661534496,1.0017236066280444,1.0016712418016116,GB
2022-06-30,2.5231758722175956,-16.174874596349333,7.416990213563448,1.0015815058431194,1.0044550284761413,1.0043730327910534,GB
2022-07-01,2.297418672284991,-14.49356046811703,6.524167415641584,1.0012421144421506,1.0003128366973542,1.0002430206861006,GB
2022-07-02,2.1094451708106474,-15.92967890318876,7.349977692520613,1.0011703614883356,1.0012787875535978,1.0010913021219685,GB
2022-07-03,1.6383404983628964,-16.65793048950846,7.724025073246131,1.0010919530924745,1.002563811336826,1.0024153024386453,GB
2022-07-04,2.3240958998622014,-15.864204057413087,7.110142003603839,1.0002915372545944,1.0005686712293291,1.000308274081735,GB
2022-07-05,2.3880002171859482,-15.962669392219189,7.187427770108665,1.0002558885829753,1.000052301524072,0.99978710549107,GB
2022-07-06,2.358808182047162,-16.72431357661538,7.524779757746298,1.0058605663462097,1.0072413129599862,1.0063313841855546,GB
2022-07-07,2.4283495726790316,-15.435663284579718,6.768517741817709,0.9998284632878686,1.0001393971820605,1.0001443989105765,GB
2022-07-08,1.9647059202103407,-14.920500889554415,6.602078710721893,1.0019946011123484,1.0028386218449974,1.0028536875570766,GB
2022-07-09,2.21795100215154,-15.604589640113527,6.760379415466261,1.0027811661009145,1.0031969235010507,1.002701365541267,GB
2022-07-10,1.9395835857447947,-17.91000626873351,7.952594518267553,1.001345660105093,1.0028279559934226,1.0026810689759802,GB
2022-07-11,1.8370042895218017,-16.703065927123316,7.427739856003972,0.9996488512793302,1.0007762243518314,1.000501919072447,GB
2022-07-12,2.1361828070576157,-16.552509740570823,7.190248685322093,1.002802355700974,1.005418782896884,1.005725699897964,GB
2022-07-13,2.356221160071856,-17.875294084994934,7.606232213670797,1.0005720104341458,1.0007186592330326,1.0008118318232129,GB
2022-07-14,2.329533068905159,-16.222824405037592,6.939098212954272,0.9999623198501468,1.00031930489954,1.0003246603411484,GB
2022-07-15,2.0571083614358696,-15.69863990429956,6.729388011276178,1.0009155864077546,1.0005561405431986,1.0001704436272005,GB
2022-07-16,2.6040242897660075,-17.49947981617413,7.403664050738658,1.000003951874655,1.000024639631916,1.0000653236588848,GB
2022-07-17,2.2058798064225114,-16.20252123410952,6.971883274392145,1.0135745755302978,1.014855499147422,1.0141300915221234,GB
2022-07-18,1.8220839409593894,-17.811404138373685,7.655710413313123,1.004122209870511,1.0062791968888058,1.0055375792744852,GB
2022-07-19,2.0152232793121163,-17.867576895455638,7.638000924057033,0.9997390690467803,1.0015281293595442,1.0016150940709807,GB
