ID,flood,start,end
AM,1,2022-06-30T00:00:00Z,2022-08-10T23:00:00Z
AM,3,2022-08-18T00:00:00Z,2022-10-12T23:00:00Z
AM,5,2023-01-12T00:00:00Z,2023-04-26T23:00:00Z
AM,7,2023-06-01T00:00:00Z,2023-07-26T23:00:00Z
AM,9,2023-08-17T00:00:00Z,2023-11-08T23:00:00Z
AM,11,2023-11-23T00:00:00Z,2024-02-14T23:00:00Z
AM,13,2024-03-14T00:00:00Z,2024-07-03T23:00:00Z
AM,15,2024-07-18T00:00:00Z,2024-07-26T03:00:00Z
GB,1,2022-08-18T00:00:00Z,2022-10-05T23:00:00Z
GB,3,2023-07-13T00:00:00Z,2024-02-07T23:00:00Z
ID,1,2022-08-30T09:00:00Z,2022-10-24T23:00:00Z
ID,3,2023-01-24T00:00:00Z,2023-05-08T23:00:00Z
ID,5,2023-06-06T00:00:00Z,2023-11-13T23:00:00Z
ID,7,2023-11-28T00:00:00Z,2024-02-19T23:00:00Z
ID,9,2024-03-12T00:00:00Z,2024-05-13T23:00:00Z
ID,11,2024-05-21T00:00:00Z,2024-07-08T23:00:00Z
ID,13,2024-07-16T00:00:00Z,2024-07-25T11:00:00Z
LF,2,2022-07-12T00:00:00Z,2022-10-24T23:00:00Z
LF,4,2023-01-24T00:00:00Z,2023-05-01T23:00:00Z
LF,6,2023-05-30T00:00:00Z,2023-11-13T23:00:00Z
LF,8,2023-11-28T00:00:00Z,2024-02-19T23:00:00Z
LF,10,2024-03-12T00:00:00Z,2024-06-19T03:00:00Z
LF,13,2022-04-12T04:00:00Z,2022-06-20T23:00:00Z
OS,2,2022-07-07T00:00:00Z,2022-10-19T23:00:00Z
OS,4,2023-01-26T00:00:00Z,2023-04-19T23:00:00Z
OS,6,2023-06-08T00:00:00Z,2023-09-27T23:00:00Z
OS,8,2023-11-30T00:00:00Z,2024-02-14T23:00:00Z
OS,10,2024-03-21T00:00:00Z,2024-07-10T23:00:00Z
