ID,start,end,flood.event
AM,7/8/2022,8/8/2022,1
AM,8/25/2022,10/17/2022,2
AM,1/24/2023,4/29/2023,3
AM,6/16/2023,7/30/2023,4
AM,8/29/2023,10/11/2023,5
AM,12/2/2023,7/2/2024,6
LF,8/21/2022,10/17/2022,1
LF,2/4/2023,4/27/2023,2
LF,6/19/2023,7/27/2023,3
LF,11/29/2023,3/14/2024,4
LF,3/13/2024,5/17/2024,5
LF,5/19/2024,6/19/2024,6
GB,8/26/2022,10/12/2022,1
GB,7/7/2023,10/12/2023,2
GB,11/30/2023,2/19/2024,3
ID,8/30/2022,11/5/2022,1
ID,1/25/2023,4/30/2023,2
ID,6/18/2023,8/1/2023,3
ID,8/30/2023,10/11/2023,4
ID,12/1/2023,3/7/2024,5
ID,3/9/2024,5/13/2024,6
ID,5/15/2024,7/3/2024,7
OS,7/15/2022,8/12/2022,1
OS,8/30/2022,10/19/2022,2
OS,2/28/2022,4/31/2022,3
OS,6/18/2023,7/27/2023,4
OS,12/6/2023,3/11/2024,5
OS,3/10/2024,5/16/2024,6
OS,5/17/2024,6/24/2023,7
OS,1/25/2023,5/1/2023,8
