Date,u,ID,VentDO,VentTemp
10/10/2022,0.262508639,ID,,
10/26/2022,0.383823564,ID,,
11/7/2022,,ID,,
11/21/2022,0.245749827,ID,,
12/5/2022,0.315758887,ID,,
12/19/2022,0.270921438,ID,,
1/3/2023,0.389272031,ID,,
1/18/2023,0.24384,ID,,
2/1/2023,0.277306992,ID,,
2/15/2023,0.152032679,ID,,
3/1/2023,0.099617104,ID,,
3/15/2023,0.209043526,ID,,
3/29/2023,0.143641857,ID,,
4/12/2023,0.217546613,ID,,
4/26/2023,0.291693421,ID,,
5/30/2023,0.3319,ID,,
6/13/2022,,GB,6.25,
7/8/2022,,GB,5.587,77.2365
8/24/2022,,GB,4.6,72.34454
9/26/2022,,GB,4.6,76.55
10/24/2022,0.090498812,GB,4.6,72.91894
11/7/2022,0.074432234,GB,,
11/21/2022,0.132051846,GB,,
12/5/2022,0.16555581,GB,,
12/20/2022,0.151357905,GB,,
1/3/2023,0.13716,GB,6.25,72.5453
1/18/2023,0.195072,GB,4.8,73.18875
2/1/2023,0.185928,GB,,
2/15/2023,0.176784,GB,,
3/1/2023,0.201168,GB,5.58,73.18875
3/15/2023,0.2032,GB,4.685,72.485
3/29/2023,0.1016,GB,,
4/12/2023,0.140208,GB,,
4/26/2023,0.17526,GB,4.685,
5/17/2023,0.237744,GB,4.812,73.68
5/30/2023,0.146304,GB,4.44,
10/17/2022,0.026096,OS,,
10/31/2022,0.012192,OS,,
11/14/2022,0.104457388,OS,,
11/28/2022,0.119632672,OS,,
12/12/2022,0.125639851,OS,,
1/4/2023,0.06096,OS,,
1/25/2023,0.116835492,OS,,
2/6/2023,0.089573878,OS,,
2/22/2023,0.040360478,OS,,
3/8/2023,0.032272941,OS,,
3/20/2023,0.044325555,OS,,
4/5/2023,0.054257143,OS,,
4/29/2023,0.067798435,OS,,
5/3/2023,0.137964795,OS,,
5/17/2023,0.14825882,OS,,
6/30/2022,0.367526421,AM,,
7/20/2022,0.146505617,AM,1.42,72.06
8/16/2022,0.200066013,AM,0.947,71.6
10/10/2022,0.318333364,AM,1.07,72.6
10/26/2022,0.52371134,AM,0.975,
11/7/2022,0.325088006,AM,1.09,
11/21/2022,0.24384,AM,,
12/5/2022,0.392848743,AM,0.975,71.94
12/19/2022,0.392848743,AM,1.42,71.9429
1/3/2023,0.41148,AM,1.5,71.99254
1/18/2023,0.41148,AM,1.097,71.48696
2/1/2023,0.096864407,AM,,71.14078431
2/15/2023,0.025907668,AM,1.288,71.42
3/1/2023,,AM,,
3/15/2023,0.085267593,AM,,71.67
3/29/2023,0.111489093,AM,1.26,
4/12/2023,0.081843182,AM,,72.60454545
4/26/2023,0.24384,AM,,73.47818182
5/30/2023,0.188976,AM,,
5/17/2023,0.219456,AM,1.288,71.76173913
5/29/2023,0.263514634,AM,,
6/8/2023,0.3556,AM,,
6/13/2022,,LF,1.93,
7/8/2022,,LF,1.68,74.28
10/31/2022,0.119117488,LF,1.78,73.43
11/14/2022,0.230909091,LF,,
11/28/2022,0.2333,LF,,
12/12/2022,0.2333,LF,,
1/4/2023,0.09906,LF,1.76,74.42
1/11/2023,0.103632,LF,1.83,73.29
1/25/2023,0.100003886,LF,,
2/6/2023,0.068341644,LF,,
2/22/2023,0.077164557,LF,,
3/8/2023,0.059129281,LF,1.93,74.42
3/20/2023,0.109889068,LF,,74.42
4/5/2023,0.125763952,LF,1.53,71.74
4/19/2023,0.090472022,LF,1.704,73.278
5/3/2023,0.10404495,LF,,72.6692562
5/17/2023,0.054061724,LF,,
5/30/2023,0.142205108,LF,1.628292683,73.679375
6/19/2023,0.13878459,LF,,
11/9/2023,0.63,OS,,
11/20/2023,0.7,OS,,
12/2/2023,0.07,OS,,
12/18/2023,0,OS,,
11/20/2023,0.12,LF,,
12/7/2023,0.06,LF,,
12/18/2023,0.04,LF,,
11/16/2023,0.43,GB,,
11/30/2023,0.23,GB,,
12/7/2023,0.28,GB,,
11/16/2023,0.43,ID,,
11/16/2023,0.65,AM,,73.85097561
11/30/2023,0.56,AM,,
12/14/2023,0.02,AM,,
2/20/2024,,GB,4.52,73.80225
