"Plot Title: Ichetucknee_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21446091, SEN S/N: 21446091)","Temp, °F (LGR S/N: 21446091, SEN S/N: 21446091)"
1,11/30/23 01:00:00 PM,8.57,73.80
2,11/30/23 02:00:00 PM,8.10,69.37
3,11/30/23 03:00:00 PM,8.15,69.80
4,11/30/23 04:00:00 PM,7.92,70.16
5,11/30/23 05:00:00 PM,7.53,70.56
6,11/30/23 06:00:00 PM,7.03,70.77
7,11/30/23 07:00:00 PM,6.68,70.77
8,11/30/23 08:00:00 PM,6.39,70.59
9,11/30/23 09:00:00 PM,6.11,70.34
10,11/30/23 10:00:00 PM,5.85,70.02
11,11/30/23 11:00:00 PM,5.63,69.73
12,12/01/23 12:00:00 AM,5.48,69.51
13,12/01/23 01:00:00 AM,5.42,69.40
14,12/01/23 02:00:00 AM,5.43,69.30
15,12/01/23 03:00:00 AM,5.42,69.26
16,12/01/23 04:00:00 AM,5.43,69.22
17,12/01/23 05:00:00 AM,5.44,69.15
18,12/01/23 06:00:00 AM,5.44,69.19
19,12/01/23 07:00:00 AM,5.44,69.15
20,12/01/23 08:00:00 AM,5.57,69.15
21,12/01/23 09:00:00 AM,5.98,69.30
22,12/01/23 10:00:00 AM,6.52,69.66
23,12/01/23 11:00:00 AM,7.02,70.23
24,12/01/23 12:00:00 PM,7.39,70.59
25,12/01/23 01:00:00 PM,7.69,70.95
26,12/01/23 02:00:00 PM,7.82,71.20
27,12/01/23 03:00:00 PM,8.02,71.64
28,12/01/23 04:00:00 PM,7.88,71.92
29,12/01/23 05:00:00 PM,7.45,72.10
30,12/01/23 06:00:00 PM,6.96,72.14
31,12/01/23 07:00:00 PM,6.58,72.00
32,12/01/23 08:00:00 PM,6.27,71.82
33,12/01/23 09:00:00 PM,5.97,71.56
34,12/01/23 10:00:00 PM,5.67,71.24
35,12/01/23 11:00:00 PM,5.39,70.95
36,12/02/23 12:00:00 AM,5.23,70.74
37,12/02/23 01:00:00 AM,5.15,70.59
38,12/02/23 02:00:00 AM,5.13,70.48
39,12/02/23 03:00:00 AM,5.12,70.45
40,12/02/23 04:00:00 AM,5.13,70.41
41,12/02/23 05:00:00 AM,5.13,70.38
42,12/02/23 06:00:00 AM,5.17,70.38
43,12/02/23 07:00:00 AM,5.18,70.34
44,12/02/23 08:00:00 AM,5.27,70.34
45,12/02/23 09:00:00 AM,5.57,70.45
46,12/02/23 10:00:00 AM,5.84,70.56
47,12/02/23 11:00:00 AM,6.01,70.66
48,12/02/23 12:00:00 PM,6.39,70.88
49,12/02/23 01:00:00 PM,6.47,71.02
50,12/02/23 02:00:00 PM,6.55,71.17
51,12/02/23 03:00:00 PM,6.75,71.35
52,12/02/23 04:00:00 PM,6.58,71.49
53,12/02/23 05:00:00 PM,6.37,71.53
54,12/02/23 06:00:00 PM,6.09,71.53
55,12/02/23 07:00:00 PM,5.88,71.49
56,12/02/23 08:00:00 PM,5.67,71.42
57,12/02/23 09:00:00 PM,5.86,71.28
58,12/02/23 10:00:00 PM,5.56,71.17
59,12/02/23 11:00:00 PM,5.35,71.06
60,12/03/23 12:00:00 AM,5.15,70.99
61,12/03/23 01:00:00 AM,5.05,70.95
62,12/03/23 02:00:00 AM,5.06,70.92
63,12/03/23 03:00:00 AM,5.01,70.92
64,12/03/23 04:00:00 AM,4.94,70.95
65,12/03/23 05:00:00 AM,4.95,70.99
66,12/03/23 06:00:00 AM,5.00,71.02
67,12/03/23 07:00:00 AM,5.03,70.99
68,12/03/23 08:00:00 AM,5.10,70.99
69,12/03/23 09:00:00 AM,5.35,71.06
70,12/03/23 10:00:00 AM,6.04,71.24
71,12/03/23 11:00:00 AM,6.14,71.17
72,12/03/23 12:00:00 PM,6.26,71.17
73,12/03/23 01:00:00 PM,6.28,71.17
74,12/03/23 02:00:00 PM,6.48,71.24
75,12/03/23 03:00:00 PM,6.68,71.38
76,12/03/23 04:00:00 PM,6.79,71.46
77,12/03/23 05:00:00 PM,6.59,71.42
78,12/03/23 06:00:00 PM,6.17,71.31
79,12/03/23 07:00:00 PM,5.91,71.24
80,12/03/23 08:00:00 PM,5.73,71.20
81,12/03/23 09:00:00 PM,5.60,71.13
82,12/03/23 10:00:00 PM,5.46,71.06
83,12/03/23 11:00:00 PM,5.29,70.99
84,12/04/23 12:00:00 AM,5.17,70.92
85,12/04/23 01:00:00 AM,5.09,70.88
86,12/04/23 02:00:00 AM,5.10,70.84
87,12/04/23 03:00:00 AM,5.09,70.84
88,12/04/23 04:00:00 AM,5.09,70.84
89,12/04/23 05:00:00 AM,5.09,70.84
90,12/04/23 06:00:00 AM,5.09,70.88
91,12/04/23 07:00:00 AM,5.10,70.84
92,12/04/23 08:00:00 AM,5.19,70.84
93,12/04/23 09:00:00 AM,5.43,70.88
94,12/04/23 10:00:00 AM,5.86,70.95
95,12/04/23 11:00:00 AM,6.49,71.13
96,12/04/23 12:00:00 PM,6.96,71.28
97,12/04/23 01:00:00 PM,7.32,71.35
98,12/04/23 02:00:00 PM,7.64,71.53
99,12/04/23 03:00:00 PM,7.72,71.49
100,12/04/23 04:00:00 PM,7.63,71.46
101,12/04/23 05:00:00 PM,7.39,71.38
102,12/04/23 06:00:00 PM,6.95,71.20
103,12/04/23 07:00:00 PM,6.61,71.02
104,12/04/23 08:00:00 PM,6.32,70.77
105,12/04/23 09:00:00 PM,6.04,70.45
106,12/04/23 10:00:00 PM,5.79,70.09
107,12/04/23 11:00:00 PM,5.57,69.76
108,12/05/23 12:00:00 AM,5.45,69.51
109,12/05/23 01:00:00 AM,5.42,69.33
110,12/05/23 02:00:00 AM,5.39,69.22
111,12/05/23 03:00:00 AM,5.41,69.15
112,12/05/23 04:00:00 AM,5.42,69.04
113,12/05/23 05:00:00 AM,5.44,68.97
114,12/05/23 06:00:00 AM,5.45,68.90
115,12/05/23 07:00:00 AM,5.46,68.83
116,12/05/23 08:00:00 AM,5.59,68.79
117,12/05/23 09:00:00 AM,6.01,68.90
118,12/05/23 10:00:00 AM,6.52,69.01
119,12/05/23 11:00:00 AM,7.04,69.22
120,12/05/23 12:00:00 PM,7.46,69.55
121,12/05/23 01:00:00 PM,7.74,69.80
122,12/05/23 02:00:00 PM,7.91,70.09
123,12/05/23 03:00:00 PM,8.00,70.30
124,12/05/23 04:00:00 PM,7.89,70.38
125,12/05/23 05:00:00 PM,7.58,70.38
126,12/05/23 06:00:00 PM,7.12,70.41
127,12/05/23 07:00:00 PM,6.73,70.30
128,12/05/23 08:00:00 PM,6.44,70.12
129,12/05/23 09:00:00 PM,6.14,69.80
130,12/05/23 10:00:00 PM,5.89,69.40
131,12/05/23 11:00:00 PM,5.70,69.08
132,12/06/23 12:00:00 AM,5.56,68.79
133,12/06/23 01:00:00 AM,5.52,68.58
134,12/06/23 02:00:00 AM,5.51,68.43
135,12/06/23 03:00:00 AM,5.51,68.32
136,12/06/23 04:00:00 AM,5.53,68.25
137,12/06/23 05:00:00 AM,5.55,68.14
138,12/06/23 06:00:00 AM,5.56,68.07
139,12/06/23 07:00:00 AM,5.60,68.04
140,12/06/23 08:00:00 AM,5.67,67.96
141,12/06/23 09:00:00 AM,5.90,67.93
142,12/06/23 10:00:00 AM,6.37,68.11
143,12/06/23 11:00:00 AM,6.89,68.50
144,12/06/23 12:00:00 PM,7.29,68.86
145,12/06/23 01:00:00 PM,7.52,69.15
146,12/06/23 02:00:00 PM,7.70,69.40
147,12/06/23 03:00:00 PM,7.81,69.55
148,12/06/23 04:00:00 PM,7.72,69.58
149,12/06/23 05:00:00 PM,7.40,69.66
150,12/06/23 06:00:00 PM,7.04,69.76
151,12/06/23 07:00:00 PM,6.71,69.73
152,12/06/23 08:00:00 PM,6.45,69.51
153,12/06/23 09:00:00 PM,6.22,69.15
154,12/06/23 10:00:00 PM,6.01,68.68
155,12/06/23 11:00:00 PM,5.83,68.25
156,12/07/23 12:00:00 AM,5.71,68.00
157,12/07/23 01:00:00 AM,5.66,67.78
158,12/07/23 02:00:00 AM,5.67,67.57
159,12/07/23 03:00:00 AM,5.71,67.42
160,12/07/23 04:00:00 AM,5.74,67.28
161,12/07/23 05:00:00 AM,5.75,67.17
162,12/07/23 06:00:00 AM,5.79,67.10
163,12/07/23 07:00:00 AM,5.81,66.99
164,12/07/23 08:00:00 AM,5.89,66.92
165,12/07/23 09:00:00 AM,6.10,66.92
166,12/07/23 10:00:00 AM,6.49,67.24
167,12/07/23 11:00:00 AM,6.99,67.82
168,12/07/23 12:00:00 PM,7.36,68.29
169,12/07/23 01:00:00 PM,7.59,68.76
170,12/07/23 02:00:00 PM,7.78,69.22
171,12/07/23 03:00:00 PM,7.88,69.58
172,12/07/23 04:00:00 PM,7.77,69.84
173,12/07/23 05:00:00 PM,7.45,70.09
174,12/07/23 06:00:00 PM,7.05,70.30
175,12/07/23 07:00:00 PM,6.69,70.34
176,12/07/23 08:00:00 PM,6.39,70.20
177,12/07/23 09:00:00 PM,6.11,69.84
178,12/07/23 10:00:00 PM,5.85,69.40
179,12/07/23 11:00:00 PM,5.64,69.04
180,12/08/23 12:00:00 AM,5.52,68.76
181,12/08/23 01:00:00 AM,5.42,68.54
182,12/08/23 02:00:00 AM,5.39,68.40
183,12/08/23 03:00:00 AM,5.41,68.32
184,12/08/23 04:00:00 AM,5.46,68.25
185,12/08/23 05:00:00 AM,5.47,68.25
186,12/08/23 06:00:00 AM,5.47,68.25
187,12/08/23 07:00:00 AM,5.46,68.25
188,12/08/23 08:00:00 AM,5.51,68.25
189,12/08/23 09:00:00 AM,5.74,68.40
190,12/08/23 10:00:00 AM,6.25,68.65
191,12/08/23 11:00:00 AM,6.83,69.01
192,12/08/23 12:00:00 PM,7.27,69.44
193,12/08/23 01:00:00 PM,7.60,69.91
194,12/08/23 02:00:00 PM,7.63,70.16
195,12/08/23 03:00:00 PM,7.49,70.38
196,12/08/23 04:00:00 PM,7.41,70.59
197,12/08/23 05:00:00 PM,7.16,70.81
198,12/08/23 06:00:00 PM,6.79,70.95
199,12/08/23 07:00:00 PM,6.40,70.99
200,12/08/23 08:00:00 PM,6.04,70.81
201,12/08/23 09:00:00 PM,5.74,70.63
202,12/08/23 10:00:00 PM,5.48,70.45
203,12/08/23 11:00:00 PM,5.28,70.30
204,12/09/23 12:00:00 AM,5.13,70.12
205,12/09/23 01:00:00 AM,5.06,69.98
206,12/09/23 02:00:00 AM,5.06,69.87
207,12/09/23 03:00:00 AM,5.08,69.76
208,12/09/23 04:00:00 AM,5.10,69.66
209,12/09/23 05:00:00 AM,5.12,69.58
210,12/09/23 06:00:00 AM,5.15,69.44
211,12/09/23 07:00:00 AM,5.17,69.37
212,12/09/23 08:00:00 AM,5.25,69.30
213,12/09/23 09:00:00 AM,5.47,69.30
214,12/09/23 10:00:00 AM,5.97,69.51
215,12/09/23 11:00:00 AM,6.52,70.02
216,12/09/23 12:00:00 PM,6.95,70.48
217,12/09/23 01:00:00 PM,7.24,70.88
218,12/09/23 02:00:00 PM,7.48,71.31
219,12/09/23 03:00:00 PM,7.52,71.56
220,12/09/23 04:00:00 PM,7.42,71.74
221,12/09/23 05:00:00 PM,7.17,72.00
222,12/09/23 06:00:00 PM,6.78,72.18
223,12/09/23 07:00:00 PM,6.42,72.21
224,12/09/23 08:00:00 PM,6.09,72.07
225,12/09/23 09:00:00 PM,5.79,71.71
226,12/09/23 10:00:00 PM,5.52,71.28
227,12/09/23 11:00:00 PM,5.26,70.92
228,12/10/23 12:00:00 AM,5.08,70.59
229,12/10/23 01:00:00 AM,4.99,70.34
230,12/10/23 02:00:00 AM,4.97,70.20
231,12/10/23 03:00:00 AM,4.98,70.05
232,12/10/23 04:00:00 AM,5.00,69.98
233,12/10/23 05:00:00 AM,5.01,69.87
234,12/10/23 06:00:00 AM,5.03,69.80
235,12/10/23 07:00:00 AM,5.04,69.76
236,12/10/23 08:00:00 AM,5.13,69.73
237,12/10/23 09:00:00 AM,5.42,69.80
238,12/10/23 10:00:00 AM,5.94,70.02
239,12/10/23 11:00:00 AM,6.42,70.27
240,12/10/23 12:00:00 PM,6.73,70.56
241,12/10/23 01:00:00 PM,6.92,70.77
242,12/10/23 02:00:00 PM,6.86,70.95
243,12/10/23 03:00:00 PM,6.84,70.84
244,12/10/23 04:00:00 PM,6.65,70.88
245,12/10/23 05:00:00 PM,6.48,70.88
246,12/10/23 06:00:00 PM,6.17,70.84
247,12/10/23 07:00:00 PM,5.84,70.74
248,12/10/23 08:00:00 PM,5.56,70.48
249,12/10/23 09:00:00 PM,5.29,70.27
250,12/10/23 10:00:00 PM,4.99,69.94
251,12/10/23 11:00:00 PM,4.84,69.76
252,12/11/23 12:00:00 AM,4.81,69.58
253,12/11/23 01:00:00 AM,4.82,69.44
254,12/11/23 02:00:00 AM,4.90,69.22
255,12/11/23 03:00:00 AM,5.03,68.94
256,12/11/23 04:00:00 AM,5.12,68.58
257,12/11/23 05:00:00 AM,5.20,68.29
258,12/11/23 06:00:00 AM,5.28,68.07
259,12/11/23 07:00:00 AM,5.37,67.89
260,12/11/23 08:00:00 AM,5.51,67.71
261,12/11/23 09:00:00 AM,5.74,67.60
262,12/11/23 10:00:00 AM,6.18,67.68
263,12/11/23 11:00:00 AM,6.75,68.04
264,12/11/23 12:00:00 PM,7.17,68.40
265,12/11/23 01:00:00 PM,7.44,68.72
266,12/11/23 02:00:00 PM,7.68,69.12
267,12/11/23 03:00:00 PM,7.80,69.33
268,12/11/23 04:00:00 PM,7.77,69.44
269,12/11/23 05:00:00 PM,7.46,69.58
270,12/11/23 06:00:00 PM,7.05,69.66
271,12/11/23 07:00:00 PM,6.70,69.69
272,12/11/23 08:00:00 PM,6.41,69.55
273,12/11/23 09:00:00 PM,6.14,69.19
274,12/11/23 10:00:00 PM,5.90,68.72
275,12/11/23 11:00:00 PM,5.70,68.29
276,12/12/23 12:00:00 AM,5.60,68.00
277,12/12/23 01:00:00 AM,5.57,67.75
278,12/12/23 02:00:00 AM,5.59,67.57
279,12/12/23 03:00:00 AM,5.59,67.42
280,12/12/23 04:00:00 AM,5.62,67.32
281,12/12/23 05:00:00 AM,5.65,67.21
282,12/12/23 06:00:00 AM,5.67,67.14
283,12/12/23 07:00:00 AM,5.72,67.03
284,12/12/23 08:00:00 AM,5.76,66.99
285,12/12/23 09:00:00 AM,5.99,67.03
286,12/12/23 10:00:00 AM,6.40,67.24
287,12/12/23 11:00:00 AM,6.94,67.75
288,12/12/23 12:00:00 PM,7.34,68.14
289,12/12/23 01:00:00 PM,7.65,68.58
290,12/12/23 02:00:00 PM,7.84,69.08
291,12/12/23 03:00:00 PM,7.95,69.48
292,12/12/23 04:00:00 PM,7.91,69.73
293,12/12/23 05:00:00 PM,7.65,69.91
294,12/12/23 06:00:00 PM,7.23,70.02
295,12/12/23 07:00:00 PM,6.82,70.05
296,12/12/23 08:00:00 PM,6.48,70.02
297,12/12/23 09:00:00 PM,6.19,69.73
298,12/12/23 10:00:00 PM,5.91,69.37
299,12/12/23 11:00:00 PM,5.69,69.04
300,12/13/23 12:00:00 AM,5.52,68.76
301,12/13/23 01:00:00 AM,5.41,68.58
302,12/13/23 02:00:00 AM,5.37,68.43
303,12/13/23 03:00:00 AM,5.37,68.36
304,12/13/23 04:00:00 AM,5.38,68.29
305,12/13/23 05:00:00 AM,5.39,68.25
306,12/13/23 06:00:00 AM,5.42,68.22
307,12/13/23 07:00:00 AM,5.43,68.14
308,12/13/23 08:00:00 AM,5.47,68.14
309,12/13/23 09:00:00 AM,5.72,68.22
310,12/13/23 10:00:00 AM,6.20,68.36
311,12/13/23 11:00:00 AM,6.68,68.54
312,12/13/23 12:00:00 PM,7.14,68.79
313,12/13/23 01:00:00 PM,7.44,69.04
314,12/13/23 02:00:00 PM,7.82,69.33
315,12/13/23 03:00:00 PM,8.08,69.62
316,12/13/23 04:00:00 PM,7.98,69.73
317,12/13/23 05:00:00 PM,7.70,69.76
318,12/13/23 06:00:00 PM,7.29,69.76
319,12/13/23 07:00:00 PM,6.87,69.73
320,12/13/23 08:00:00 PM,6.52,69.62
321,12/13/23 09:00:00 PM,6.22,69.44
322,12/13/23 10:00:00 PM,5.90,69.15
323,12/13/23 11:00:00 PM,5.65,68.90
324,12/14/23 12:00:00 AM,5.47,68.72
325,12/14/23 01:00:00 AM,5.39,68.54
326,12/14/23 02:00:00 AM,5.37,68.36
327,12/14/23 03:00:00 AM,5.39,68.22
328,12/14/23 04:00:00 AM,5.42,68.11
329,12/14/23 05:00:00 AM,5.42,68.07
330,12/14/23 06:00:00 AM,5.43,68.04
331,12/14/23 07:00:00 AM,5.44,68.00
332,12/14/23 08:00:00 AM,5.48,68.00
333,12/14/23 09:00:00 AM,5.71,68.07
334,12/14/23 10:00:00 AM,6.21,68.25
335,12/14/23 11:00:00 AM,6.83,68.58
336,12/14/23 12:00:00 PM,7.33,68.94
337,12/14/23 01:00:00 PM,7.69,69.33
338,12/14/23 02:00:00 PM,7.96,69.73
339,12/14/23 03:00:00 PM,8.62,69.98
